,Austria,Brazil,Chile,China,Colombia,France,Germany,Hong Kong,India,Israel,Italy,Japan,Mexico,Namibia,Netherlands,Russia,Samoa,Saudi Arabia,Singapore,Slovenia,South Korea,Spain,Taiwan,Turkey,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam,median_commodity_price,median_petroleum_price
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,1.0,,,-0.01865058809178087,0.24631133058011287,0.32751940275934605,0.25980366992838,0.27986122525478235,0.417767431580687,-0.1850519938947811,,-0.6520966331844535,,0.28314290167768025,,,,,0.18575560549558287,0.04985844673968589,-0.9283841506859971,,,,,-0.15799573041456463,-0.46543735275651926,-0.28490874441153474
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,-0.01865058809178087,,,1.0,-0.3519475459011536,-0.3527505980918393,0.10495593717238183,-0.5633557653031618,-0.5570476033805343,0.1501760394230375,,0.2031544146484296,,-0.35503462923432605,,,,,0.08699036825509959,-0.695032586398578,0.12090018114367598,,,,,0.22535062392928226,0.23348872906655926,0.36198044807618834
Hong Kong,,,,0.24631133058011287,,,-0.3519475459011536,1.0,0.08033009230287208,0.4750141723064327,0.7364926976568454,0.6624325798954516,-0.40369890044088946,,-0.4659329672324046,,0.9983541610125396,,,,,-0.2620934868649281,0.30520076618959335,-0.5267141511797755,,,,,-0.36497025755120066,-0.3737679633934643,-0.46131624358342876
India,,,,0.32751940275934605,,,-0.3527505980918393,0.08033009230287208,1.0,-0.10788087508441944,0.1996342424526437,0.3486974868269998,0.03812628220242427,,-0.1544219290073627,,0.0877359970140581,,,,,0.44097475821608245,0.17550303803434872,-0.29991376395196206,,,,,0.05567885946364,-0.09190940824633882,-0.04234596026147815
Israel,,,,0.25980366992838,,,0.10495593717238183,0.4750141723064327,-0.10788087508441944,1.0,0.22551680987677714,0.1814307443873508,-0.30140611592512523,,-0.32993982194497273,,0.4812933250646994,,,,,-0.20559497333074903,-0.0866779467920299,-0.5312483758622075,,,,,-0.24739541938875567,-0.22870852574932624,-0.3192075077208428
