Date,Price,Price_gte_2,Price_gte_12,Price_gte_22,Price_lte_2,Price_lte_12,Price_lte_22
2019-01-02,2.625,True,False,False,False,True,True
2019-01-03,2.5705,True,False,False,False,True,True
2019-01-04,2.6515,True,False,False,False,True,True
2019-01-07,2.641,True,False,False,False,True,True
2019-01-08,2.6605,True,False,False,False,True,True
2019-01-09,2.662,True,False,False,False,True,True
2019-01-10,2.6435,True,False,False,False,True,True
2019-01-11,2.6695,True,False,False,False,True,True
2019-01-14,2.6455,True,False,False,False,True,True
2019-01-15,2.6505,True,False,False,False,True,True
2019-01-16,2.6935,True,False,False,False,True,True
2019-01-17,2.7,True,False,False,False,True,True
2019-01-18,2.741,True,False,False,False,True,True
2019-01-22,2.689,True,False,False,False,True,True
2019-01-23,2.694,True,False,False,False,True,True
2019-01-24,2.6735,True,False,False,False,True,True
2019-01-25,2.738,True,False,False,False,True,True
2019-01-28,2.6875,True,False,False,False,True,True
2019-01-29,2.732,True,False,False,False,True,True
2019-01-30,2.773,True,False,False,False,True,True
2019-01-31,2.789,True,False,False,False,True,True
2019-02-01,2.775,True,False,False,False,True,True
2019-02-04,2.795,True,False,False,False,True,True
2019-02-05,2.817,True,False,False,False,True,True
2019-02-06,2.8355,True,False,False,False,True,True
2019-02-07,2.8285,True,False,False,False,True,True
2019-02-08,2.81,True,False,False,False,True,True
2019-02-11,2.7915,True,False,False,False,True,True
2019-02-12,2.7745,True,False,False,False,True,True
2019-02-13,2.774,True,False,False,False,True,True
2019-02-14,2.776,True,False,False,False,True,True
2019-02-15,2.8025,True,False,False,False,True,True
2019-02-19,2.8815,True,False,False,False,True,True
2019-02-20,2.93,True,False,False,False,True,True
2019-02-21,2.9025,True,False,False,False,True,True
2019-02-22,2.961,True,False,False,False,True,True
2019-02-25,2.95,True,False,False,False,True,True
2019-02-26,2.944,True,False,False,False,True,True
2019-02-27,2.959,True,False,False,False,True,True
2019-02-28,2.95,True,False,False,False,True,True
2019-03-01,2.9335,True,False,False,False,True,True
2019-03-04,2.911,True,False,False,False,True,True
2019-03-05,2.936,True,False,False,False,True,True
2019-03-06,2.9185,True,False,False,False,True,True
2019-03-07,2.9115,True,False,False,False,True,True
2019-03-08,2.894,True,False,False,False,True,True
2019-03-10,2.9,True,False,False,False,True,True
