,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8628571428571429,0.8816568047337278,0.9738562091503268,0.9254658385093166,0.3333333333333333,0.09090909090909091,0.14285714285714288
1,LSTM,200 layers,0.8685714285714285,0.891566265060241,0.9673202614379085,0.927899686520376,0.4444444444444444,0.18181818181818182,0.2580645161290322
2,LSTM,100 layers,0.84,0.8881987577639752,0.934640522875817,0.910828025477707,0.2857142857142857,0.18181818181818182,0.2222222222222222
3,LSTM,50 layers,0.8057142857142857,0.8940397350993378,0.8823529411764706,0.8881578947368421,0.25,0.2727272727272727,0.2608695652173913
4,CNN with Attention,"32 filters, kernel size 7",0.8457142857142858,0.8795180722891566,0.954248366013072,0.915360501567398,0.2222222222222222,0.09090909090909091,0.1290322580645161
5,CNN with Attention,"32 filters, kernel size 5",0.8514285714285714,0.8802395209580839,0.9607843137254902,0.9187500000000001,0.25,0.09090909090909091,0.13333333333333333
6,CNN with Attention,"32 filters, kernel size 3",0.8628571428571429,0.8816568047337278,0.9738562091503268,0.9254658385093166,0.3333333333333333,0.09090909090909091,0.14285714285714288
7,CNN with Attention,"64 filters, kernel size 7",0.84,0.8787878787878788,0.9477124183006536,0.9119496855345912,0.2,0.09090909090909091,0.12500000000000003
8,CNN with Attention,"64 filters, kernel size 5",0.8628571428571429,0.8862275449101796,0.9673202614379085,0.9249999999999999,0.375,0.13636363636363635,0.19999999999999998
9,CNN with Attention,"64 filters, kernel size 3",0.8514285714285714,0.8848484848484849,0.954248366013072,0.9182389937106918,0.3,0.13636363636363635,0.18749999999999997
10,CNN with Attention,"128 filters, kernel size 7",0.8514285714285714,0.8802395209580839,0.9607843137254902,0.9187500000000001,0.25,0.09090909090909091,0.13333333333333333
11,CNN with Attention,"128 filters, kernel size 5",0.8514285714285714,0.8802395209580839,0.9607843137254902,0.9187500000000001,0.25,0.09090909090909091,0.13333333333333333
12,CNN with Attention,"128 filters, kernel size 3",0.8514285714285714,0.8802395209580839,0.9607843137254902,0.9187500000000001,0.25,0.09090909090909091,0.13333333333333333
13,CNN with Attention,"256 filters, kernel size 7",0.8571428571428571,0.8809523809523809,0.9673202614379085,0.9221183800623052,0.2857142857142857,0.09090909090909091,0.13793103448275862
14,CNN with Attention,"256 filters, kernel size 5",0.8571428571428571,0.8809523809523809,0.9673202614379085,0.9221183800623052,0.2857142857142857,0.09090909090909091,0.13793103448275862
15,CNN with Attention,"256 filters, kernel size 3",0.8628571428571429,0.8816568047337278,0.9738562091503268,0.9254658385093166,0.3333333333333333,0.09090909090909091,0.14285714285714288
16,RNN,200 units,0.8628571428571429,0.8816568047337278,0.9738562091503268,0.9254658385093166,0.3333333333333333,0.09090909090909091,0.14285714285714288
17,RNN,150 units,0.8628571428571429,0.8816568047337278,0.9738562091503268,0.9254658385093166,0.3333333333333333,0.09090909090909091,0.14285714285714288
18,RNN,100 units,0.8,0.8831168831168831,0.8888888888888888,0.8859934853420196,0.19047619047619047,0.18181818181818182,0.18604651162790697
19,RNN,50 units,0.8514285714285714,0.8802395209580839,0.9607843137254902,0.9187500000000001,0.25,0.09090909090909091,0.13333333333333333
20,CNN,"32 filters, kernel size 7",0.8742857142857143,0.8922155688622755,0.9738562091503268,0.93125,0.5,0.18181818181818182,0.26666666666666666
21,CNN,"32 filters, kernel size 5",0.8171428571428572,0.8853503184713376,0.9084967320261438,0.8967741935483872,0.2222222222222222,0.18181818181818182,0.19999999999999998
22,CNN,"32 filters, kernel size 3",0.8457142857142858,0.8841463414634146,0.9477124183006536,0.9148264984227129,0.2727272727272727,0.13636363636363635,0.1818181818181818
23,CNN,"64 filters, kernel size 7",0.7942857142857143,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.18181818181818182,0.18181818181818182,0.18181818181818182
24,CNN,"64 filters, kernel size 5",0.8571428571428571,0.8902439024390244,0.954248366013072,0.9211356466876972,0.36363636363636365,0.18181818181818182,0.24242424242424246
25,CNN,"64 filters, kernel size 3",0.8228571428571428,0.88125,0.9215686274509803,0.9009584664536741,0.2,0.13636363636363635,0.16216216216216214
26,CNN,"128 filters, kernel size 7",0.8571428571428571,0.8902439024390244,0.954248366013072,0.9211356466876972,0.36363636363636365,0.18181818181818182,0.24242424242424246
27,CNN,"128 filters, kernel size 5",0.84,0.8930817610062893,0.9281045751633987,0.9102564102564102,0.3125,0.22727272727272727,0.2631578947368421
28,CNN,"128 filters, kernel size 3",0.8457142857142858,0.8841463414634146,0.9477124183006536,0.9148264984227129,0.2727272727272727,0.13636363636363635,0.1818181818181818
29,CNN,"256 filters, kernel size 7",0.8628571428571429,0.8862275449101796,0.9673202614379085,0.9249999999999999,0.375,0.13636363636363635,0.19999999999999998
30,CNN,"256 filters, kernel size 5",0.8628571428571429,0.8816568047337278,0.9738562091503268,0.9254658385093166,0.3333333333333333,0.09090909090909091,0.14285714285714288
31,CNN,"256 filters, kernel size 3",0.8571428571428571,0.8855421686746988,0.9607843137254902,0.9216300940438872,0.3333333333333333,0.13636363636363635,0.1935483870967742
