,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8903225806451613,0.9,0.9854014598540146,0.9407665505226481,0.6,0.16666666666666666,0.2608695652173913
1,LSTM,200 layers,0.896774193548387,0.8954248366013072,1.0,0.9448275862068967,1.0,0.1111111111111111,0.19999999999999998
2,LSTM,100 layers,0.8838709677419355,0.8838709677419355,1.0,0.9383561643835617,0.0,0.0,0.0
3,LSTM,50 layers,0.8838709677419355,0.8838709677419355,1.0,0.9383561643835617,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.8903225806451613,0.8947368421052632,0.9927007299270073,0.9411764705882353,0.6666666666666666,0.1111111111111111,0.1904761904761905
5,CNN with Attention,"32 filters, kernel size 5",0.8903225806451613,0.8947368421052632,0.9927007299270073,0.9411764705882353,0.6666666666666666,0.1111111111111111,0.1904761904761905
6,CNN with Attention,"32 filters, kernel size 3",0.8709677419354839,0.8874172185430463,0.9781021897810219,0.9305555555555556,0.25,0.05555555555555555,0.0909090909090909
7,CNN with Attention,"64 filters, kernel size 7",0.896774193548387,0.8954248366013072,1.0,0.9448275862068967,1.0,0.1111111111111111,0.19999999999999998
8,CNN with Attention,"64 filters, kernel size 5",0.8903225806451613,0.8947368421052632,0.9927007299270073,0.9411764705882353,0.6666666666666666,0.1111111111111111,0.1904761904761905
9,CNN with Attention,"64 filters, kernel size 3",0.8580645161290322,0.8807947019867549,0.9708029197080292,0.9236111111111112,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.8903225806451613,0.8947368421052632,0.9927007299270073,0.9411764705882353,0.6666666666666666,0.1111111111111111,0.1904761904761905
11,CNN with Attention,"128 filters, kernel size 5",0.8903225806451613,0.8947368421052632,0.9927007299270073,0.9411764705882353,0.6666666666666666,0.1111111111111111,0.1904761904761905
12,CNN with Attention,"128 filters, kernel size 3",0.8516129032258064,0.88,0.9635036496350365,0.9198606271777003,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.8903225806451613,0.8947368421052632,0.9927007299270073,0.9411764705882353,0.6666666666666666,0.1111111111111111,0.1904761904761905
14,CNN with Attention,"256 filters, kernel size 5",0.896774193548387,0.8954248366013072,1.0,0.9448275862068967,1.0,0.1111111111111111,0.19999999999999998
15,CNN with Attention,"256 filters, kernel size 3",0.8774193548387097,0.8831168831168831,0.9927007299270073,0.9347079037800686,0.0,0.0,0.0
16,RNN,200 units,0.8709677419354839,0.8926174496644296,0.9708029197080292,0.93006993006993,0.3333333333333333,0.1111111111111111,0.16666666666666666
17,RNN,150 units,0.896774193548387,0.8954248366013072,1.0,0.9448275862068967,1.0,0.1111111111111111,0.19999999999999998
18,RNN,100 units,0.8838709677419355,0.8940397350993378,0.9854014598540146,0.9374999999999999,0.5,0.1111111111111111,0.1818181818181818
19,RNN,50 units,0.896774193548387,0.8954248366013072,1.0,0.9448275862068967,1.0,0.1111111111111111,0.19999999999999998
20,CNN,"32 filters, kernel size 7",0.864516129032258,0.8918918918918919,0.9635036496350365,0.9263157894736843,0.2857142857142857,0.1111111111111111,0.16
21,CNN,"32 filters, kernel size 5",0.8580645161290322,0.8859060402684564,0.9635036496350365,0.9230769230769231,0.16666666666666666,0.05555555555555555,0.08333333333333333
22,CNN,"32 filters, kernel size 3",0.8774193548387097,0.8986486486486487,0.9708029197080292,0.9333333333333333,0.42857142857142855,0.16666666666666666,0.24
23,CNN,"64 filters, kernel size 7",0.864516129032258,0.8866666666666667,0.9708029197080292,0.926829268292683,0.2,0.05555555555555555,0.08695652173913045
24,CNN,"64 filters, kernel size 5",0.8774193548387097,0.8881578947368421,0.9854014598540146,0.9342560553633217,0.3333333333333333,0.05555555555555555,0.09523809523809525
25,CNN,"64 filters, kernel size 3",0.8387096774193549,0.8835616438356164,0.9416058394160584,0.911660777385159,0.1111111111111111,0.05555555555555555,0.07407407407407407
26,CNN,"128 filters, kernel size 7",0.8838709677419355,0.8888888888888888,0.9927007299270073,0.9379310344827586,0.5,0.05555555555555555,0.09999999999999999
27,CNN,"128 filters, kernel size 5",0.8580645161290322,0.891156462585034,0.9562043795620438,0.9225352112676056,0.25,0.1111111111111111,0.15384615384615383
28,CNN,"128 filters, kernel size 3",0.8516129032258064,0.88,0.9635036496350365,0.9198606271777003,0.0,0.0,0.0
29,CNN,"256 filters, kernel size 7",0.8838709677419355,0.8940397350993378,0.9854014598540146,0.9374999999999999,0.5,0.1111111111111111,0.1818181818181818
30,CNN,"256 filters, kernel size 5",0.8838709677419355,0.8940397350993378,0.9854014598540146,0.9374999999999999,0.5,0.1111111111111111,0.1818181818181818
31,CNN,"256 filters, kernel size 3",0.8838709677419355,0.8993288590604027,0.9781021897810219,0.937062937062937,0.5,0.16666666666666666,0.25
