,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8473684210526315,0.9166666666666666,0.89937106918239,0.907936507936508,0.5294117647058824,0.5806451612903226,0.5538461538461539
1,LSTM,200 layers,0.8947368421052632,0.9161676646706587,0.9622641509433962,0.9386503067484663,0.7391304347826086,0.5483870967741935,0.6296296296296297
2,LSTM,100 layers,0.8526315789473684,0.9281045751633987,0.8930817610062893,0.9102564102564102,0.5405405405405406,0.6451612903225806,0.588235294117647
3,LSTM,50 layers,0.8368421052631579,0.8855421686746988,0.9245283018867925,0.9046153846153847,0.5,0.3870967741935484,0.43636363636363634
4,RNN,200 units,0.8368421052631579,0.8855421686746988,0.9245283018867925,0.9046153846153847,0.5,0.3870967741935484,0.43636363636363634
5,RNN,150 units,0.8526315789473684,0.8830409356725146,0.949685534591195,0.9151515151515152,0.5789473684210527,0.3548387096774194,0.44000000000000006
6,RNN,100 units,0.8631578947368421,0.8888888888888888,0.9559748427672956,0.9212121212121211,0.631578947368421,0.3870967741935484,0.48000000000000004
7,RNN,50 units,0.8789473684210526,0.9096385542168675,0.949685534591195,0.9292307692307692,0.6666666666666666,0.5161290322580645,0.5818181818181819
8,CNN with Attention,"32 filters, kernel size 7",0.8473684210526315,0.8823529411764706,0.9433962264150944,0.911854103343465,0.55,0.3548387096774194,0.43137254901960786
9,CNN with Attention,"64 filters, kernel size 7",0.8631578947368421,0.9079754601226994,0.9308176100628931,0.9192546583850932,0.5925925925925926,0.5161290322580645,0.5517241379310345
10,CNN with Attention,"128 filters, kernel size 7",0.8736842105263158,0.8994082840236687,0.9559748427672956,0.9268292682926831,0.6666666666666666,0.45161290322580644,0.5384615384615384
11,CNN with Attention,"256 filters, kernel size 7",0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
12,CNN with Attention,"32 filters, kernel size 5",0.868421052631579,0.8988095238095238,0.949685534591195,0.9235474006116209,0.6363636363636364,0.45161290322580644,0.5283018867924528
13,CNN with Attention,"64 filters, kernel size 5",0.8842105263157894,0.9101796407185628,0.9559748427672956,0.9325153374233129,0.6956521739130435,0.5161290322580645,0.5925925925925926
14,CNN with Attention,"128 filters, kernel size 5",0.8526315789473684,0.8922155688622755,0.9371069182389937,0.9141104294478527,0.5652173913043478,0.41935483870967744,0.4814814814814815
15,CNN with Attention,"256 filters, kernel size 5",0.8421052631578947,0.8685714285714285,0.9559748427672956,0.9101796407185628,0.5333333333333333,0.25806451612903225,0.34782608695652173
16,CNN with Attention,"64 filters, kernel size 3",0.8526315789473684,0.8875739644970414,0.9433962264150944,0.9146341463414636,0.5714285714285714,0.3870967741935484,0.4615384615384615
17,CNN with Attention,"128 filters, kernel size 3",0.8526315789473684,0.8700564971751412,0.9685534591194969,0.9166666666666666,0.6153846153846154,0.25806451612903225,0.36363636363636365
18,CNN with Attention,"256 filters, kernel size 3",0.8578947368421053,0.875,0.9685534591194969,0.9194029850746268,0.6428571428571429,0.2903225806451613,0.4
