,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8526315789473684,0.9225806451612903,0.89937106918239,0.910828025477707,0.5428571428571428,0.6129032258064516,0.5757575757575757
1,LSTM,200 layers,0.8894736842105263,0.9367088607594937,0.9308176100628931,0.9337539432176657,0.65625,0.6774193548387096,0.6666666666666667
2,LSTM,100 layers,0.9052631578947369,0.9433962264150944,0.9433962264150944,0.9433962264150944,0.7096774193548387,0.7096774193548387,0.7096774193548389
3,LSTM,50 layers,0.8578947368421053,0.9285714285714286,0.89937106918239,0.9137380191693292,0.5555555555555556,0.6451612903225806,0.5970149253731343
4,RNN,200 units,0.8526315789473684,0.901840490797546,0.9245283018867925,0.9130434782608695,0.5555555555555556,0.4838709677419355,0.5172413793103449
5,RNN,150 units,0.8894736842105263,0.9107142857142857,0.9622641509433962,0.9357798165137615,0.7272727272727273,0.5161290322580645,0.6037735849056604
6,RNN,100 units,0.8526315789473684,0.8875739644970414,0.9433962264150944,0.9146341463414636,0.5714285714285714,0.3870967741935484,0.4615384615384615
7,RNN,50 units,0.8421052631578947,0.9056603773584906,0.9056603773584906,0.9056603773584906,0.5161290322580645,0.5161290322580645,0.5161290322580645
8,CNN with Attention,"32 filters, kernel size 7",0.8526315789473684,0.8830409356725146,0.949685534591195,0.9151515151515152,0.5789473684210527,0.3548387096774194,0.44000000000000006
9,CNN with Attention,"64 filters, kernel size 7",0.8789473684210526,0.9047619047619048,0.9559748427672956,0.929663608562691,0.6818181818181818,0.4838709677419355,0.5660377358490567
10,CNN with Attention,"128 filters, kernel size 7",0.868421052631579,0.8988095238095238,0.949685534591195,0.9235474006116209,0.6363636363636364,0.45161290322580644,0.5283018867924528
11,CNN with Attention,"256 filters, kernel size 7",0.8368421052631579,0.8809523809523809,0.9308176100628931,0.9051987767584098,0.5,0.3548387096774194,0.41509433962264153
12,CNN with Attention,"32 filters, kernel size 5",0.8947368421052632,0.9064327485380117,0.9748427672955975,0.9393939393939394,0.7894736842105263,0.4838709677419355,0.6
13,CNN with Attention,"64 filters, kernel size 5",0.8894736842105263,0.8920454545454546,0.9874213836477987,0.9373134328358209,0.8571428571428571,0.3870967741935484,0.5333333333333333
14,CNN with Attention,"128 filters, kernel size 5",0.8526315789473684,0.8830409356725146,0.949685534591195,0.9151515151515152,0.5789473684210527,0.3548387096774194,0.44000000000000006
15,CNN with Attention,"256 filters, kernel size 5",0.8526315789473684,0.8742857142857143,0.9622641509433962,0.9161676646706588,0.6,0.2903225806451613,0.3913043478260869
16,CNN with Attention,"64 filters, kernel size 3",0.8526315789473684,0.8830409356725146,0.949685534591195,0.9151515151515152,0.5789473684210527,0.3548387096774194,0.44000000000000006
17,CNN with Attention,"128 filters, kernel size 3",0.8789473684210526,0.8908045977011494,0.9748427672955975,0.9309309309309309,0.75,0.3870967741935484,0.5106382978723403
18,CNN with Attention,"256 filters, kernel size 3",0.8526315789473684,0.8742857142857143,0.9622641509433962,0.9161676646706588,0.6,0.2903225806451613,0.3913043478260869
