,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8789473684210526,0.930379746835443,0.9245283018867925,0.9274447949526813,0.625,0.6451612903225806,0.634920634920635
1,LSTM,200 layers,0.8473684210526315,0.9113924050632911,0.9056603773584906,0.9085173501577287,0.53125,0.5483870967741935,0.5396825396825397
2,LSTM,100 layers,0.9,0.9166666666666666,0.9685534591194969,0.9418960244648318,0.7727272727272727,0.5483870967741935,0.6415094339622641
3,LSTM,50 layers,0.8578947368421053,0.8928571428571429,0.9433962264150944,0.9174311926605505,0.5909090909090909,0.41935483870967744,0.4905660377358491
4,RNN,200 units,0.8578947368421053,0.8975903614457831,0.9371069182389937,0.9169230769230768,0.5833333333333334,0.45161290322580644,0.509090909090909
5,RNN,150 units,0.8526315789473684,0.8875739644970414,0.9433962264150944,0.9146341463414636,0.5714285714285714,0.3870967741935484,0.4615384615384615
6,RNN,100 units,0.8473684210526315,0.8869047619047619,0.9371069182389937,0.9113149847094801,0.5454545454545454,0.3870967741935484,0.45283018867924524
7,RNN,50 units,0.8631578947368421,0.893491124260355,0.949685534591195,0.9207317073170732,0.6190476190476191,0.41935483870967744,0.5
8,CNN with Attention,"32 filters, kernel size 7",0.8631578947368421,0.893491124260355,0.949685534591195,0.9207317073170732,0.6190476190476191,0.41935483870967744,0.5
9,CNN with Attention,"64 filters, kernel size 7",0.8578947368421053,0.8975903614457831,0.9371069182389937,0.9169230769230768,0.5833333333333334,0.45161290322580644,0.509090909090909
10,CNN with Attention,"128 filters, kernel size 7",0.8789473684210526,0.8908045977011494,0.9748427672955975,0.9309309309309309,0.75,0.3870967741935484,0.5106382978723403
11,CNN with Attention,"256 filters, kernel size 7",0.8578947368421053,0.875,0.9685534591194969,0.9194029850746268,0.6428571428571429,0.2903225806451613,0.4
12,CNN with Attention,"32 filters, kernel size 5",0.8421052631578947,0.8771929824561403,0.9433962264150944,0.9090909090909091,0.5263157894736842,0.3225806451612903,0.39999999999999997
13,CNN with Attention,"64 filters, kernel size 5",0.8631578947368421,0.9182389937106918,0.9182389937106918,0.9182389937106918,0.5806451612903226,0.5806451612903226,0.5806451612903226
14,CNN with Attention,"128 filters, kernel size 5",0.8473684210526315,0.8823529411764706,0.9433962264150944,0.911854103343465,0.55,0.3548387096774194,0.43137254901960786
15,CNN with Attention,"256 filters, kernel size 5",0.8315789473684211,0.850828729281768,0.9685534591194969,0.9058823529411765,0.4444444444444444,0.12903225806451613,0.19999999999999998
16,CNN with Attention,"64 filters, kernel size 3",0.868421052631579,0.9085365853658537,0.9371069182389937,0.9226006191950464,0.6153846153846154,0.5161290322580645,0.5614035087719298
17,CNN with Attention,"128 filters, kernel size 3",0.8842105263157894,0.9101796407185628,0.9559748427672956,0.9325153374233129,0.6956521739130435,0.5161290322580645,0.5925925925925926
18,CNN with Attention,"256 filters, kernel size 3",0.8526315789473684,0.8659217877094972,0.9748427672955975,0.9171597633136095,0.6363636363636364,0.22580645161290322,0.3333333333333333
