,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8631578947368421,0.9030303030303031,0.9371069182389937,0.9197530864197531,0.6,0.4838709677419355,0.5357142857142857
1,LSTM,200 layers,0.8842105263157894,0.9202453987730062,0.9433962264150944,0.9316770186335405,0.6666666666666666,0.5806451612903226,0.6206896551724138
2,LSTM,100 layers,0.8736842105263158,0.9141104294478528,0.9371069182389937,0.9254658385093167,0.6296296296296297,0.5483870967741935,0.5862068965517241
3,LSTM,50 layers,0.8789473684210526,0.9096385542168675,0.949685534591195,0.9292307692307692,0.6666666666666666,0.5161290322580645,0.5818181818181819
4,RNN,200 units,0.8631578947368421,0.8982035928143712,0.9433962264150944,0.920245398773006,0.6086956521739131,0.45161290322580644,0.5185185185185185
5,RNN,150 units,0.8578947368421053,0.9125,0.9182389937106918,0.9153605015673982,0.5666666666666667,0.5483870967741935,0.5573770491803278
6,RNN,100 units,0.8263157894736842,0.8987341772151899,0.8930817610062893,0.8958990536277602,0.46875,0.4838709677419355,0.47619047619047616
7,RNN,50 units,0.8315789473684211,0.8895705521472392,0.9119496855345912,0.9006211180124224,0.48148148148148145,0.41935483870967744,0.4482758620689655
8,CNN with Attention,"32 filters, kernel size 7",0.8473684210526315,0.8823529411764706,0.9433962264150944,0.911854103343465,0.55,0.3548387096774194,0.43137254901960786
9,CNN with Attention,"64 filters, kernel size 7",0.8368421052631579,0.8764705882352941,0.9371069182389937,0.9057750759878419,0.5,0.3225806451612903,0.39215686274509803
10,CNN with Attention,"128 filters, kernel size 7",0.8368421052631579,0.872093023255814,0.9433962264150944,0.9063444108761329,0.5,0.2903225806451613,0.3673469387755102
11,CNN with Attention,"256 filters, kernel size 7",0.8526315789473684,0.8579234972677595,0.9874213836477987,0.9181286549707602,0.7142857142857143,0.16129032258064516,0.2631578947368421
12,CNN with Attention,"32 filters, kernel size 5",0.8473684210526315,0.877906976744186,0.949685534591195,0.9123867069486405,0.5555555555555556,0.3225806451612903,0.40816326530612246
13,CNN with Attention,"64 filters, kernel size 5",0.8315789473684211,0.8848484848484849,0.9182389937106918,0.9012345679012345,0.48,0.3870967741935484,0.42857142857142855
14,CNN with Attention,"128 filters, kernel size 5",0.8421052631578947,0.8728323699421965,0.949685534591195,0.9096385542168675,0.5294117647058824,0.2903225806451613,0.375
15,CNN with Attention,"256 filters, kernel size 5",0.8473684210526315,0.8611111111111112,0.9748427672955975,0.9144542772861357,0.6,0.1935483870967742,0.2926829268292683
16,CNN with Attention,"64 filters, kernel size 3",0.8526315789473684,0.8786127167630058,0.9559748427672956,0.9156626506024096,0.5882352941176471,0.3225806451612903,0.41666666666666663
17,CNN with Attention,"128 filters, kernel size 3",0.8526315789473684,0.8742857142857143,0.9622641509433962,0.9161676646706588,0.6,0.2903225806451613,0.3913043478260869
18,CNN with Attention,"256 filters, kernel size 3",0.8473684210526315,0.8571428571428571,0.9811320754716981,0.9149560117302054,0.625,0.16129032258064516,0.2564102564102564
