,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8736842105263158,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.6129032258064516,0.6129032258064516,0.6129032258064516
1,LSTM,200 layers,0.8789473684210526,0.9415584415584416,0.9119496855345912,0.9265175718849841,0.6111111111111112,0.7096774193548387,0.6567164179104478
2,LSTM,100 layers,0.8473684210526315,0.922077922077922,0.8930817610062893,0.9073482428115016,0.5277777777777778,0.6129032258064516,0.5671641791044777
3,LSTM,50 layers,0.8368421052631579,0.8902439024390244,0.9182389937106918,0.9040247678018576,0.5,0.41935483870967744,0.45614035087719296
4,RNN,200 units,0.8526315789473684,0.901840490797546,0.9245283018867925,0.9130434782608695,0.5555555555555556,0.4838709677419355,0.5172413793103449
5,RNN,150 units,0.8473684210526315,0.8963414634146342,0.9245283018867925,0.9102167182662537,0.5384615384615384,0.45161290322580644,0.4912280701754386
6,RNN,100 units,0.8473684210526315,0.8735632183908046,0.9559748427672956,0.912912912912913,0.5625,0.2903225806451613,0.3829787234042554
7,RNN,50 units,0.8473684210526315,0.8651685393258427,0.9685534591194969,0.913946587537092,0.5833333333333334,0.22580645161290322,0.3255813953488372
8,CNN with Attention,"32 filters, kernel size 7",0.8526315789473684,0.8922155688622755,0.9371069182389937,0.9141104294478527,0.5652173913043478,0.41935483870967744,0.4814814814814815
9,CNN with Attention,"64 filters, kernel size 7",0.8631578947368421,0.884393063583815,0.9622641509433962,0.9216867469879518,0.6470588235294118,0.3548387096774194,0.4583333333333333
10,CNN with Attention,"128 filters, kernel size 7",0.868421052631579,0.8850574712643678,0.9685534591194969,0.9249249249249248,0.6875,0.3548387096774194,0.4680851063829787
11,CNN with Attention,"256 filters, kernel size 7",0.8578947368421053,0.8793103448275862,0.9622641509433962,0.9189189189189189,0.625,0.3225806451612903,0.425531914893617
12,CNN with Attention,"32 filters, kernel size 5",0.8842105263157894,0.9151515151515152,0.949685534591195,0.9320987654320988,0.68,0.5483870967741935,0.6071428571428571
13,CNN with Attention,"64 filters, kernel size 5",0.8631578947368421,0.9030303030303031,0.9371069182389937,0.9197530864197531,0.6,0.4838709677419355,0.5357142857142857
14,CNN with Attention,"128 filters, kernel size 5",0.8631578947368421,0.884393063583815,0.9622641509433962,0.9216867469879518,0.6470588235294118,0.3548387096774194,0.4583333333333333
15,CNN with Attention,"256 filters, kernel size 5",0.8421052631578947,0.8524590163934426,0.9811320754716981,0.912280701754386,0.5714285714285714,0.12903225806451613,0.2105263157894737
16,CNN with Attention,"64 filters, kernel size 3",0.8789473684210526,0.9047619047619048,0.9559748427672956,0.929663608562691,0.6818181818181818,0.4838709677419355,0.5660377358490567
17,CNN with Attention,"128 filters, kernel size 3",0.868421052631579,0.8806818181818182,0.9748427672955975,0.9253731343283582,0.7142857142857143,0.3225806451612903,0.4444444444444444
18,CNN with Attention,"256 filters, kernel size 3",0.8421052631578947,0.8603351955307262,0.9685534591194969,0.9112426035502958,0.5454545454545454,0.1935483870967742,0.2857142857142857
