,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8894736842105263,0.9367088607594937,0.9308176100628931,0.9337539432176657,0.65625,0.6774193548387096,0.6666666666666667
1,LSTM,200 layers,0.8631578947368421,0.9403973509933775,0.8930817610062893,0.9161290322580645,0.5641025641025641,0.7096774193548387,0.6285714285714286
2,LSTM,100 layers,0.8894736842105263,0.948051948051948,0.9182389937106918,0.9329073482428114,0.6388888888888888,0.7419354838709677,0.6865671641791045
3,LSTM,50 layers,0.8368421052631579,0.8809523809523809,0.9308176100628931,0.9051987767584098,0.5,0.3548387096774194,0.41509433962264153
4,RNN,200 units,0.8578947368421053,0.9024390243902439,0.9308176100628931,0.9164086687306501,0.5769230769230769,0.4838709677419355,0.5263157894736842
5,RNN,150 units,0.8789473684210526,0.9096385542168675,0.949685534591195,0.9292307692307692,0.6666666666666666,0.5161290322580645,0.5818181818181819
6,RNN,100 units,0.9052631578947369,0.9272727272727272,0.9622641509433962,0.9444444444444444,0.76,0.6129032258064516,0.6785714285714285
7,RNN,50 units,0.8736842105263158,0.8994082840236687,0.9559748427672956,0.9268292682926831,0.6666666666666666,0.45161290322580644,0.5384615384615384
8,CNN with Attention,"32 filters, kernel size 7",0.8736842105263158,0.8770949720670391,0.9874213836477987,0.9289940828402367,0.8181818181818182,0.2903225806451613,0.4285714285714286
9,CNN with Attention,"64 filters, kernel size 7",0.8473684210526315,0.8869047619047619,0.9371069182389937,0.9113149847094801,0.5454545454545454,0.3870967741935484,0.45283018867924524
10,CNN with Attention,"128 filters, kernel size 7",0.868421052631579,0.8895348837209303,0.9622641509433962,0.9244712990936556,0.6666666666666666,0.3870967741935484,0.4897959183673469
11,CNN with Attention,"256 filters, kernel size 7",0.8368421052631579,0.867816091954023,0.949685534591195,0.906906906906907,0.5,0.25806451612903225,0.3404255319148936
12,CNN with Attention,"32 filters, kernel size 5",0.8578947368421053,0.8837209302325582,0.9559748427672956,0.9184290030211482,0.6111111111111112,0.3548387096774194,0.4489795918367347
13,CNN with Attention,"64 filters, kernel size 5",0.8368421052631579,0.8636363636363636,0.9559748427672956,0.9074626865671643,0.5,0.22580645161290322,0.3111111111111111
14,CNN with Attention,"128 filters, kernel size 5",0.8473684210526315,0.8735632183908046,0.9559748427672956,0.912912912912913,0.5625,0.2903225806451613,0.3829787234042554
15,CNN with Attention,"256 filters, kernel size 5",0.8473684210526315,0.8494623655913979,0.9937106918238994,0.9159420289855074,0.75,0.0967741935483871,0.1714285714285714
16,CNN with Attention,"64 filters, kernel size 3",0.8578947368421053,0.888235294117647,0.949685534591195,0.9179331306990881,0.6,0.3870967741935484,0.47058823529411764
17,CNN with Attention,"128 filters, kernel size 3",0.868421052631579,0.8941176470588236,0.9559748427672956,0.9240121580547113,0.65,0.41935483870967744,0.5098039215686274
18,CNN with Attention,"256 filters, kernel size 3",0.8631578947368421,0.8633879781420765,0.9937106918238994,0.9239766081871346,0.8571428571428571,0.1935483870967742,0.3157894736842105
