,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8947368421052632,0.9483870967741935,0.9245283018867925,0.9363057324840764,0.6571428571428571,0.7419354838709677,0.6969696969696969
1,LSTM,200 layers,0.8789473684210526,0.925,0.9308176100628931,0.9278996865203761,0.6333333333333333,0.6129032258064516,0.6229508196721313
2,LSTM,100 layers,0.8789473684210526,0.9197530864197531,0.9371069182389937,0.9283489096573208,0.6428571428571429,0.5806451612903226,0.6101694915254238
3,LSTM,50 layers,0.8526315789473684,0.9171974522292994,0.9056603773584906,0.9113924050632911,0.5454545454545454,0.5806451612903226,0.5625
4,RNN,200 units,0.8578947368421053,0.9024390243902439,0.9308176100628931,0.9164086687306501,0.5769230769230769,0.4838709677419355,0.5263157894736842
5,RNN,150 units,0.8526315789473684,0.8875739644970414,0.9433962264150944,0.9146341463414636,0.5714285714285714,0.3870967741935484,0.4615384615384615
6,RNN,100 units,0.8894736842105263,0.8876404494382022,0.9937106918238994,0.9376854599406528,0.9166666666666666,0.3548387096774194,0.5116279069767442
7,RNN,50 units,0.8736842105263158,0.9192546583850931,0.9308176100628931,0.925,0.6206896551724138,0.5806451612903226,0.6000000000000001
8,CNN with Attention,"32 filters, kernel size 7",0.8473684210526315,0.9012345679012346,0.9182389937106918,0.9096573208722741,0.5357142857142857,0.4838709677419355,0.5084745762711865
9,CNN with Attention,"64 filters, kernel size 7",0.868421052631579,0.8850574712643678,0.9685534591194969,0.9249249249249248,0.6875,0.3548387096774194,0.4680851063829787
10,CNN with Attention,"128 filters, kernel size 7",0.8736842105263158,0.8857142857142857,0.9748427672955975,0.9281437125748503,0.7333333333333333,0.3548387096774194,0.47826086956521735
11,CNN with Attention,"256 filters, kernel size 7",0.8368421052631579,0.8764705882352941,0.9371069182389937,0.9057750759878419,0.5,0.3225806451612903,0.39215686274509803
12,CNN with Attention,"32 filters, kernel size 5",0.8631578947368421,0.9030303030303031,0.9371069182389937,0.9197530864197531,0.6,0.4838709677419355,0.5357142857142857
13,CNN with Attention,"64 filters, kernel size 5",0.8578947368421053,0.888235294117647,0.949685534591195,0.9179331306990881,0.6,0.3870967741935484,0.47058823529411764
14,CNN with Attention,"128 filters, kernel size 5",0.8578947368421053,0.8837209302325582,0.9559748427672956,0.9184290030211482,0.6111111111111112,0.3548387096774194,0.4489795918367347
15,CNN with Attention,"256 filters, kernel size 5",0.8315789473684211,0.8628571428571429,0.949685534591195,0.9041916167664671,0.4666666666666667,0.22580645161290322,0.3043478260869565
16,CNN with Attention,"64 filters, kernel size 3",0.8578947368421053,0.8837209302325582,0.9559748427672956,0.9184290030211482,0.6111111111111112,0.3548387096774194,0.4489795918367347
17,CNN with Attention,"128 filters, kernel size 3",0.8473684210526315,0.8735632183908046,0.9559748427672956,0.912912912912913,0.5625,0.2903225806451613,0.3829787234042554
18,CNN with Attention,"256 filters, kernel size 3",0.8473684210526315,0.8735632183908046,0.9559748427672956,0.912912912912913,0.5625,0.2903225806451613,0.3829787234042554
