,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8789473684210526,0.9197530864197531,0.9371069182389937,0.9283489096573208,0.6428571428571429,0.5806451612903226,0.6101694915254238
1,LSTM,200 layers,0.8578947368421053,0.9177215189873418,0.9119496855345912,0.9148264984227129,0.5625,0.5806451612903226,0.5714285714285715
2,LSTM,100 layers,0.8789473684210526,0.9473684210526315,0.9056603773584906,0.9260450160771704,0.6052631578947368,0.7419354838709677,0.6666666666666666
3,LSTM,50 layers,0.8631578947368421,0.9030303030303031,0.9371069182389937,0.9197530864197531,0.6,0.4838709677419355,0.5357142857142857
4,RNN,200 units,0.8157894736842105,0.8827160493827161,0.89937106918239,0.8909657320872275,0.42857142857142855,0.3870967741935484,0.4067796610169491
5,RNN,150 units,0.8526315789473684,0.896969696969697,0.9308176100628931,0.9135802469135803,0.56,0.45161290322580644,0.5
6,RNN,100 units,0.8578947368421053,0.9074074074074074,0.9245283018867925,0.9158878504672898,0.5714285714285714,0.5161290322580645,0.5423728813559322
7,RNN,50 units,0.8473684210526315,0.9012345679012346,0.9182389937106918,0.9096573208722741,0.5357142857142857,0.4838709677419355,0.5084745762711865
8,CNN with Attention,"32 filters, kernel size 7",0.8473684210526315,0.8869047619047619,0.9371069182389937,0.9113149847094801,0.5454545454545454,0.3870967741935484,0.45283018867924524
9,CNN with Attention,"64 filters, kernel size 7",0.868421052631579,0.8988095238095238,0.949685534591195,0.9235474006116209,0.6363636363636364,0.45161290322580644,0.5283018867924528
10,CNN with Attention,"128 filters, kernel size 7",0.8473684210526315,0.8823529411764706,0.9433962264150944,0.911854103343465,0.55,0.3548387096774194,0.43137254901960786
11,CNN with Attention,"256 filters, kernel size 7",0.8578947368421053,0.9024390243902439,0.9308176100628931,0.9164086687306501,0.5769230769230769,0.4838709677419355,0.5263157894736842
12,CNN with Attention,"32 filters, kernel size 5",0.8578947368421053,0.8793103448275862,0.9622641509433962,0.9189189189189189,0.625,0.3225806451612903,0.425531914893617
13,CNN with Attention,"64 filters, kernel size 5",0.8631578947368421,0.893491124260355,0.949685534591195,0.9207317073170732,0.6190476190476191,0.41935483870967744,0.5
14,CNN with Attention,"128 filters, kernel size 5",0.8736842105263158,0.9041916167664671,0.949685534591195,0.9263803680981595,0.6521739130434783,0.4838709677419355,0.5555555555555556
15,CNN with Attention,"256 filters, kernel size 5",0.8421052631578947,0.864406779661017,0.9622641509433962,0.9107142857142857,0.5384615384615384,0.22580645161290322,0.3181818181818182
16,CNN with Attention,"64 filters, kernel size 3",0.8631578947368421,0.8888888888888888,0.9559748427672956,0.9212121212121211,0.631578947368421,0.3870967741935484,0.48000000000000004
17,CNN with Attention,"128 filters, kernel size 3",0.8526315789473684,0.8786127167630058,0.9559748427672956,0.9156626506024096,0.5882352941176471,0.3225806451612903,0.41666666666666663
18,CNN with Attention,"256 filters, kernel size 3",0.8578947368421053,0.8793103448275862,0.9622641509433962,0.9189189189189189,0.625,0.3225806451612903,0.425531914893617
