,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8736842105263158,0.9192546583850931,0.9308176100628931,0.925,0.6206896551724138,0.5806451612903226,0.6000000000000001
1,LSTM,200 layers,0.8526315789473684,0.9119496855345912,0.9119496855345912,0.9119496855345912,0.5483870967741935,0.5483870967741935,0.5483870967741935
2,LSTM,100 layers,0.8736842105263158,0.9354838709677419,0.9119496855345912,0.9235668789808916,0.6,0.6774193548387096,0.6363636363636364
3,LSTM,50 layers,0.8736842105263158,0.9192546583850931,0.9308176100628931,0.925,0.6206896551724138,0.5806451612903226,0.6000000000000001
4,RNN,200 units,0.8473684210526315,0.891566265060241,0.9308176100628931,0.9107692307692308,0.5416666666666666,0.41935483870967744,0.4727272727272728
5,RNN,150 units,0.8421052631578947,0.8816568047337278,0.9371069182389937,0.9085365853658537,0.5238095238095238,0.3548387096774194,0.4230769230769231
6,RNN,100 units,0.8631578947368421,0.8982035928143712,0.9433962264150944,0.920245398773006,0.6086956521739131,0.45161290322580644,0.5185185185185185
7,RNN,50 units,0.8421052631578947,0.8816568047337278,0.9371069182389937,0.9085365853658537,0.5238095238095238,0.3548387096774194,0.4230769230769231
8,CNN with Attention,"32 filters, kernel size 7",0.8526315789473684,0.8875739644970414,0.9433962264150944,0.9146341463414636,0.5714285714285714,0.3870967741935484,0.4615384615384615
9,CNN with Attention,"64 filters, kernel size 7",0.8736842105263158,0.9041916167664671,0.949685534591195,0.9263803680981595,0.6521739130434783,0.4838709677419355,0.5555555555555556
10,CNN with Attention,"128 filters, kernel size 7",0.8421052631578947,0.8862275449101796,0.9308176100628931,0.9079754601226994,0.5217391304347826,0.3870967741935484,0.4444444444444444
11,CNN with Attention,"256 filters, kernel size 7",0.8315789473684211,0.850828729281768,0.9685534591194969,0.9058823529411765,0.4444444444444444,0.12903225806451613,0.19999999999999998
12,CNN with Attention,"32 filters, kernel size 5",0.8578947368421053,0.8837209302325582,0.9559748427672956,0.9184290030211482,0.6111111111111112,0.3548387096774194,0.4489795918367347
13,CNN with Attention,"64 filters, kernel size 5",0.8789473684210526,0.9,0.9622641509433962,0.9300911854103344,0.7,0.45161290322580644,0.5490196078431372
14,CNN with Attention,"128 filters, kernel size 5",0.8526315789473684,0.8786127167630058,0.9559748427672956,0.9156626506024096,0.5882352941176471,0.3225806451612903,0.41666666666666663
15,CNN with Attention,"256 filters, kernel size 5",0.8526315789473684,0.8579234972677595,0.9874213836477987,0.9181286549707602,0.7142857142857143,0.16129032258064516,0.2631578947368421
16,CNN with Attention,"64 filters, kernel size 3",0.8842105263157894,0.9053254437869822,0.9622641509433962,0.9329268292682927,0.7142857142857143,0.4838709677419355,0.5769230769230769
17,CNN with Attention,"128 filters, kernel size 3",0.8578947368421053,0.8837209302325582,0.9559748427672956,0.9184290030211482,0.6111111111111112,0.3548387096774194,0.4489795918367347
18,CNN with Attention,"256 filters, kernel size 3",0.8526315789473684,0.8540540540540541,0.9937106918238994,0.9186046511627908,0.8,0.12903225806451613,0.2222222222222222
