,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8789473684210526,0.9146341463414634,0.9433962264150944,0.9287925696594428,0.6538461538461539,0.5483870967741935,0.5964912280701755
1,LSTM,200 layers,0.8894736842105263,0.9207317073170732,0.949685534591195,0.9349845201238389,0.6923076923076923,0.5806451612903226,0.631578947368421
2,LSTM,100 layers,0.8578947368421053,0.9177215189873418,0.9119496855345912,0.9148264984227129,0.5625,0.5806451612903226,0.5714285714285715
3,LSTM,50 layers,0.8473684210526315,0.9113924050632911,0.9056603773584906,0.9085173501577287,0.53125,0.5483870967741935,0.5396825396825397
4,RNN,200 units,0.8473684210526315,0.891566265060241,0.9308176100628931,0.9107692307692308,0.5416666666666666,0.41935483870967744,0.4727272727272728
5,RNN,150 units,0.8526315789473684,0.906832298136646,0.9182389937106918,0.9125000000000001,0.5517241379310345,0.5161290322580645,0.5333333333333333
6,RNN,100 units,0.8631578947368421,0.893491124260355,0.949685534591195,0.9207317073170732,0.6190476190476191,0.41935483870967744,0.5
7,RNN,50 units,0.8578947368421053,0.8975903614457831,0.9371069182389937,0.9169230769230768,0.5833333333333334,0.45161290322580644,0.509090909090909
8,CNN with Attention,"32 filters, kernel size 7",0.8578947368421053,0.8837209302325582,0.9559748427672956,0.9184290030211482,0.6111111111111112,0.3548387096774194,0.4489795918367347
9,CNN with Attention,"64 filters, kernel size 7",0.868421052631579,0.9085365853658537,0.9371069182389937,0.9226006191950464,0.6153846153846154,0.5161290322580645,0.5614035087719298
10,CNN with Attention,"128 filters, kernel size 7",0.8842105263157894,0.9005847953216374,0.9685534591194969,0.9333333333333332,0.7368421052631579,0.45161290322580644,0.56
11,CNN with Attention,"256 filters, kernel size 7",0.8526315789473684,0.896969696969697,0.9308176100628931,0.9135802469135803,0.56,0.45161290322580644,0.5
12,CNN with Attention,"32 filters, kernel size 5",0.8526315789473684,0.8830409356725146,0.949685534591195,0.9151515151515152,0.5789473684210527,0.3548387096774194,0.44000000000000006
13,CNN with Attention,"64 filters, kernel size 5",0.8578947368421053,0.8975903614457831,0.9371069182389937,0.9169230769230768,0.5833333333333334,0.45161290322580644,0.509090909090909
14,CNN with Attention,"128 filters, kernel size 5",0.868421052631579,0.8850574712643678,0.9685534591194969,0.9249249249249248,0.6875,0.3548387096774194,0.4680851063829787
15,CNN with Attention,"256 filters, kernel size 5",0.8526315789473684,0.8540540540540541,0.9937106918238994,0.9186046511627908,0.8,0.12903225806451613,0.2222222222222222
16,CNN with Attention,"64 filters, kernel size 3",0.8789473684210526,0.9047619047619048,0.9559748427672956,0.929663608562691,0.6818181818181818,0.4838709677419355,0.5660377358490567
17,CNN with Attention,"128 filters, kernel size 3",0.8631578947368421,0.884393063583815,0.9622641509433962,0.9216867469879518,0.6470588235294118,0.3548387096774194,0.4583333333333333
18,CNN with Attention,"256 filters, kernel size 3",0.8473684210526315,0.8532608695652174,0.9874213836477987,0.9154518950437318,0.6666666666666666,0.12903225806451613,0.2162162162162162
