,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9,0.9195402298850575,0.9696969696969697,0.943952802359882,0.6875,0.44,0.5365853658536586
1,LSTM,200 layers,0.9,0.9294117647058824,0.9575757575757575,0.9432835820895523,0.65,0.52,0.5777777777777778
2,LSTM,100 layers,0.8631578947368421,0.9112426035502958,0.9333333333333333,0.9221556886227545,0.47619047619047616,0.4,0.43478260869565216
3,LSTM,50 layers,0.8736842105263158,0.9325153374233128,0.9212121212121213,0.9268292682926829,0.5185185185185185,0.56,0.5384615384615384
4,CNN with Attention,"32 filters, kernel size 7",0.9368421052631579,0.9526627218934911,0.9757575757575757,0.964071856287425,0.8095238095238095,0.68,0.7391304347826089
5,CNN with Attention,"32 filters, kernel size 5",0.9263157894736842,0.9467455621301775,0.9696969696969697,0.9580838323353293,0.7619047619047619,0.64,0.6956521739130435
6,CNN with Attention,"32 filters, kernel size 3",0.9315789473684211,0.9523809523809523,0.9696969696969697,0.960960960960961,0.7727272727272727,0.68,0.7234042553191491
7,CNN with Attention,"64 filters, kernel size 7",0.9473684210526315,0.9640718562874252,0.9757575757575757,0.9698795180722892,0.8260869565217391,0.76,0.7916666666666667
8,CNN with Attention,"64 filters, kernel size 5",0.9368421052631579,0.9636363636363636,0.9636363636363636,0.9636363636363636,0.76,0.76,0.76
9,CNN with Attention,"64 filters, kernel size 3",0.9368421052631579,0.9526627218934911,0.9757575757575757,0.964071856287425,0.8095238095238095,0.68,0.7391304347826089
10,CNN with Attention,"128 filters, kernel size 7",0.9473684210526315,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.8,0.8,0.8000000000000002
11,CNN with Attention,"128 filters, kernel size 5",0.9368421052631579,0.9526627218934911,0.9757575757575757,0.964071856287425,0.8095238095238095,0.68,0.7391304347826089
12,CNN with Attention,"128 filters, kernel size 3",0.9421052631578948,0.9529411764705882,0.9818181818181818,0.9671641791044776,0.85,0.68,0.7555555555555556
13,CNN with Attention,"256 filters, kernel size 7",0.9526315789473684,0.9698795180722891,0.9757575757575757,0.9728096676737159,0.8333333333333334,0.8,0.816326530612245
14,CNN with Attention,"256 filters, kernel size 5",0.9368421052631579,0.9526627218934911,0.9757575757575757,0.964071856287425,0.8095238095238095,0.68,0.7391304347826089
15,CNN with Attention,"256 filters, kernel size 3",0.9315789473684211,0.9523809523809523,0.9696969696969697,0.960960960960961,0.7727272727272727,0.68,0.7234042553191491
16,RNN,200 units,0.8947368421052632,0.9190751445086706,0.9636363636363636,0.9408284023668639,0.6470588235294118,0.44,0.5238095238095238
17,RNN,150 units,0.9157894736842105,0.9162011173184358,0.9939393939393939,0.9534883720930233,0.9090909090909091,0.4,0.5555555555555556
18,RNN,100 units,0.9,0.9010989010989011,0.9939393939393939,0.9452449567723342,0.875,0.28,0.42424242424242425
19,RNN,50 units,0.8789473684210526,0.8817204301075269,0.9939393939393939,0.9344729344729346,0.75,0.12,0.20689655172413793
20,CNN,"32 filters, kernel size 7",0.9315789473684211,0.9523809523809523,0.9696969696969697,0.960960960960961,0.7727272727272727,0.68,0.7234042553191491
21,CNN,"32 filters, kernel size 5",0.9421052631578948,0.9529411764705882,0.9818181818181818,0.9671641791044776,0.85,0.68,0.7555555555555556
22,CNN,"32 filters, kernel size 3",0.9368421052631579,0.9526627218934911,0.9757575757575757,0.964071856287425,0.8095238095238095,0.68,0.7391304347826089
23,CNN,"64 filters, kernel size 7",0.9368421052631579,0.9526627218934911,0.9757575757575757,0.964071856287425,0.8095238095238095,0.68,0.7391304347826089
24,CNN,"64 filters, kernel size 5",0.9368421052631579,0.9526627218934911,0.9757575757575757,0.964071856287425,0.8095238095238095,0.68,0.7391304347826089
25,CNN,"64 filters, kernel size 3",0.9368421052631579,0.9526627218934911,0.9757575757575757,0.964071856287425,0.8095238095238095,0.68,0.7391304347826089
26,CNN,"128 filters, kernel size 7",0.9421052631578948,0.9529411764705882,0.9818181818181818,0.9671641791044776,0.85,0.68,0.7555555555555556
27,CNN,"128 filters, kernel size 5",0.9315789473684211,0.9523809523809523,0.9696969696969697,0.960960960960961,0.7727272727272727,0.68,0.7234042553191491
28,CNN,"128 filters, kernel size 3",0.9210526315789473,0.9518072289156626,0.9575757575757575,0.9546827794561934,0.7083333333333334,0.68,0.6938775510204083
29,CNN,"256 filters, kernel size 7",0.9368421052631579,0.9580838323353293,0.9696969696969697,0.963855421686747,0.782608695652174,0.72,0.7499999999999999
30,CNN,"256 filters, kernel size 5",0.9368421052631579,0.9526627218934911,0.9757575757575757,0.964071856287425,0.8095238095238095,0.68,0.7391304347826089
31,CNN,"256 filters, kernel size 3",0.9315789473684211,0.9523809523809523,0.9696969696969697,0.960960960960961,0.7727272727272727,0.68,0.7234042553191491
