,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.5546218487394958,0.9051094890510949,0.5714285714285714,0.7005649717514123,0.07920792079207921,0.38095238095238093,0.13114754098360656,0.09
1,LSTM,128 layers,0.5462184873949579,0.9067164179104478,0.5599078341013825,0.6923076923076923,0.08173076923076923,0.40476190476190477,0.136,0.09
2,LSTM,64 layers,0.8445378151260504,0.9147465437788018,0.9147465437788018,0.9147465437788018,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.09
3,LSTM,32 layers,0.8781512605042017,0.9585365853658536,0.9055299539170507,0.9312796208530806,0.3787878787878788,0.5952380952380952,0.46296296296296297,0.09
4,CNN with Attention,"32 filters, kernel size 7",0.5525210084033614,0.9077490774907749,0.5668202764976958,0.6978723404255319,0.08292682926829269,0.40476190476190477,0.13765182186234817,0.09
5,CNN with Attention,"32 filters, kernel size 5",0.5630252100840336,0.9094202898550725,0.5783410138248848,0.7070422535211268,0.085,0.40476190476190477,0.14049586776859505,0.09
6,CNN with Attention,"32 filters, kernel size 3",0.5504201680672269,0.9044117647058824,0.5668202764976958,0.6968838526912181,0.0784313725490196,0.38095238095238093,0.13008130081300812,0.09
7,CNN with Attention,"64 filters, kernel size 7",0.5483193277310925,0.9040590405904059,0.5645161290322581,0.6950354609929078,0.07804878048780488,0.38095238095238093,0.12955465587044535,0.09
8,CNN with Attention,"64 filters, kernel size 5",0.5021008403361344,0.9264069264069265,0.4930875576036866,0.6436090225563909,0.10204081632653061,0.5952380952380952,0.17421602787456447,0.09
9,CNN with Attention,"64 filters, kernel size 3",0.6596638655462185,0.925,0.6820276497695853,0.7851458885941645,0.11538461538461539,0.42857142857142855,0.18181818181818182,0.09
10,CNN with Attention,"128 filters, kernel size 7",0.5588235294117647,0.9087591240875912,0.5737327188940092,0.7033898305084745,0.08415841584158416,0.40476190476190477,0.13934426229508198,0.09
11,CNN with Attention,"128 filters, kernel size 5",0.5462184873949579,0.9097744360902256,0.5576036866359447,0.6914285714285715,0.08571428571428572,0.42857142857142855,0.14285714285714285,0.09
12,CNN with Attention,"128 filters, kernel size 3",0.5588235294117647,0.9117647058823529,0.5714285714285714,0.7025495750708214,0.08823529411764706,0.42857142857142855,0.14634146341463417,0.09
13,CNN with Attention,"256 filters, kernel size 7",0.5399159663865546,0.9317269076305221,0.5345622119815668,0.6793557833089313,0.11013215859030837,0.5952380952380952,0.18587360594795538,0.09
14,CNN with Attention,"256 filters, kernel size 5",0.5546218487394958,0.9111111111111111,0.5668202764976958,0.6988636363636364,0.08737864077669903,0.42857142857142855,0.14516129032258063,0.09
15,CNN with Attention,"256 filters, kernel size 3",0.6512605042016807,0.91875,0.6774193548387096,0.779840848806366,0.10256410256410256,0.38095238095238093,0.1616161616161616,0.09
16,RNN,256 units,0.5987394957983193,0.9175257731958762,0.6152073732718893,0.736551724137931,0.0972972972972973,0.42857142857142855,0.1585903083700441,0.09
17,RNN,128 units,0.6386554621848739,0.9253246753246753,0.6566820276497696,0.7681940700808626,0.1130952380952381,0.4523809523809524,0.18095238095238098,0.09
18,RNN,64 units,0.5672268907563025,0.9071428571428571,0.5852534562211982,0.7114845938375349,0.08163265306122448,0.38095238095238093,0.13445378151260504,0.09
19,RNN,32 units,0.49369747899159666,0.9004149377593361,0.5,0.6429629629629631,0.07659574468085106,0.42857142857142855,0.1299638989169675,0.09
20,CNN,"32 filters, kernel size 7",0.5483193277310925,0.9070631970260223,0.5622119815668203,0.694167852062589,0.0821256038647343,0.40476190476190477,0.13654618473895583,0.09
21,CNN,"32 filters, kernel size 5",0.5546218487394958,0.9111111111111111,0.5668202764976958,0.6988636363636364,0.08737864077669903,0.42857142857142855,0.14516129032258063,0.09
22,CNN,"32 filters, kernel size 3",0.5882352941176471,0.916083916083916,0.6036866359447005,0.7277777777777779,0.09473684210526316,0.42857142857142855,0.15517241379310343,0.09
23,CNN,"64 filters, kernel size 7",0.5672268907563025,0.9130434782608695,0.5806451612903226,0.7098591549295775,0.09,0.42857142857142855,0.1487603305785124,0.09
24,CNN,"64 filters, kernel size 5",0.5609243697478992,0.9090909090909091,0.576036866359447,0.7052186177715092,0.0845771144278607,0.40476190476190477,0.13991769547325103,0.09
25,CNN,"64 filters, kernel size 3",0.6134453781512605,0.9166666666666666,0.6336405529953917,0.7493188010899182,0.09659090909090909,0.40476190476190477,0.1559633027522936,0.09
26,CNN,"128 filters, kernel size 7",0.5399159663865546,0.9056603773584906,0.5529953917050692,0.6866952789699572,0.08056872037914692,0.40476190476190477,0.13438735177865613,0.09
27,CNN,"128 filters, kernel size 5",0.5546218487394958,0.9172932330827067,0.5622119815668203,0.6971428571428572,0.09523809523809523,0.47619047619047616,0.15873015873015872,0.09
28,CNN,"128 filters, kernel size 3",0.6260504201680672,0.9210526315789473,0.6451612903225806,0.7588075880758808,0.10465116279069768,0.42857142857142855,0.16822429906542058,0.09
29,CNN,"256 filters, kernel size 7",0.569327731092437,0.910394265232975,0.5852534562211982,0.7124824684431977,0.08629441624365482,0.40476190476190477,0.14225941422594143,0.09
30,CNN,"256 filters, kernel size 5",0.5651260504201681,0.9127272727272727,0.5783410138248848,0.7080394922425952,0.08955223880597014,0.42857142857142855,0.14814814814814814,0.09
31,CNN,"256 filters, kernel size 3",0.6932773109243697,0.9260355029585798,0.7211981566820277,0.8108808290155441,0.12318840579710146,0.40476190476190477,0.1888888888888889,0.09
