,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
1,LSTM,128 layers,0.7618025751072961,0.9007633587786259,0.8309859154929577,0.8644688644688645,0.0136986301369863,0.025,0.017699115044247787,0.09
2,LSTM,64 layers,0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
3,LSTM,32 layers,0.6566523605150214,0.9006024096385542,0.7018779342723005,0.7889182058047494,0.05223880597014925,0.175,0.08045977011494253,0.09
4,CNN with Attention,"32 filters, kernel size 7",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
5,CNN with Attention,"32 filters, kernel size 5",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
6,CNN with Attention,"32 filters, kernel size 3",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
7,CNN with Attention,"64 filters, kernel size 7",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
8,CNN with Attention,"64 filters, kernel size 5",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
9,CNN with Attention,"64 filters, kernel size 3",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
10,CNN with Attention,"128 filters, kernel size 7",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
11,CNN with Attention,"128 filters, kernel size 5",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
12,CNN with Attention,"128 filters, kernel size 3",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
13,CNN with Attention,"256 filters, kernel size 7",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
14,CNN with Attention,"256 filters, kernel size 5",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
15,CNN with Attention,"256 filters, kernel size 3",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
16,RNN,256 units,0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
17,RNN,128 units,0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
18,RNN,64 units,0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
19,RNN,32 units,0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
20,CNN,"32 filters, kernel size 7",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
21,CNN,"32 filters, kernel size 5",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
22,CNN,"32 filters, kernel size 3",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
23,CNN,"64 filters, kernel size 7",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
24,CNN,"64 filters, kernel size 5",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
25,CNN,"64 filters, kernel size 3",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
26,CNN,"128 filters, kernel size 7",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
27,CNN,"128 filters, kernel size 5",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
28,CNN,"128 filters, kernel size 3",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
29,CNN,"256 filters, kernel size 7",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
30,CNN,"256 filters, kernel size 5",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
31,CNN,"256 filters, kernel size 3",0.9141630901287554,0.9141630901287554,1.0,0.9551569506726457,0.0,0.0,0.0,0.09
