,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9163090128755365,0.9302832244008714,0.9838709677419355,0.9563269876819709,0.0,0.0,0.0,0.07
1,LSTM,128 layers,0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
2,LSTM,64 layers,0.351931330472103,0.9852941176470589,0.3087557603686636,0.47017543859649125,0.09090909090909091,0.9375,0.16574585635359118,0.07
3,LSTM,32 layers,0.47854077253218885,0.9360730593607306,0.47235023041474655,0.6278713629402757,0.0728744939271255,0.5625,0.12903225806451613,0.07
4,CNN with Attention,"32 filters, kernel size 7",0.8733905579399142,0.9310344827586207,0.9331797235023042,0.9321058688147296,0.06451612903225806,0.0625,0.06349206349206349,0.07
5,CNN with Attention,"32 filters, kernel size 5",0.8991416309012875,0.9328859060402684,0.9608294930875576,0.9466515323496026,0.10526315789473684,0.0625,0.0784313725490196,0.07
6,CNN with Attention,"32 filters, kernel size 3",0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
7,CNN with Attention,"64 filters, kernel size 7",0.8969957081545065,0.9327354260089686,0.9585253456221198,0.9454545454545454,0.1,0.0625,0.07692307692307693,0.07
8,CNN with Attention,"64 filters, kernel size 5",0.9206008583690987,0.9343544857768052,0.9838709677419355,0.9584736251402918,0.2222222222222222,0.0625,0.0975609756097561,0.07
9,CNN with Attention,"64 filters, kernel size 3",0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
10,CNN with Attention,"128 filters, kernel size 7",0.927038626609442,0.9347826086956522,0.9907834101382489,0.9619686800894856,0.3333333333333333,0.0625,0.10526315789473684,0.07
11,CNN with Attention,"128 filters, kernel size 5",0.9291845493562232,0.9330453563714903,0.9953917050691244,0.9632107023411371,0.3333333333333333,0.03125,0.05714285714285714,0.07
12,CNN with Attention,"128 filters, kernel size 3",0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
13,CNN with Attention,"256 filters, kernel size 7",0.927038626609442,0.9329004329004329,0.9930875576036866,0.9620535714285714,0.25,0.03125,0.05555555555555555,0.07
14,CNN with Attention,"256 filters, kernel size 5",0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
15,CNN with Attention,"256 filters, kernel size 3",0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
16,RNN,256 units,0.07296137339055794,1.0,0.004608294930875576,0.009174311926605503,0.06896551724137931,1.0,0.12903225806451613,0.07
17,RNN,128 units,0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
18,RNN,64 units,0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
19,RNN,32 units,0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
20,CNN,"32 filters, kernel size 7",0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
21,CNN,"32 filters, kernel size 5",0.927038626609442,0.9329004329004329,0.9930875576036866,0.9620535714285714,0.25,0.03125,0.05555555555555555,0.07
22,CNN,"32 filters, kernel size 3",0.9313304721030042,0.9313304721030042,1.0,0.9644444444444444,0.0,0.0,0.0,0.07
23,CNN,"64 filters, kernel size 7",0.8884120171673819,0.9321266968325792,0.9493087557603687,0.9406392694063928,0.08333333333333333,0.0625,0.07142857142857144,0.07
24,CNN,"64 filters, kernel size 5",0.9055793991416309,0.9333333333333333,0.967741935483871,0.9502262443438915,0.125,0.0625,0.08333333333333333,0.07
25,CNN,"64 filters, kernel size 3",0.9206008583690987,0.9324618736383442,0.9861751152073732,0.9585666293393056,0.14285714285714285,0.03125,0.05128205128205128,0.07
26,CNN,"128 filters, kernel size 7",0.9098712446351931,0.9336283185840708,0.9723502304147466,0.9525959367945824,0.14285714285714285,0.0625,0.08695652173913043,0.07
27,CNN,"128 filters, kernel size 5",0.8991416309012875,0.9328859060402684,0.9608294930875576,0.9466515323496026,0.10526315789473684,0.0625,0.0784313725490196,0.07
28,CNN,"128 filters, kernel size 3",0.9206008583690987,0.9324618736383442,0.9861751152073732,0.9585666293393056,0.14285714285714285,0.03125,0.05128205128205128,0.07
29,CNN,"256 filters, kernel size 7",0.9184549356223176,0.9342105263157895,0.9815668202764977,0.9573033707865168,0.2,0.0625,0.09523809523809523,0.07
30,CNN,"256 filters, kernel size 5",0.9163090128755365,0.9340659340659341,0.9792626728110599,0.9561304836895389,0.18181818181818182,0.0625,0.09302325581395349,0.07
31,CNN,"256 filters, kernel size 3",0.8948497854077253,0.9345372460496614,0.9539170506912442,0.9441277080957811,0.13043478260869565,0.09375,0.10909090909090909,0.07
