,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9184549356223176,0.9394618834080718,0.9744186046511628,0.95662100456621,0.45,0.25,0.32142857142857145,0.08
1,LSTM,128 layers,0.9291845493562232,0.9362637362637363,0.9906976744186047,0.9627118644067797,0.6363636363636364,0.19444444444444445,0.29787234042553196,0.08
2,LSTM,64 layers,0.9163090128755365,0.9277899343544858,0.986046511627907,0.9560315670800452,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.08
3,LSTM,32 layers,0.9227467811158798,0.9227467811158798,1.0,0.9598214285714286,0.0,0.0,0.0,0.08
4,CNN with Attention,"32 filters, kernel size 7",0.8948497854077253,0.9205298013245033,0.9697674418604652,0.9445073612684032,0.0,0.0,0.0,0.08
5,CNN with Attention,"32 filters, kernel size 5",0.9055793991416309,0.9213973799126638,0.9813953488372092,0.9504504504504504,0.0,0.0,0.0,0.08
6,CNN with Attention,"32 filters, kernel size 3",0.9141630901287554,0.922077922077922,0.9906976744186047,0.9551569506726457,0.0,0.0,0.0,0.08
7,CNN with Attention,"64 filters, kernel size 7",0.9055793991416309,0.9213973799126638,0.9813953488372092,0.9504504504504504,0.0,0.0,0.0,0.08
8,CNN with Attention,"64 filters, kernel size 5",0.9012875536480687,0.9210526315789473,0.9767441860465116,0.9480812641083521,0.0,0.0,0.0,0.08
9,CNN with Attention,"64 filters, kernel size 3",0.9034334763948498,0.9212253829321663,0.9790697674418605,0.9492671927846673,0.0,0.0,0.0,0.08
10,CNN with Attention,"128 filters, kernel size 7",0.9034334763948498,0.9212253829321663,0.9790697674418605,0.9492671927846673,0.0,0.0,0.0,0.08
11,CNN with Attention,"128 filters, kernel size 5",0.8991416309012875,0.9208791208791208,0.9744186046511628,0.9468926553672317,0.0,0.0,0.0,0.08
12,CNN with Attention,"128 filters, kernel size 3",0.9163090128755365,0.9222462203023758,0.9930232558139535,0.9563269876819709,0.0,0.0,0.0,0.08
13,CNN with Attention,"256 filters, kernel size 7",0.8991416309012875,0.9208791208791208,0.9744186046511628,0.9468926553672317,0.0,0.0,0.0,0.08
14,CNN with Attention,"256 filters, kernel size 5",0.9120171673819742,0.9219088937093276,0.9883720930232558,0.9539842873176206,0.0,0.0,0.0,0.08
15,CNN with Attention,"256 filters, kernel size 3",0.9227467811158798,0.9227467811158798,1.0,0.9598214285714286,0.0,0.0,0.0,0.08
16,RNN,256 units,0.9227467811158798,0.9227467811158798,1.0,0.9598214285714286,0.0,0.0,0.0,0.08
17,RNN,128 units,0.9227467811158798,0.9227467811158798,1.0,0.9598214285714286,0.0,0.0,0.0,0.08
18,RNN,64 units,0.9227467811158798,0.9227467811158798,1.0,0.9598214285714286,0.0,0.0,0.0,0.08
19,RNN,32 units,0.8927038626609443,0.9203539823008849,0.9674418604651163,0.9433106575963719,0.0,0.0,0.0,0.08
20,CNN,"32 filters, kernel size 7",0.9206008583690987,0.9225806451612903,0.9976744186046511,0.958659217877095,0.0,0.0,0.0,0.08
21,CNN,"32 filters, kernel size 5",0.907725321888412,0.9215686274509803,0.9837209302325581,0.951631046119235,0.0,0.0,0.0,0.08
22,CNN,"32 filters, kernel size 3",0.9184549356223176,0.9224137931034483,0.9953488372093023,0.9574944071588367,0.0,0.0,0.0,0.08
23,CNN,"64 filters, kernel size 7",0.8969957081545065,0.920704845814978,0.9720930232558139,0.9457013574660633,0.0,0.0,0.0,0.08
24,CNN,"64 filters, kernel size 5",0.9034334763948498,0.9212253829321663,0.9790697674418605,0.9492671927846673,0.0,0.0,0.0,0.08
25,CNN,"64 filters, kernel size 3",0.9055793991416309,0.9213973799126638,0.9813953488372092,0.9504504504504504,0.0,0.0,0.0,0.08
26,CNN,"128 filters, kernel size 7",0.8948497854077253,0.9205298013245033,0.9697674418604652,0.9445073612684032,0.0,0.0,0.0,0.08
27,CNN,"128 filters, kernel size 5",0.9012875536480687,0.9210526315789473,0.9767441860465116,0.9480812641083521,0.0,0.0,0.0,0.08
28,CNN,"128 filters, kernel size 3",0.9120171673819742,0.9219088937093276,0.9883720930232558,0.9539842873176206,0.0,0.0,0.0,0.08
29,CNN,"256 filters, kernel size 7",0.9120171673819742,0.9219088937093276,0.9883720930232558,0.9539842873176206,0.0,0.0,0.0,0.08
30,CNN,"256 filters, kernel size 5",0.9055793991416309,0.9213973799126638,0.9813953488372092,0.9504504504504504,0.0,0.0,0.0,0.08
31,CNN,"256 filters, kernel size 3",0.9098712446351931,0.9217391304347826,0.986046511627907,0.9528089887640449,0.0,0.0,0.0,0.08
