,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.8786008230452675,0.9287305122494433,0.9391891891891891,0.9339305711086227,0.2702702702702703,0.23809523809523808,0.25316455696202533,0.09
1,LSTM,128 layers,0.8436213991769548,0.9279069767441861,0.8986486486486487,0.9130434782608696,0.19642857142857142,0.2619047619047619,0.22448979591836735,0.09
2,LSTM,64 layers,0.9135802469135802,0.9152892561983471,0.9977477477477478,0.9547413793103448,0.5,0.023809523809523808,0.04545454545454545,0.09
3,LSTM,32 layers,0.8683127572016461,0.9318181818181818,0.9234234234234234,0.9276018099547512,0.2608695652173913,0.2857142857142857,0.2727272727272727,0.09
4,CNN with Attention,"32 filters, kernel size 7",0.8168724279835391,0.9216152019002375,0.8738738738738738,0.8971098265895954,0.13846153846153847,0.21428571428571427,0.16822429906542058,0.09
5,CNN with Attention,"32 filters, kernel size 5",0.757201646090535,0.9244791666666666,0.7995495495495496,0.857487922705314,0.12745098039215685,0.30952380952380953,0.18055555555555555,0.09
6,CNN with Attention,"32 filters, kernel size 3",0.8271604938271605,0.9285714285714286,0.8783783783783784,0.9027777777777779,0.18181818181818182,0.2857142857142857,0.2222222222222222,0.09
7,CNN with Attention,"64 filters, kernel size 7",0.720164609053498,0.9277777777777778,0.7522522522522522,0.8308457711442786,0.12698412698412698,0.38095238095238093,0.19047619047619047,0.09
8,CNN with Attention,"64 filters, kernel size 5",0.8004115226337448,0.9221411192214112,0.8536036036036037,0.8865497076023392,0.13333333333333333,0.23809523809523808,0.17094017094017092,0.09
9,CNN with Attention,"64 filters, kernel size 3",0.8189300411522634,0.9238095238095239,0.8738738738738738,0.8981481481481483,0.15151515151515152,0.23809523809523808,0.18518518518518517,0.09
10,CNN with Attention,"128 filters, kernel size 7",0.7860082304526749,0.9228855721393034,0.8355855855855856,0.8770685579196218,0.13095238095238096,0.2619047619047619,0.1746031746031746,0.09
11,CNN with Attention,"128 filters, kernel size 5",0.7736625514403292,0.9154228855721394,0.8288288288288288,0.8699763593380614,0.09523809523809523,0.19047619047619047,0.12698412698412698,0.09
12,CNN with Attention,"128 filters, kernel size 3",0.8662551440329218,0.9258426966292135,0.9279279279279279,0.9268841394825647,0.21951219512195122,0.21428571428571427,0.21686746987951805,0.09
13,CNN with Attention,"256 filters, kernel size 7",0.8024691358024691,0.9223300970873787,0.8558558558558559,0.8878504672897196,0.13513513513513514,0.23809523809523808,0.1724137931034483,0.09
14,CNN with Attention,"256 filters, kernel size 5",0.7304526748971193,0.9195710455764075,0.7725225225225225,0.8396572827417381,0.10619469026548672,0.2857142857142857,0.15483870967741936,0.09
15,CNN with Attention,"256 filters, kernel size 3",0.9032921810699589,0.9161425576519916,0.9842342342342343,0.9489685124864278,0.2222222222222222,0.047619047619047616,0.0784313725490196,0.09
16,RNN,256 units,0.8374485596707819,0.9195402298850575,0.9009009009009009,0.9101251422070535,0.13725490196078433,0.16666666666666666,0.15053763440860216,0.09
17,RNN,128 units,0.8436213991769548,0.9200913242009132,0.9076576576576577,0.9138321995464852,0.14583333333333334,0.16666666666666666,0.15555555555555556,0.09
18,RNN,64 units,0.7983539094650206,0.9199029126213593,0.8536036036036037,0.8855140186915889,0.12162162162162163,0.21428571428571427,0.15517241379310345,0.09
19,RNN,32 units,0.8148148148148148,0.919431279620853,0.8738738738738738,0.8960739030023095,0.125,0.19047619047619047,0.1509433962264151,0.09
20,CNN,"32 filters, kernel size 7",0.8004115226337448,0.9242053789731052,0.8513513513513513,0.8862837045720985,0.14285714285714285,0.2619047619047619,0.18487394957983194,0.09
21,CNN,"32 filters, kernel size 5",0.8765432098765432,0.9192139737991266,0.9481981981981982,0.9334811529933481,0.17857142857142858,0.11904761904761904,0.14285714285714285,0.09
22,CNN,"32 filters, kernel size 3",0.8292181069958847,0.9227166276346604,0.8873873873873874,0.9047072330654421,0.15254237288135594,0.21428571428571427,0.17821782178217824,0.09
23,CNN,"64 filters, kernel size 7",0.757201646090535,0.9222797927461139,0.8018018018018018,0.8578313253012049,0.12,0.2857142857142857,0.16901408450704222,0.09
24,CNN,"64 filters, kernel size 5",0.7489711934156379,0.93048128342246,0.7837837837837838,0.8508557457212713,0.14285714285714285,0.38095238095238093,0.20779220779220778,0.09
25,CNN,"64 filters, kernel size 3",0.8436213991769548,0.9259259259259259,0.9009009009009009,0.91324200913242,0.18518518518518517,0.23809523809523808,0.20833333333333334,0.09
26,CNN,"128 filters, kernel size 7",0.757201646090535,0.9179487179487179,0.8063063063063063,0.8585131894484412,0.10416666666666667,0.23809523809523808,0.14492753623188404,0.09
27,CNN,"128 filters, kernel size 5",0.8415637860082305,0.9218390804597701,0.9031531531531531,0.9124004550625712,0.1568627450980392,0.19047619047619047,0.17204301075268816,0.09
28,CNN,"128 filters, kernel size 3",0.8148148148148148,0.9214285714285714,0.8716216216216216,0.8958333333333333,0.13636363636363635,0.21428571428571427,0.16666666666666663,0.09
29,CNN,"256 filters, kernel size 7",0.7880658436213992,0.918918918918919,0.8423423423423423,0.8789659224441833,0.11392405063291139,0.21428571428571427,0.1487603305785124,0.09
30,CNN,"256 filters, kernel size 5",0.8189300411522634,0.9198113207547169,0.8783783783783784,0.8986175115207374,0.12903225806451613,0.19047619047619047,0.15384615384615383,0.09
31,CNN,"256 filters, kernel size 3",0.831275720164609,0.9248826291079812,0.8873873873873874,0.9057471264367817,0.16666666666666666,0.23809523809523808,0.19607843137254902,0.09
