,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.35964912280701755,0.8855421686746988,0.35,0.5017064846416383,0.05862068965517241,0.4722222222222222,0.10429447852760736,0.08
1,LSTM,128 layers,0.4692982456140351,0.9405940594059405,0.4523809523809524,0.6109324758842444,0.09448818897637795,0.6666666666666666,0.16551724137931037,0.08
2,LSTM,64 layers,0.2719298245614035,0.9583333333333334,0.21904761904761905,0.35658914728682173,0.08888888888888889,0.8888888888888888,0.16161616161616163,0.08
3,LSTM,32 layers,0.21271929824561403,0.8765432098765432,0.16904761904761906,0.2834331337325349,0.06933333333333333,0.7222222222222222,0.1265206812652068,0.08
4,CNN with Attention,"32 filters, kernel size 7",0.21052631578947367,0.9166666666666666,0.15714285714285714,0.26829268292682923,0.078125,0.8333333333333334,0.14285714285714285,0.08
5,CNN with Attention,"32 filters, kernel size 5",0.22149122807017543,0.922077922077922,0.16904761904761906,0.28571428571428575,0.079155672823219,0.8333333333333334,0.14457831325301207,0.08
6,CNN with Attention,"32 filters, kernel size 3",0.2324561403508772,0.9375,0.17857142857142858,0.30000000000000004,0.08244680851063829,0.8611111111111112,0.15048543689320387,0.08
7,CNN with Attention,"64 filters, kernel size 7",0.2236842105263158,0.9714285714285714,0.1619047619047619,0.2775510204081633,0.08808290155440414,0.9444444444444444,0.1611374407582938,0.08
8,CNN with Attention,"64 filters, kernel size 5",0.23464912280701755,0.927710843373494,0.18333333333333332,0.30616302186878724,0.08042895442359249,0.8333333333333334,0.1466992665036675,0.08
9,CNN with Attention,"64 filters, kernel size 3",0.24342105263157895,0.9518072289156626,0.1880952380952381,0.3141153081510934,0.08579088471849866,0.8888888888888888,0.15647921760391198,0.08
10,CNN with Attention,"128 filters, kernel size 7",0.2236842105263158,0.9583333333333334,0.16428571428571428,0.28048780487804875,0.0859375,0.9166666666666666,0.15714285714285714,0.08
11,CNN with Attention,"128 filters, kernel size 5",0.26096491228070173,0.9368421052631579,0.2119047619047619,0.3456310679611651,0.08310249307479224,0.8333333333333334,0.15113350125944586,0.08
12,CNN with Attention,"128 filters, kernel size 3",0.24342105263157895,0.987012987012987,0.18095238095238095,0.3058350100603622,0.09234828496042216,0.9722222222222222,0.16867469879518074,0.08
13,CNN with Attention,"256 filters, kernel size 7",0.22587719298245615,0.9240506329113924,0.1738095238095238,0.2925851703406813,0.07957559681697612,0.8333333333333334,0.14527845036319614,0.08
14,CNN with Attention,"256 filters, kernel size 5",0.23684210526315788,0.9285714285714286,0.18571428571428572,0.30952380952380953,0.08064516129032258,0.8333333333333334,0.14705882352941174,0.08
15,CNN with Attention,"256 filters, kernel size 3",0.2412280701754386,0.9512195121951219,0.18571428571428572,0.3107569721115538,0.0855614973262032,0.8888888888888888,0.15609756097560976,0.08
16,RNN,256 units,0.2719298245614035,0.9074074074074074,0.23333333333333334,0.3712121212121212,0.07471264367816093,0.7222222222222222,0.13541666666666669,0.08
17,RNN,128 units,0.29385964912280704,0.8769230769230769,0.2714285714285714,0.41454545454545455,0.06134969325153374,0.5555555555555556,0.11049723756906078,0.08
18,RNN,64 units,0.26973684210526316,0.8990825688073395,0.23333333333333334,0.37051039697542537,0.07204610951008646,0.6944444444444444,0.13054830287206265,0.08
19,RNN,32 units,0.08552631578947369,1.0,0.007142857142857143,0.014184397163120567,0.07947019867549669,1.0,0.147239263803681,0.08
20,CNN,"32 filters, kernel size 7",0.18859649122807018,0.9310344827586207,0.12857142857142856,0.22594142259414227,0.08040201005025126,0.8888888888888888,0.14746543778801843,0.08
21,CNN,"32 filters, kernel size 5",0.1513157894736842,1.0,0.07857142857142857,0.1456953642384106,0.0851063829787234,1.0,0.1568627450980392,0.08
22,CNN,"32 filters, kernel size 3",0.20614035087719298,0.9264705882352942,0.15,0.2581967213114754,0.07989690721649484,0.8611111111111112,0.14622641509433965,0.08
23,CNN,"64 filters, kernel size 7",0.15570175438596492,0.9487179487179487,0.0880952380952381,0.16122004357298478,0.0815347721822542,0.9444444444444444,0.1501103752759382,0.08
24,CNN,"64 filters, kernel size 5",0.17324561403508773,0.9387755102040817,0.10952380952380952,0.19616204690831557,0.08108108108108109,0.9166666666666666,0.14898419864559823,0.08
25,CNN,"64 filters, kernel size 3",0.17543859649122806,0.9074074074074074,0.11666666666666667,0.20675105485232068,0.07711442786069651,0.8611111111111112,0.1415525114155251,0.08
26,CNN,"128 filters, kernel size 7",0.16447368421052633,0.975609756097561,0.09523809523809523,0.17353579175704986,0.08433734939759036,0.9722222222222222,0.15521064301552104,0.08
27,CNN,"128 filters, kernel size 5",0.16885964912280702,0.9555555555555556,0.10238095238095238,0.1849462365591398,0.0827250608272506,0.9444444444444444,0.1521252796420582,0.08
28,CNN,"128 filters, kernel size 3",0.18640350877192982,0.9454545454545454,0.12380952380952381,0.21894736842105264,0.08229426433915212,0.9166666666666666,0.15102974828375285,0.08
29,CNN,"256 filters, kernel size 7",0.17105263157894737,0.9038461538461539,0.11190476190476191,0.19915254237288138,0.07673267326732673,0.8611111111111112,0.14090909090909093,0.08
30,CNN,"256 filters, kernel size 5",0.2149122807017544,0.9428571428571428,0.15714285714285714,0.26938775510204077,0.08290155440414508,0.8888888888888888,0.15165876777251183,0.08
31,CNN,"256 filters, kernel size 3",0.18201754385964913,0.9433962264150944,0.11904761904761904,0.21141649048625794,0.08188585607940446,0.9166666666666666,0.15034168564920272,0.08
