,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.5903361344537815,0.9686411149825784,0.5991379310344828,0.7403462050599201,0.015873015873015872,0.25,0.029850746268656716,0.03
1,LSTM,128 layers,0.4831932773109244,0.9739130434782609,0.4827586206896552,0.6455331412103746,0.024390243902439025,0.5,0.046511627906976744,0.03
2,LSTM,64 layers,0.4894957983193277,0.9510204081632653,0.5021551724137931,0.6572637517630466,0.0,0.0,0.0,0.03
3,LSTM,32 layers,0.9621848739495799,0.9806034482758621,0.9806034482758621,0.9806034482758621,0.25,0.25,0.25,0.03
4,CNN with Attention,"32 filters, kernel size 7",0.5462184873949579,0.9558823529411765,0.5603448275862069,0.7065217391304347,0.0,0.0,0.0,0.03
5,CNN with Attention,"32 filters, kernel size 5",0.5525210084033614,0.9563636363636364,0.5668103448275862,0.7117726657645467,0.0,0.0,0.0,0.03
6,CNN with Attention,"32 filters, kernel size 3",0.5567226890756303,0.9566787003610109,0.5711206896551724,0.7152496626180836,0.0,0.0,0.0,0.03
7,CNN with Attention,"64 filters, kernel size 7",0.5546218487394958,0.9565217391304348,0.5689655172413793,0.7135135135135137,0.0,0.0,0.0,0.03
8,CNN with Attention,"64 filters, kernel size 5",0.5525210084033614,0.9563636363636364,0.5668103448275862,0.7117726657645467,0.0,0.0,0.0,0.03
9,CNN with Attention,"64 filters, kernel size 3",0.5525210084033614,0.9563636363636364,0.5668103448275862,0.7117726657645467,0.0,0.0,0.0,0.03
10,CNN with Attention,"128 filters, kernel size 7",0.5504201680672269,0.9562043795620438,0.5646551724137931,0.7100271002710028,0.0,0.0,0.0,0.03
11,CNN with Attention,"128 filters, kernel size 5",0.542016806722689,0.9555555555555556,0.5560344827586207,0.7029972752043597,0.0,0.0,0.0,0.03
12,CNN with Attention,"128 filters, kernel size 3",0.5525210084033614,0.9563636363636364,0.5668103448275862,0.7117726657645467,0.0,0.0,0.0,0.03
13,CNN with Attention,"256 filters, kernel size 7",0.5504201680672269,0.9562043795620438,0.5646551724137931,0.7100271002710028,0.0,0.0,0.0,0.03
14,CNN with Attention,"256 filters, kernel size 5",0.5525210084033614,0.9563636363636364,0.5668103448275862,0.7117726657645467,0.0,0.0,0.0,0.03
15,CNN with Attention,"256 filters, kernel size 3",0.5525210084033614,0.9563636363636364,0.5668103448275862,0.7117726657645467,0.0,0.0,0.0,0.03
16,RNN,256 units,0.5546218487394958,0.9565217391304348,0.5689655172413793,0.7135135135135137,0.0,0.0,0.0,0.03
17,RNN,128 units,0.569327731092437,0.9575971731448764,0.584051724137931,0.7255689424364122,0.0,0.0,0.0,0.03
18,RNN,64 units,0.5357142857142857,0.9619771863117871,0.5452586206896551,0.6960110041265474,0.009389671361502348,0.16666666666666666,0.017777777777777778,0.03
19,RNN,32 units,0.5399159663865546,0.9553903345724907,0.5538793103448276,0.7012278308321964,0.0,0.0,0.0,0.03
20,CNN,"32 filters, kernel size 7",0.5483193277310925,0.9560439560439561,0.5625,0.7082767978290365,0.0,0.0,0.0,0.03
21,CNN,"32 filters, kernel size 5",0.5168067226890757,0.9534883720930233,0.5301724137931034,0.6814404432132963,0.0,0.0,0.0,0.03
22,CNN,"32 filters, kernel size 3",0.5504201680672269,0.9562043795620438,0.5646551724137931,0.7100271002710028,0.0,0.0,0.0,0.03
23,CNN,"64 filters, kernel size 7",0.542016806722689,0.9555555555555556,0.5560344827586207,0.7029972752043597,0.0,0.0,0.0,0.03
24,CNN,"64 filters, kernel size 5",0.5504201680672269,0.9562043795620438,0.5646551724137931,0.7100271002710028,0.0,0.0,0.0,0.03
25,CNN,"64 filters, kernel size 3",0.5441176470588235,0.955719557195572,0.5581896551724138,0.7047619047619048,0.0,0.0,0.0,0.03
26,CNN,"128 filters, kernel size 7",0.5504201680672269,0.9562043795620438,0.5646551724137931,0.7100271002710028,0.0,0.0,0.0,0.03
27,CNN,"128 filters, kernel size 5",0.5441176470588235,0.955719557195572,0.5581896551724138,0.7047619047619048,0.0,0.0,0.0,0.03
28,CNN,"128 filters, kernel size 3",0.5504201680672269,0.9562043795620438,0.5646551724137931,0.7100271002710028,0.0,0.0,0.0,0.03
29,CNN,"256 filters, kernel size 7",0.5525210084033614,0.9563636363636364,0.5668103448275862,0.7117726657645467,0.0,0.0,0.0,0.03
30,CNN,"256 filters, kernel size 5",0.5525210084033614,0.9563636363636364,0.5668103448275862,0.7117726657645467,0.0,0.0,0.0,0.03
31,CNN,"256 filters, kernel size 3",0.5546218487394958,0.9565217391304348,0.5689655172413793,0.7135135135135137,0.0,0.0,0.0,0.03
