,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9377682403433476,0.9624724061810155,0.9732142857142857,0.9678135405105439,0.07692307692307693,0.05555555555555555,0.06451612903225808,0.04
1,LSTM,128 layers,0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
2,LSTM,64 layers,0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
3,LSTM,32 layers,0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
4,CNN with Attention,"32 filters, kernel size 7",0.9592274678111588,0.9612903225806452,0.9977678571428571,0.9791894852135815,0.0,0.0,0.0,0.04
5,CNN with Attention,"32 filters, kernel size 5",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
6,CNN with Attention,"32 filters, kernel size 3",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
7,CNN with Attention,"64 filters, kernel size 7",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
8,CNN with Attention,"64 filters, kernel size 5",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
9,CNN with Attention,"64 filters, kernel size 3",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
10,CNN with Attention,"128 filters, kernel size 7",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
11,CNN with Attention,"128 filters, kernel size 5",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
12,CNN with Attention,"128 filters, kernel size 3",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
13,CNN with Attention,"256 filters, kernel size 7",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
14,CNN with Attention,"256 filters, kernel size 5",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
15,CNN with Attention,"256 filters, kernel size 3",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
16,RNN,256 units,0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
17,RNN,128 units,0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
18,RNN,64 units,0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
19,RNN,32 units,0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
20,CNN,"32 filters, kernel size 7",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
21,CNN,"32 filters, kernel size 5",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
22,CNN,"32 filters, kernel size 3",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
23,CNN,"64 filters, kernel size 7",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
24,CNN,"64 filters, kernel size 5",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
25,CNN,"64 filters, kernel size 3",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
26,CNN,"128 filters, kernel size 7",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
27,CNN,"128 filters, kernel size 5",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
28,CNN,"128 filters, kernel size 3",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
29,CNN,"256 filters, kernel size 7",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
30,CNN,"256 filters, kernel size 5",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
31,CNN,"256 filters, kernel size 3",0.9613733905579399,0.9613733905579399,1.0,0.9803063457330417,0.0,0.0,0.0,0.04
