,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
1,LSTM,128 layers,0.7794117647058824,0.9787234042553191,0.7913978494623656,0.8751486325802615,0.03,0.2727272727272727,0.05405405405405404,0.02
2,LSTM,64 layers,0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
3,LSTM,32 layers,0.7394957983193278,0.9857549857549858,0.7440860215053764,0.8480392156862746,0.048,0.5454545454545454,0.08823529411764705,0.02
4,CNN with Attention,"32 filters, kernel size 7",0.9747899159663865,0.9768421052631578,0.9978494623655914,0.9872340425531914,0.0,0.0,0.0,0.02
5,CNN with Attention,"32 filters, kernel size 5",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
6,CNN with Attention,"32 filters, kernel size 3",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
7,CNN with Attention,"64 filters, kernel size 7",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
8,CNN with Attention,"64 filters, kernel size 5",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
9,CNN with Attention,"64 filters, kernel size 3",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
10,CNN with Attention,"128 filters, kernel size 7",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
11,CNN with Attention,"128 filters, kernel size 5",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
12,CNN with Attention,"128 filters, kernel size 3",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
13,CNN with Attention,"256 filters, kernel size 7",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
14,CNN with Attention,"256 filters, kernel size 5",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
15,CNN with Attention,"256 filters, kernel size 3",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
16,RNN,256 units,0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
17,RNN,128 units,0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
18,RNN,64 units,0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
19,RNN,32 units,0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
20,CNN,"32 filters, kernel size 7",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
21,CNN,"32 filters, kernel size 5",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
22,CNN,"32 filters, kernel size 3",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
23,CNN,"64 filters, kernel size 7",0.9726890756302521,0.9788135593220338,0.9935483870967742,0.9861259338313767,0.25,0.09090909090909091,0.13333333333333333,0.02
24,CNN,"64 filters, kernel size 5",0.9726890756302521,0.9767932489451476,0.9956989247311828,0.9861554845580404,0.0,0.0,0.0,0.02
25,CNN,"64 filters, kernel size 3",0.976890756302521,0.976890756302521,1.0,0.9883103081827842,0.0,0.0,0.0,0.02
26,CNN,"128 filters, kernel size 7",0.9432773109243697,0.9802631578947368,0.9612903225806452,0.9706840390879479,0.1,0.18181818181818182,0.12903225806451613,0.02
27,CNN,"128 filters, kernel size 5",0.9327731092436975,0.9865168539325843,0.9440860215053763,0.9648351648351648,0.16129032258064516,0.45454545454545453,0.23809523809523805,0.02
28,CNN,"128 filters, kernel size 3",0.9642857142857143,0.9765957446808511,0.9870967741935484,0.9818181818181818,0.0,0.0,0.0,0.02
29,CNN,"256 filters, kernel size 7",0.9600840336134454,0.9806034482758621,0.978494623655914,0.9795479009687836,0.16666666666666666,0.18181818181818182,0.17391304347826086,0.02
30,CNN,"256 filters, kernel size 5",0.8550420168067226,0.9876847290640394,0.8623655913978494,0.9207807118254879,0.08571428571428572,0.5454545454545454,0.14814814814814814,0.02
31,CNN,"256 filters, kernel size 3",0.9453781512605042,0.9761388286334056,0.967741935483871,0.9719222462203024,0.0,0.0,0.0,0.02
