,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
1,LSTM,128 layers,0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
2,LSTM,64 layers,0.37553648068669526,0.9940476190476191,0.36542669584245074,0.5344,0.026845637583892617,0.8888888888888888,0.05211726384364821,0.02
3,LSTM,32 layers,0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
4,CNN with Attention,"32 filters, kernel size 7",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
5,CNN with Attention,"32 filters, kernel size 5",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
6,CNN with Attention,"32 filters, kernel size 3",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
7,CNN with Attention,"64 filters, kernel size 7",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
8,CNN with Attention,"64 filters, kernel size 5",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
9,CNN with Attention,"64 filters, kernel size 3",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
10,CNN with Attention,"128 filters, kernel size 7",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
11,CNN with Attention,"128 filters, kernel size 5",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
12,CNN with Attention,"128 filters, kernel size 3",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
13,CNN with Attention,"256 filters, kernel size 7",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
14,CNN with Attention,"256 filters, kernel size 5",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
15,CNN with Attention,"256 filters, kernel size 3",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
16,RNN,256 units,0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
17,RNN,128 units,0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
18,RNN,64 units,0.30257510729613735,0.9925373134328358,0.2910284463894967,0.4500846023688663,0.024096385542168676,0.8888888888888888,0.0469208211143695,0.02
19,RNN,32 units,0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
20,CNN,"32 filters, kernel size 7",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
21,CNN,"32 filters, kernel size 5",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
22,CNN,"32 filters, kernel size 3",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
23,CNN,"64 filters, kernel size 7",0.9785407725321889,0.9806451612903225,0.9978118161925602,0.9891540130151845,0.0,0.0,0.0,0.02
24,CNN,"64 filters, kernel size 5",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
25,CNN,"64 filters, kernel size 3",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
26,CNN,"128 filters, kernel size 7",0.9785407725321889,0.9806451612903225,0.9978118161925602,0.9891540130151845,0.0,0.0,0.0,0.02
27,CNN,"128 filters, kernel size 5",0.9785407725321889,0.9806451612903225,0.9978118161925602,0.9891540130151845,0.0,0.0,0.0,0.02
28,CNN,"128 filters, kernel size 3",0.98068669527897,0.98068669527897,1.0,0.9902491874322861,0.0,0.0,0.0,0.02
29,CNN,"256 filters, kernel size 7",0.9785407725321889,0.9806451612903225,0.9978118161925602,0.9891540130151845,0.0,0.0,0.0,0.02
30,CNN,"256 filters, kernel size 5",0.9678111587982833,0.9804347826086957,0.986870897155361,0.9836423118865867,0.0,0.0,0.0,0.02
31,CNN,"256 filters, kernel size 3",0.9678111587982833,0.9804347826086957,0.986870897155361,0.9836423118865867,0.0,0.0,0.0,0.02
