,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9732510288065843,0.979296066252588,0.9936974789915967,0.9864442127215851,0.0,0.0,0.0,0.02
1,LSTM,128 layers,0.9753086419753086,0.9793388429752066,0.9957983193277311,0.9875,0.0,0.0,0.0,0.02
2,LSTM,64 layers,0.9362139917695473,0.978494623655914,0.9558823529411765,0.9670563230605739,0.0,0.0,0.0,0.02
3,LSTM,32 layers,0.977366255144033,0.979381443298969,0.9978991596638656,0.9885535900104058,0.0,0.0,0.0,0.02
4,CNN with Attention,"32 filters, kernel size 7",0.9670781893004116,0.9811715481171548,0.9852941176470589,0.9832285115303984,0.125,0.1,0.11111111111111112,0.02
5,CNN with Attention,"32 filters, kernel size 5",0.9794238683127572,0.9794238683127572,1.0,0.9896049896049895,0.0,0.0,0.0,0.02
6,CNN with Attention,"32 filters, kernel size 3",0.977366255144033,0.979381443298969,0.9978991596638656,0.9885535900104058,0.0,0.0,0.0,0.02
7,CNN with Attention,"64 filters, kernel size 7",0.9629629629629629,0.9810924369747899,0.9810924369747899,0.9810924369747899,0.1,0.1,0.10000000000000002,0.02
8,CNN with Attention,"64 filters, kernel size 5",0.9670781893004116,0.9791666666666666,0.9873949579831933,0.9832635983263599,0.0,0.0,0.0,0.02
9,CNN with Attention,"64 filters, kernel size 3",0.9753086419753086,0.9793388429752066,0.9957983193277311,0.9875,0.0,0.0,0.0,0.02
10,CNN with Attention,"128 filters, kernel size 7",0.9670781893004116,0.9811715481171548,0.9852941176470589,0.9832285115303984,0.125,0.1,0.11111111111111112,0.02
11,CNN with Attention,"128 filters, kernel size 5",0.9423868312757202,0.98068669527897,0.9600840336134454,0.970276008492569,0.05,0.1,0.06666666666666667,0.02
12,CNN with Attention,"128 filters, kernel size 3",0.9300411522633745,0.982532751091703,0.9453781512605042,0.9635974304068522,0.07142857142857142,0.2,0.10526315789473682,0.02
13,CNN with Attention,"256 filters, kernel size 7",0.9609053497942387,0.9810526315789474,0.9789915966386554,0.9800210304942166,0.09090909090909091,0.1,0.09523809523809525,0.02
14,CNN with Attention,"256 filters, kernel size 5",0.9732510288065843,0.9812889812889813,0.9915966386554622,0.9864158829676071,0.2,0.1,0.13333333333333333,0.02
15,CNN with Attention,"256 filters, kernel size 3",0.9670781893004116,0.9831932773109243,0.9831932773109243,0.9831932773109243,0.2,0.2,0.20000000000000004,0.02
16,RNN,256 units,0.9588477366255144,0.9789915966386554,0.9789915966386554,0.9789915966386554,0.0,0.0,0.0,0.02
17,RNN,128 units,0.9732510288065843,0.979296066252588,0.9936974789915967,0.9864442127215851,0.0,0.0,0.0,0.02
18,RNN,64 units,0.9670781893004116,0.9791666666666666,0.9873949579831933,0.9832635983263599,0.0,0.0,0.0,0.02
19,RNN,32 units,0.934156378600823,0.9805194805194806,0.9516806722689075,0.9658848614072495,0.041666666666666664,0.1,0.058823529411764705,0.02
20,CNN,"32 filters, kernel size 7",0.9650205761316872,0.9791231732776617,0.9852941176470589,0.9821989528795811,0.0,0.0,0.0,0.02
21,CNN,"32 filters, kernel size 5",0.9423868312757202,0.98068669527897,0.9600840336134454,0.970276008492569,0.05,0.1,0.06666666666666667,0.02
22,CNN,"32 filters, kernel size 3",0.9320987654320988,0.9825708061002179,0.9474789915966386,0.9647058823529412,0.07407407407407407,0.2,0.10810810810810811,0.02
23,CNN,"64 filters, kernel size 7",0.9588477366255144,0.9810126582278481,0.976890756302521,0.9789473684210527,0.08333333333333333,0.1,0.0909090909090909,0.02
24,CNN,"64 filters, kernel size 5",0.9547325102880658,0.9809322033898306,0.9726890756302521,0.9767932489451476,0.07142857142857142,0.1,0.08333333333333333,0.02
25,CNN,"64 filters, kernel size 3",0.9711934156378601,0.98125,0.9894957983193278,0.9853556485355649,0.16666666666666666,0.1,0.125,0.02
26,CNN,"128 filters, kernel size 7",0.9547325102880658,0.9809322033898306,0.9726890756302521,0.9767932489451476,0.07142857142857142,0.1,0.08333333333333333,0.02
27,CNN,"128 filters, kernel size 5",0.9670781893004116,0.9791666666666666,0.9873949579831933,0.9832635983263599,0.0,0.0,0.0,0.02
28,CNN,"128 filters, kernel size 3",0.9670781893004116,0.9811715481171548,0.9852941176470589,0.9832285115303984,0.125,0.1,0.11111111111111112,0.02
29,CNN,"256 filters, kernel size 7",0.9567901234567902,0.9809725158562368,0.9747899159663865,0.9778714436248682,0.07692307692307693,0.1,0.08695652173913043,0.02
30,CNN,"256 filters, kernel size 5",0.977366255144033,0.979381443298969,0.9978991596638656,0.9885535900104058,0.0,0.0,0.0,0.02
31,CNN,"256 filters, kernel size 3",0.9711934156378601,0.979253112033195,0.9915966386554622,0.9853862212943632,0.0,0.0,0.0,0.02
