,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.6239495798319328,0.9456869009584664,0.6462882096069869,0.7678339818417639,0.006134969325153374,0.05555555555555555,0.011049723756906079,0.04
1,LSTM,128 layers,0.5756302521008403,0.9444444444444444,0.5938864628820961,0.7292225201072385,0.010638297872340425,0.1111111111111111,0.01941747572815534,0.04
2,LSTM,64 layers,0.7205882352941176,0.9501385041551247,0.7489082969432315,0.8376068376068376,0.0,0.0,0.0,0.04
3,LSTM,32 layers,0.6218487394957983,0.9455128205128205,0.6441048034934498,0.7662337662337663,0.006097560975609756,0.05555555555555555,0.01098901098901099,0.04
4,CNN with Attention,"32 filters, kernel size 7",0.33613445378151263,0.927710843373494,0.33624454148471616,0.4935897435897436,0.01935483870967742,0.3333333333333333,0.03658536585365854,0.04
5,CNN with Attention,"32 filters, kernel size 5",0.33613445378151263,0.9176470588235294,0.3406113537117904,0.4968152866242038,0.013071895424836602,0.2222222222222222,0.024691358024691357,0.04
6,CNN with Attention,"32 filters, kernel size 3",0.3865546218487395,0.923469387755102,0.3951965065502183,0.5535168195718655,0.010714285714285714,0.16666666666666666,0.020134228187919465,0.04
7,CNN with Attention,"64 filters, kernel size 7",0.3382352941176471,0.9132947976878613,0.34497816593886466,0.5007923930269415,0.009900990099009901,0.16666666666666666,0.018691588785046728,0.04
8,CNN with Attention,"64 filters, kernel size 5",0.3235294117647059,0.9096385542168675,0.3296943231441048,0.483974358974359,0.00967741935483871,0.16666666666666666,0.01829268292682927,0.04
9,CNN with Attention,"64 filters, kernel size 3",0.39705882352941174,0.9253731343283582,0.40611353711790393,0.5644916540212443,0.01090909090909091,0.16666666666666666,0.020477815699658706,0.04
10,CNN with Attention,"128 filters, kernel size 7",0.33403361344537813,0.9171597633136095,0.3384279475982533,0.4944178628389155,0.013029315960912053,0.2222222222222222,0.024615384615384615,0.04
11,CNN with Attention,"128 filters, kernel size 5",0.33403361344537813,0.9122807017543859,0.3406113537117904,0.4960254372019079,0.009836065573770493,0.16666666666666666,0.018575851393188857,0.04
12,CNN with Attention,"128 filters, kernel size 3",0.40756302521008403,0.9271844660194175,0.4170305676855895,0.575301204819277,0.011111111111111112,0.16666666666666666,0.020833333333333336,0.04
13,CNN with Attention,"256 filters, kernel size 7",0.3445378151260504,0.9147727272727273,0.35152838427947597,0.5078864353312302,0.01,0.16666666666666666,0.018867924528301886,0.04
14,CNN with Attention,"256 filters, kernel size 5",0.3319327731092437,0.9117647058823529,0.3384279475982533,0.4936305732484076,0.00980392156862745,0.16666666666666666,0.018518518518518517,0.04
15,CNN with Attention,"256 filters, kernel size 3",0.3802521008403361,0.9222797927461139,0.388646288209607,0.5468509984639016,0.01060070671378092,0.16666666666666666,0.01993355481727575,0.04
16,RNN,256 units,0.4432773109243697,0.9327354260089686,0.45414847161572053,0.6108663729809104,0.011857707509881422,0.16666666666666666,0.022140221402214024,0.04
17,RNN,128 units,0.4117647058823529,0.9278846153846154,0.42139737991266374,0.5795795795795796,0.011194029850746268,0.16666666666666666,0.020979020979020976,0.04
18,RNN,64 units,0.5861344537815126,0.9484536082474226,0.6026200873362445,0.7369826435246996,0.016216216216216217,0.16666666666666666,0.02955665024630542,0.04
19,RNN,32 units,0.31932773109243695,0.935064935064935,0.314410480349345,0.4705882352941177,0.024844720496894408,0.4444444444444444,0.047058823529411764,0.04
20,CNN,"32 filters, kernel size 7",0.28781512605042014,0.9103448275862069,0.28820960698689957,0.4378109452736319,0.015105740181268883,0.2777777777777778,0.02865329512893983,0.04
21,CNN,"32 filters, kernel size 5",0.32563025210084034,0.9151515151515152,0.3296943231441048,0.48475120385232745,0.012861736334405145,0.2222222222222222,0.0243161094224924,0.04
22,CNN,"32 filters, kernel size 3",0.3403361344537815,0.9186046511627907,0.34497816593886466,0.5015873015873017,0.013157894736842105,0.2222222222222222,0.02484472049689441,0.04
23,CNN,"64 filters, kernel size 7",0.3130252100840336,0.9171974522292994,0.314410480349345,0.46829268292682924,0.01567398119122257,0.2777777777777778,0.02967359050445104,0.04
24,CNN,"64 filters, kernel size 5",0.3487394957983193,0.9157303370786517,0.3558951965065502,0.5125786163522013,0.010067114093959731,0.16666666666666666,0.018987341772151896,0.04
25,CNN,"64 filters, kernel size 3",0.3487394957983193,0.9157303370786517,0.3558951965065502,0.5125786163522013,0.010067114093959731,0.16666666666666666,0.018987341772151896,0.04
26,CNN,"128 filters, kernel size 7",0.31932773109243695,0.9085365853658537,0.32532751091703055,0.4790996784565917,0.009615384615384616,0.16666666666666666,0.018181818181818184,0.04
27,CNN,"128 filters, kernel size 5",0.3319327731092437,0.9117647058823529,0.3384279475982533,0.4936305732484076,0.00980392156862745,0.16666666666666666,0.018518518518518517,0.04
28,CNN,"128 filters, kernel size 3",0.4054621848739496,0.926829268292683,0.4148471615720524,0.5731523378582203,0.01107011070110701,0.16666666666666666,0.020761245674740483,0.04
29,CNN,"256 filters, kernel size 7",0.36134453781512604,0.9184782608695652,0.36899563318777295,0.5264797507788163,0.010273972602739725,0.16666666666666666,0.019354838709677417,0.04
30,CNN,"256 filters, kernel size 5",0.3382352941176471,0.9132947976878613,0.34497816593886466,0.5007923930269415,0.009900990099009901,0.16666666666666666,0.018691588785046728,0.04
31,CNN,"256 filters, kernel size 3",0.4180672268907563,0.9289099526066351,0.4279475982532751,0.585949177877429,0.011320754716981131,0.16666666666666666,0.021201413427561835,0.04
