,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.5386266094420601,0.9763779527559056,0.5426695842450766,0.6976090014064698,0.014150943396226415,0.3333333333333333,0.027149321266968326,0.02
1,LSTM,128 layers,0.6502145922746781,0.9772727272727273,0.6586433260393874,0.7869281045751634,0.012658227848101266,0.2222222222222222,0.02395209580838323,0.02
2,LSTM,64 layers,0.4334763948497854,0.9707317073170731,0.43544857768052514,0.6012084592145015,0.011494252873563218,0.3333333333333333,0.022222222222222223,0.02
3,LSTM,32 layers,0.4721030042918455,0.9906976744186047,0.4660831509846827,0.6339285714285714,0.027888446215139442,0.7777777777777778,0.05384615384615384,0.02
4,CNN with Attention,"32 filters, kernel size 7",0.2446351931330472,0.9411764705882353,0.24507658643326038,0.38888888888888884,0.005763688760806916,0.2222222222222222,0.011235955056179775,0.02
5,CNN with Attention,"32 filters, kernel size 5",0.2553648068669528,0.9508196721311475,0.2538293216630197,0.4006908462867012,0.00872093023255814,0.3333333333333333,0.016997167138810197,0.02
6,CNN with Attention,"32 filters, kernel size 3",0.26824034334763946,0.9461538461538461,0.26914660831509846,0.41908006814310056,0.005952380952380952,0.2222222222222222,0.011594202898550725,0.02
7,CNN with Attention,"64 filters, kernel size 7",0.23605150214592274,0.9809523809523809,0.22538293216630198,0.3665480427046264,0.019390581717451522,0.7777777777777778,0.03783783783783783,0.02
8,CNN with Attention,"64 filters, kernel size 5",0.27253218884120173,0.9682539682539683,0.26695842450765866,0.41852487135506006,0.014705882352941176,0.5555555555555556,0.02865329512893983,0.02
9,CNN with Attention,"64 filters, kernel size 3",0.2446351931330472,0.9487179487179487,0.24288840262582057,0.3867595818815331,0.008595988538681949,0.3333333333333333,0.01675977653631285,0.02
10,CNN with Attention,"128 filters, kernel size 7",0.23819742489270387,0.9473684210526315,0.2363238512035011,0.37828371278458844,0.008522727272727272,0.3333333333333333,0.016620498614958446,0.02
11,CNN with Attention,"128 filters, kernel size 5",0.22317596566523606,0.9523809523809523,0.2188183807439825,0.35587188612099646,0.0110803324099723,0.4444444444444444,0.021621621621621623,0.02
12,CNN with Attention,"128 filters, kernel size 3",0.23390557939914164,0.9385964912280702,0.23413566739606126,0.3747810858143607,0.005681818181818182,0.2222222222222222,0.0110803324099723,0.02
13,CNN with Attention,"256 filters, kernel size 7",0.24678111587982832,0.9568965517241379,0.24288840262582057,0.387434554973822,0.011428571428571429,0.4444444444444444,0.022284122562674095,0.02
14,CNN with Attention,"256 filters, kernel size 5",0.259656652360515,0.9590163934426229,0.25601750547045954,0.40414507772020725,0.011627906976744186,0.4444444444444444,0.022662889518413595,0.02
15,CNN with Attention,"256 filters, kernel size 3",0.2446351931330472,0.9411764705882353,0.24507658643326038,0.38888888888888884,0.005763688760806916,0.2222222222222222,0.011235955056179775,0.02
16,RNN,256 units,0.23819742489270387,0.9396551724137931,0.23851203501094093,0.3804537521815009,0.005714285714285714,0.2222222222222222,0.011142061281337047,0.02
17,RNN,128 units,0.3497854077253219,0.9583333333333334,0.3522975929978118,0.5152,0.006711409395973154,0.2222222222222222,0.013029315960912053,0.02
18,RNN,64 units,0.43776824034334766,0.9620853080568721,0.4442013129102845,0.6077844311377245,0.00392156862745098,0.1111111111111111,0.007575757575757576,0.02
19,RNN,32 units,0.2575107296137339,0.944,0.25820568927789933,0.40549828178694153,0.005865102639296188,0.2222222222222222,0.01142857142857143,0.02
20,CNN,"32 filters, kernel size 7",0.18240343347639484,1.0,0.16630196936542668,0.2851782363977486,0.023076923076923078,1.0,0.04511278195488722,0.02
21,CNN,"32 filters, kernel size 5",0.19313304721030042,1.0,0.1772428884026258,0.3011152416356877,0.023376623376623377,1.0,0.045685279187817264,0.02
22,CNN,"32 filters, kernel size 3",0.21030042918454936,0.989010989010989,0.19693654266958424,0.3284671532846716,0.021333333333333333,0.8888888888888888,0.04166666666666667,0.02
23,CNN,"64 filters, kernel size 7",0.17167381974248927,0.9863013698630136,0.1575492341356674,0.27169811320754716,0.020356234096692113,0.8888888888888888,0.03980099502487562,0.02
24,CNN,"64 filters, kernel size 5",0.21888412017167383,0.9894736842105263,0.20568927789934355,0.34057971014492755,0.0215633423180593,0.8888888888888888,0.04210526315789474,0.02
25,CNN,"64 filters, kernel size 3",0.22103004291845493,0.9519230769230769,0.21663019693654267,0.3529411764705882,0.011049723756906077,0.4444444444444444,0.0215633423180593,0.02
26,CNN,"128 filters, kernel size 7",0.20386266094420602,0.9886363636363636,0.19037199124726478,0.3192660550458716,0.021164021164021163,0.8888888888888888,0.04134366925064599,0.02
27,CNN,"128 filters, kernel size 5",0.23390557939914164,0.9807692307692307,0.22319474835886213,0.3636363636363636,0.019337016574585635,0.7777777777777778,0.03773584905660377,0.02
28,CNN,"128 filters, kernel size 3",0.2167381974248927,0.9693877551020408,0.20787746170678337,0.3423423423423423,0.016304347826086956,0.6666666666666666,0.03183023872679045,0.02
29,CNN,"256 filters, kernel size 7",0.20600858369098712,0.978021978021978,0.19474835886214442,0.3248175182481752,0.018666666666666668,0.7777777777777778,0.03645833333333333,0.02
30,CNN,"256 filters, kernel size 5",0.22103004291845493,0.97,0.212253829321663,0.348294434470377,0.01639344262295082,0.6666666666666666,0.032,0.02
31,CNN,"256 filters, kernel size 3",0.20600858369098712,0.9484536082474226,0.2013129102844639,0.33212996389891697,0.01084010840108401,0.4444444444444444,0.021164021164021166,0.02
