,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.6139817629179332,0.9728260869565217,0.5946843853820598,0.7381443298969073,0.15862068965517243,0.8214285714285714,0.2658959537572254,0.09
1,LSTM,128 layers,0.6231003039513677,0.9836065573770492,0.5980066445182725,0.743801652892562,0.17123287671232876,0.8928571428571429,0.2873563218390805,0.09
2,LSTM,64 layers,0.6048632218844985,0.9384615384615385,0.6079734219269103,0.7379032258064515,0.11940298507462686,0.5714285714285714,0.19753086419753085,0.09
3,LSTM,32 layers,0.11246200607902736,1.0,0.029900332225913623,0.058064516129032254,0.0875,1.0,0.16091954022988506,0.09
4,CNN with Attention,"32 filters, kernel size 7",0.5106382978723404,1.0,0.46511627906976744,0.6349206349206349,0.14814814814814814,1.0,0.25806451612903225,0.09
5,CNN with Attention,"32 filters, kernel size 5",0.3434650455927052,1.0,0.2823920265780731,0.4404145077720208,0.11475409836065574,1.0,0.2058823529411765,0.09
6,CNN with Attention,"32 filters, kernel size 3",0.2066869300911854,1.0,0.132890365448505,0.23460410557184752,0.09688581314878893,1.0,0.17665615141955837,0.09
7,CNN with Attention,"64 filters, kernel size 7",0.513677811550152,1.0,0.4684385382059801,0.6380090497737556,0.14893617021276595,1.0,0.25925925925925924,0.09
8,CNN with Attention,"64 filters, kernel size 5",0.6048632218844985,1.0,0.5681063122923588,0.7245762711864406,0.17721518987341772,1.0,0.3010752688172043,0.09
9,CNN with Attention,"64 filters, kernel size 3",0.5379939209726444,1.0,0.4950166112956811,0.6622222222222223,0.15555555555555556,1.0,0.2692307692307693,0.09
10,CNN with Attention,"128 filters, kernel size 7",0.3617021276595745,1.0,0.3023255813953488,0.46428571428571425,0.11764705882352941,1.0,0.21052631578947367,0.09
11,CNN with Attention,"128 filters, kernel size 5",0.5775075987841946,1.0,0.5382059800664452,0.6997840172786177,0.16766467065868262,1.0,0.28717948717948716,0.09
12,CNN with Attention,"128 filters, kernel size 3",0.5775075987841946,1.0,0.5382059800664452,0.6997840172786177,0.16766467065868262,1.0,0.28717948717948716,0.09
13,CNN with Attention,"256 filters, kernel size 7",0.5835866261398176,1.0,0.5448504983388704,0.7053763440860216,0.1696969696969697,1.0,0.2901554404145078,0.09
14,CNN with Attention,"256 filters, kernel size 5",0.6413373860182371,1.0,0.6079734219269103,0.756198347107438,0.1917808219178082,1.0,0.3218390804597701,0.09
15,CNN with Attention,"256 filters, kernel size 3",0.6474164133738601,1.0,0.6146179401993356,0.7613168724279835,0.19444444444444445,1.0,0.32558139534883723,0.09
16,RNN,256 units,0.08814589665653495,1.0,0.0033222591362126247,0.006622516556291392,0.08536585365853659,1.0,0.15730337078651685,0.09
17,RNN,128 units,0.7173252279635258,0.940677966101695,0.7375415282392026,0.8268156424581006,0.15053763440860216,0.5,0.23140495867768596,0.09
18,RNN,64 units,0.7750759878419453,0.9486166007905138,0.7973421926910299,0.8664259927797834,0.19736842105263158,0.5357142857142857,0.2884615384615385,0.09
19,RNN,32 units,0.7021276595744681,0.967741935483871,0.6976744186046512,0.810810810810811,0.1875,0.75,0.3,0.09
20,CNN,"32 filters, kernel size 7",0.5167173252279635,1.0,0.4717607973421927,0.6410835214446953,0.1497326203208556,1.0,0.26046511627906976,0.09
21,CNN,"32 filters, kernel size 5",0.5896656534954408,1.0,0.5514950166112956,0.7109207708779444,0.17177914110429449,1.0,0.29319371727748694,0.09
22,CNN,"32 filters, kernel size 3",0.6200607902735562,1.0,0.584717607973422,0.7379454926624739,0.1830065359477124,1.0,0.30939226519337015,0.09
23,CNN,"64 filters, kernel size 7",0.6322188449848024,1.0,0.5980066445182725,0.7484407484407485,0.18791946308724833,1.0,0.3163841807909605,0.09
24,CNN,"64 filters, kernel size 5",0.5075987841945289,1.0,0.46179401993355484,0.6318181818181818,0.14736842105263157,1.0,0.2568807339449541,0.09
25,CNN,"64 filters, kernel size 3",0.3434650455927052,1.0,0.2823920265780731,0.4404145077720208,0.11475409836065574,1.0,0.2058823529411765,0.09
26,CNN,"128 filters, kernel size 7",0.3373860182370821,1.0,0.2757475083056478,0.43229166666666663,0.11382113821138211,1.0,0.20437956204379562,0.09
27,CNN,"128 filters, kernel size 5",0.2613981762917933,1.0,0.19269102990033224,0.32311977715877443,0.1033210332103321,1.0,0.18729096989966557,0.09
28,CNN,"128 filters, kernel size 3",0.3191489361702128,1.0,0.2558139534883721,0.40740740740740744,0.1111111111111111,1.0,0.19999999999999998,0.09
29,CNN,"256 filters, kernel size 7",0.15501519756838905,1.0,0.07641196013289037,0.14197530864197533,0.0915032679738562,1.0,0.16766467065868265,0.09
30,CNN,"256 filters, kernel size 5",0.20972644376899696,1.0,0.1362126245847176,0.23976608187134502,0.09722222222222222,1.0,0.17721518987341772,0.09
31,CNN,"256 filters, kernel size 3",0.2006079027355623,1.0,0.12624584717607973,0.22418879056047197,0.09621993127147767,1.0,0.1755485893416928,0.09
