,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.6531165311653117,0.9949748743718593,0.6092307692307692,0.7557251908396947,0.2529411764705882,0.9772727272727273,0.40186915887850466,0.12
1,LSTM,128 layers,0.7235772357723578,0.9744680851063829,0.7046153846153846,0.8178571428571428,0.2835820895522388,0.8636363636363636,0.42696629213483145,0.12
2,LSTM,64 layers,0.5772357723577236,0.9617486338797814,0.5415384615384615,0.6929133858267716,0.1989247311827957,0.8409090909090909,0.3217391304347826,0.12
3,LSTM,32 layers,0.5203252032520326,0.9933333333333333,0.4584615384615385,0.6273684210526315,0.1963470319634703,0.9772727272727273,0.32699619771863114,0.12
4,CNN with Attention,"32 filters, kernel size 7",0.6151761517615176,0.9692307692307692,0.5815384615384616,0.726923076923077,0.21839080459770116,0.8636363636363636,0.34862385321100925,0.12
5,CNN with Attention,"32 filters, kernel size 5",0.6991869918699187,0.9776785714285714,0.6738461538461539,0.7978142076502731,0.2689655172413793,0.8863636363636364,0.4126984126984127,0.12
6,CNN with Attention,"32 filters, kernel size 3",0.7479674796747967,0.9427480916030534,0.76,0.8415672913117547,0.27102803738317754,0.6590909090909091,0.3841059602649006,0.12
7,CNN with Attention,"64 filters, kernel size 7",0.6558265582655827,0.9852941176470589,0.6184615384615385,0.7599243856332704,0.24848484848484848,0.9318181818181818,0.3923444976076555,0.12
8,CNN with Attention,"64 filters, kernel size 5",0.5392953929539296,0.9754601226993865,0.48923076923076925,0.6516393442622951,0.1941747572815534,0.9090909090909091,0.31999999999999995,0.12
9,CNN with Attention,"64 filters, kernel size 3",0.6991869918699187,0.9863636363636363,0.6676923076923077,0.7963302752293577,0.2751677852348993,0.9318181818181818,0.42487046632124353,0.12
10,CNN with Attention,"128 filters, kernel size 7",0.8319783197831978,0.9311475409836065,0.8738461538461538,0.9015873015873015,0.359375,0.5227272727272727,0.4259259259259259,0.12
11,CNN with Attention,"128 filters, kernel size 5",0.7452574525745257,0.9459459459459459,0.7538461538461538,0.8390410958904109,0.2727272727272727,0.6818181818181818,0.3896103896103896,0.12
12,CNN with Attention,"128 filters, kernel size 3",0.7669376693766937,0.940959409594096,0.7846153846153846,0.8557046979865772,0.2857142857142857,0.6363636363636364,0.39436619718309857,0.12
13,CNN with Attention,"256 filters, kernel size 7",0.7235772357723578,0.9442231075697212,0.7292307692307692,0.8229166666666667,0.2542372881355932,0.6818181818181818,0.37037037037037035,0.12
14,CNN with Attention,"256 filters, kernel size 5",0.7723577235772358,0.9350180505415162,0.796923076923077,0.8604651162790697,0.2826086956521739,0.5909090909090909,0.38235294117647056,0.12
15,CNN with Attention,"256 filters, kernel size 3",0.8590785907859079,0.9361022364217252,0.9015384615384615,0.9184952978056427,0.42857142857142855,0.5454545454545454,0.4799999999999999,0.12
16,RNN,256 units,0.17886178861788618,0.9583333333333334,0.07076923076923076,0.1318051575931232,0.1246376811594203,0.9772727272727273,0.22107969151670953,0.12
17,RNN,128 units,0.8699186991869918,0.9511400651465798,0.8984615384615384,0.9240506329113923,0.46774193548387094,0.6590909090909091,0.5471698113207547,0.12
18,RNN,64 units,0.9024390243902439,0.9237536656891495,0.9692307692307692,0.9459459459459459,0.6428571428571429,0.4090909090909091,0.5000000000000001,0.12
19,RNN,32 units,0.8157181571815718,0.9477351916376306,0.8369230769230769,0.888888888888889,0.35365853658536583,0.6590909090909091,0.4603174603174603,0.12
20,CNN,"32 filters, kernel size 7",0.18699186991869918,0.9032258064516129,0.08615384615384615,0.15730337078651685,0.12130177514792899,0.9318181818181818,0.21465968586387435,0.12
21,CNN,"32 filters, kernel size 5",0.22493224932249323,0.9148936170212766,0.13230769230769232,0.23118279569892475,0.12422360248447205,0.9090909090909091,0.21857923497267762,0.12
22,CNN,"32 filters, kernel size 3",0.7886178861788617,0.9363957597173145,0.8153846153846154,0.8717105263157895,0.3023255813953488,0.5909090909090909,0.39999999999999997,0.12
23,CNN,"64 filters, kernel size 7",0.7615176151761518,0.9505703422053232,0.7692307692307693,0.8503401360544218,0.29245283018867924,0.7045454545454546,0.4133333333333333,0.12
24,CNN,"64 filters, kernel size 5",0.6910569105691057,0.9906976744186047,0.6553846153846153,0.788888888888889,0.2727272727272727,0.9545454545454546,0.4242424242424242,0.12
25,CNN,"64 filters, kernel size 3",0.7289972899728997,0.9343629343629344,0.7446153846153846,0.8287671232876713,0.24545454545454545,0.6136363636363636,0.35064935064935066,0.12
26,CNN,"128 filters, kernel size 7",0.7452574525745257,0.9494163424124513,0.7507692307692307,0.8384879725085911,0.2767857142857143,0.7045454545454546,0.3974358974358974,0.12
27,CNN,"128 filters, kernel size 5",0.4146341463414634,0.957983193277311,0.3507692307692308,0.5135135135135135,0.156,0.8863636363636364,0.26530612244897955,0.12
28,CNN,"128 filters, kernel size 3",0.6991869918699187,0.9572649572649573,0.6892307692307692,0.8014311270125224,0.2518518518518518,0.7727272727272727,0.37988826815642457,0.12
29,CNN,"256 filters, kernel size 7",0.7073170731707317,0.9617021276595744,0.6953846153846154,0.8071428571428572,0.26119402985074625,0.7954545454545454,0.39325842696629215,0.12
30,CNN,"256 filters, kernel size 5",0.8184281842818428,0.9479166666666666,0.84,0.8907014681892332,0.35802469135802467,0.6590909090909091,0.464,0.12
31,CNN,"256 filters, kernel size 3",0.8482384823848238,0.9498327759197325,0.8738461538461538,0.9102564102564104,0.4142857142857143,0.6590909090909091,0.5087719298245614,0.12
