,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.1741424802110818,0.8846153846153846,0.06906906906906907,0.12813370473537603,0.12181303116147309,0.9347826086956522,0.2155388471177945,0.12
1,LSTM,128 layers,0.1741424802110818,0.8846153846153846,0.06906906906906907,0.12813370473537603,0.12181303116147309,0.9347826086956522,0.2155388471177945,0.12
2,LSTM,64 layers,0.5514511873350924,0.8755760368663594,0.5705705705705706,0.6909090909090909,0.11728395061728394,0.41304347826086957,0.18269230769230768,0.12
3,LSTM,32 layers,0.7176781002638523,0.8951048951048951,0.7687687687687688,0.827140549273021,0.17204301075268819,0.34782608695652173,0.23021582733812948,0.12
4,CNN with Attention,"32 filters, kernel size 7",0.14511873350923482,0.6285714285714286,0.06606606606606606,0.11956521739130434,0.09593023255813954,0.717391304347826,0.16923076923076924,0.12
5,CNN with Attention,"32 filters, kernel size 5",0.13984168865435356,0.64,0.04804804804804805,0.08938547486033518,0.10451977401129943,0.8043478260869565,0.185,0.12
6,CNN with Attention,"32 filters, kernel size 3",0.17150395778364116,0.7209302325581395,0.09309309309309309,0.16489361702127658,0.10119047619047619,0.7391304347826086,0.17801047120418848,0.12
7,CNN with Attention,"64 filters, kernel size 7",0.1424802110817942,0.6333333333333333,0.057057057057057055,0.1046831955922865,0.10028653295128939,0.7608695652173914,0.17721518987341772,0.12
8,CNN with Attention,"64 filters, kernel size 5",0.13984168865435356,0.64,0.04804804804804805,0.08938547486033518,0.10451977401129943,0.8043478260869565,0.185,0.12
9,CNN with Attention,"64 filters, kernel size 3",0.1424802110817942,0.6666666666666666,0.04804804804804805,0.0896358543417367,0.10704225352112676,0.8260869565217391,0.18952618453865336,0.12
10,CNN with Attention,"128 filters, kernel size 7",0.13984168865435356,0.6206896551724138,0.05405405405405406,0.0994475138121547,0.1,0.7608695652173914,0.17676767676767677,0.12
11,CNN with Attention,"128 filters, kernel size 5",0.13984168865435356,0.6296296296296297,0.05105105105105105,0.09444444444444446,0.10227272727272728,0.782608695652174,0.18090452261306533,0.12
12,CNN with Attention,"128 filters, kernel size 3",0.13984168865435356,0.6206896551724138,0.05405405405405406,0.0994475138121547,0.1,0.7608695652173914,0.17676767676767677,0.12
13,CNN with Attention,"256 filters, kernel size 7",0.15567282321899736,0.696969696969697,0.06906906906906907,0.12568306010928962,0.10404624277456648,0.782608695652174,0.1836734693877551,0.12
14,CNN with Attention,"256 filters, kernel size 5",0.1503957783641161,0.6571428571428571,0.06906906906906907,0.125,0.09883720930232558,0.7391304347826086,0.17435897435897435,0.12
15,CNN with Attention,"256 filters, kernel size 3",0.15303430079155672,0.6764705882352942,0.06906906906906907,0.12534059945504086,0.10144927536231885,0.7608695652173914,0.17902813299232737,0.12
16,RNN,256 units,0.18997361477572558,0.9333333333333333,0.08408408408408409,0.15426997245179064,0.12607449856733524,0.9565217391304348,0.22278481012658227,0.12
17,RNN,128 units,0.17941952506596306,0.7115384615384616,0.1111111111111111,0.19220779220779222,0.09480122324159021,0.6739130434782609,0.16621983914209112,0.12
18,RNN,64 units,0.24010554089709762,0.9245283018867925,0.14714714714714713,0.2538860103626943,0.12883435582822086,0.9130434782608695,0.22580645161290322,0.12
19,RNN,32 units,0.1424802110817942,0.625,0.06006006006006006,0.10958904109589042,0.09798270893371758,0.7391304347826086,0.17302798982188297,0.12
20,CNN,"32 filters, kernel size 7",0.14511873350923482,0.6666666666666666,0.05405405405405406,0.1,0.10511363636363637,0.8043478260869565,0.18592964824120603,0.12
21,CNN,"32 filters, kernel size 5",0.15303430079155672,0.75,0.05405405405405406,0.10084033613445378,0.11267605633802817,0.8695652173913043,0.19950124688279303,0.12
22,CNN,"32 filters, kernel size 3",0.16358839050131926,0.8636363636363636,0.057057057057057055,0.10704225352112674,0.12044817927170869,0.9347826086956522,0.21339950372208438,0.12
23,CNN,"64 filters, kernel size 7",0.1424802110817942,0.6333333333333333,0.057057057057057055,0.1046831955922865,0.10028653295128939,0.7608695652173914,0.17721518987341772,0.12
24,CNN,"64 filters, kernel size 5",0.1424802110817942,0.6428571428571429,0.05405405405405406,0.09972299168975071,0.10256410256410256,0.782608695652174,0.18136020151133503,0.12
25,CNN,"64 filters, kernel size 3",0.14511873350923482,0.6451612903225806,0.06006006006006006,0.10989010989010989,0.10057471264367816,0.7608695652173914,0.17766497461928935,0.12
26,CNN,"128 filters, kernel size 7",0.13984168865435356,0.6060606060606061,0.06006006006006006,0.10928961748633881,0.0953757225433526,0.717391304347826,0.1683673469387755,0.12
27,CNN,"128 filters, kernel size 5",0.13984168865435356,0.6206896551724138,0.05405405405405406,0.0994475138121547,0.1,0.7608695652173914,0.17676767676767677,0.12
28,CNN,"128 filters, kernel size 3",0.14511873350923482,0.6285714285714286,0.06606606606606606,0.11956521739130434,0.09593023255813954,0.717391304347826,0.16923076923076924,0.12
29,CNN,"256 filters, kernel size 7",0.14511873350923482,0.6363636363636364,0.06306306306306306,0.11475409836065573,0.09826589595375723,0.7391304347826086,0.17346938775510204,0.12
30,CNN,"256 filters, kernel size 5",0.1424802110817942,0.6428571428571429,0.05405405405405406,0.09972299168975071,0.10256410256410256,0.782608695652174,0.18136020151133503,0.12
31,CNN,"256 filters, kernel size 3",0.15567282321899736,0.8823529411764706,0.04504504504504504,0.0857142857142857,0.12154696132596685,0.9565217391304348,0.21568627450980393,0.12
