,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.6876790830945558,0.9159663865546218,0.7100977198697068,0.8,0.1981981981981982,0.5238095238095238,0.28758169934640526,0.12
1,LSTM,128 layers,0.8853868194842407,0.9292604501607717,0.9413680781758957,0.9352750809061489,0.5263157894736842,0.47619047619047616,0.5,0.12
2,LSTM,64 layers,0.11461318051575932,0.0,0.0,0.0,0.11527377521613832,0.9523809523809523,0.2056555269922879,0.12
3,LSTM,32 layers,0.09455587392550144,0.0,0.0,0.0,0.09705882352941177,0.7857142857142857,0.17277486910994766,0.12
4,CNN with Attention,"32 filters, kernel size 7",0.10888252148997135,0.0,0.0,0.0,0.11014492753623188,0.9047619047619048,0.19638242894056845,0.12
5,CNN with Attention,"32 filters, kernel size 5",0.11174785100286533,0.0,0.0,0.0,0.11271676300578035,0.9285714285714286,0.20103092783505155,0.12
6,CNN with Attention,"32 filters, kernel size 3",0.10601719197707736,0.0,0.0,0.0,0.10755813953488372,0.8809523809523809,0.19170984455958548,0.12
7,CNN with Attention,"64 filters, kernel size 7",0.10601719197707736,0.0,0.0,0.0,0.10755813953488372,0.8809523809523809,0.19170984455958548,0.12
8,CNN with Attention,"64 filters, kernel size 5",0.11174785100286533,0.0,0.0,0.0,0.11271676300578035,0.9285714285714286,0.20103092783505155,0.12
9,CNN with Attention,"64 filters, kernel size 3",0.10601719197707736,0.0,0.0,0.0,0.10755813953488372,0.8809523809523809,0.19170984455958548,0.12
10,CNN with Attention,"128 filters, kernel size 7",0.10888252148997135,0.0,0.0,0.0,0.11014492753623188,0.9047619047619048,0.19638242894056845,0.12
11,CNN with Attention,"128 filters, kernel size 5",0.10601719197707736,0.0,0.0,0.0,0.10755813953488372,0.8809523809523809,0.19170984455958548,0.12
12,CNN with Attention,"128 filters, kernel size 3",0.10601719197707736,0.0,0.0,0.0,0.10755813953488372,0.8809523809523809,0.19170984455958548,0.12
13,CNN with Attention,"256 filters, kernel size 7",0.10601719197707736,0.0,0.0,0.0,0.10755813953488372,0.8809523809523809,0.19170984455958548,0.12
14,CNN with Attention,"256 filters, kernel size 5",0.11174785100286533,0.0,0.0,0.0,0.11271676300578035,0.9285714285714286,0.20103092783505155,0.12
15,CNN with Attention,"256 filters, kernel size 3",0.12034383954154727,0.0,0.0,0.0,0.12034383954154727,1.0,0.21483375959079284,0.12
16,RNN,256 units,0.11461318051575932,0.0,0.0,0.0,0.11527377521613832,0.9523809523809523,0.2056555269922879,0.12
17,RNN,128 units,0.12034383954154727,0.0,0.0,0.0,0.12034383954154727,1.0,0.21483375959079284,0.12
18,RNN,64 units,0.12034383954154727,0.0,0.0,0.0,0.12034383954154727,1.0,0.21483375959079284,0.12
19,RNN,32 units,0.12034383954154727,0.0,0.0,0.0,0.12034383954154727,1.0,0.21483375959079284,0.12
20,CNN,"32 filters, kernel size 7",0.11461318051575932,0.0,0.0,0.0,0.11527377521613832,0.9523809523809523,0.2056555269922879,0.12
21,CNN,"32 filters, kernel size 5",0.11461318051575932,0.0,0.0,0.0,0.11527377521613832,0.9523809523809523,0.2056555269922879,0.12
22,CNN,"32 filters, kernel size 3",0.1174785100286533,0.0,0.0,0.0,0.11781609195402298,0.9761904761904762,0.21025641025641023,0.12
23,CNN,"64 filters, kernel size 7",0.11174785100286533,0.2,0.003257328990228013,0.00641025641025641,0.11046511627906977,0.9047619047619048,0.19689119170984457,0.12
24,CNN,"64 filters, kernel size 5",0.12034383954154727,0.0,0.0,0.0,0.12034383954154727,1.0,0.21483375959079284,0.12
25,CNN,"64 filters, kernel size 3",0.11174785100286533,0.0,0.0,0.0,0.11271676300578035,0.9285714285714286,0.20103092783505155,0.12
26,CNN,"128 filters, kernel size 7",0.12893982808022922,1.0,0.009771986970684038,0.019354838709677417,0.12138728323699421,1.0,0.21649484536082472,0.12
27,CNN,"128 filters, kernel size 5",0.12034383954154727,0.5,0.009771986970684038,0.019169329073482427,0.11370262390670553,0.9285714285714286,0.20259740259740258,0.12
28,CNN,"128 filters, kernel size 3",0.1346704871060172,0.6923076923076923,0.029315960912052116,0.056249999999999994,0.1130952380952381,0.9047619047619048,0.20105820105820107,0.12
29,CNN,"256 filters, kernel size 7",0.12893982808022922,0.6666666666666666,0.019543973941368076,0.0379746835443038,0.11470588235294117,0.9285714285714286,0.20418848167539266,0.12
30,CNN,"256 filters, kernel size 5",0.12893982808022922,0.6666666666666666,0.019543973941368076,0.0379746835443038,0.11470588235294117,0.9285714285714286,0.20418848167539266,0.12
31,CNN,"256 filters, kernel size 3",0.10888252148997135,0.0,0.0,0.0,0.11014492753623188,0.9047619047619048,0.19638242894056845,0.12
