,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9182058047493403,0.948948948948949,0.9575757575757575,0.9532428355957768,0.6956521739130435,0.6530612244897959,0.6736842105263158,0.13
1,LSTM,128 layers,0.9287598944591029,0.9243697478991597,1.0,0.9606986899563319,1.0,0.4489795918367347,0.6197183098591549,0.13
2,LSTM,64 layers,0.8469656992084432,0.9473684210526315,0.8727272727272727,0.9085173501577286,0.44,0.673469387755102,0.532258064516129,0.13
3,LSTM,32 layers,0.9313984168865436,0.9418604651162791,0.9818181818181818,0.9614243323442137,0.8285714285714286,0.5918367346938775,0.6904761904761905,0.13
4,CNN with Attention,"32 filters, kernel size 7",0.941952506596306,0.94,0.996969696969697,0.9676470588235293,0.9655172413793104,0.5714285714285714,0.717948717948718,0.13
5,CNN with Attention,"32 filters, kernel size 5",0.9234828496042217,0.9192200557103064,1.0,0.9579100145137881,1.0,0.40816326530612246,0.5797101449275363,0.13
6,CNN with Attention,"32 filters, kernel size 3",0.941952506596306,0.9476744186046512,0.9878787878787879,0.9673590504451038,0.8857142857142857,0.6326530612244898,0.7380952380952381,0.13
7,CNN with Attention,"64 filters, kernel size 7",0.9445910290237467,0.9452449567723343,0.9939393939393939,0.9689807976366323,0.9375,0.6122448979591837,0.7407407407407408,0.13
8,CNN with Attention,"64 filters, kernel size 5",0.9445910290237467,0.9452449567723343,0.9939393939393939,0.9689807976366323,0.9375,0.6122448979591837,0.7407407407407408,0.13
9,CNN with Attention,"64 filters, kernel size 3",0.9366754617414248,0.9421965317919075,0.9878787878787879,0.9644970414201184,0.8787878787878788,0.5918367346938775,0.7073170731707316,0.13
10,CNN with Attention,"128 filters, kernel size 7",0.9340369393139841,0.9525222551928784,0.9727272727272728,0.9625187406296852,0.7857142857142857,0.673469387755102,0.7252747252747253,0.13
11,CNN with Attention,"128 filters, kernel size 5",0.9155672823218998,0.9138888888888889,0.996969696969697,0.9536231884057971,0.9473684210526315,0.3673469387755102,0.5294117647058824,0.13
12,CNN with Attention,"128 filters, kernel size 3",0.9366754617414248,0.9473684210526315,0.9818181818181818,0.9642857142857142,0.8378378378378378,0.6326530612244898,0.7209302325581396,0.13
13,CNN with Attention,"256 filters, kernel size 7",0.9366754617414248,0.95,0.9787878787878788,0.9641791044776119,0.8205128205128205,0.6530612244897959,0.7272727272727272,0.13
14,CNN with Attention,"256 filters, kernel size 5",0.9340369393139841,0.9446064139941691,0.9818181818181818,0.9628528974739969,0.8333333333333334,0.6122448979591837,0.7058823529411765,0.13
15,CNN with Attention,"256 filters, kernel size 3",0.9366754617414248,0.9447674418604651,0.9848484848484849,0.9643916913946587,0.8571428571428571,0.6122448979591837,0.7142857142857143,0.13
16,RNN,256 units,0.9340369393139841,0.9394812680115274,0.9878787878787879,0.9630723781388479,0.875,0.5714285714285714,0.691358024691358,0.13
17,RNN,128 units,0.9102902374670184,0.9157303370786517,0.9878787878787879,0.9504373177842567,0.8260869565217391,0.3877551020408163,0.5277777777777779,0.13
18,RNN,64 units,0.8786279683377308,0.9493670886075949,0.9090909090909091,0.9287925696594428,0.5238095238095238,0.673469387755102,0.5892857142857143,0.13
19,RNN,32 units,0.9129287598944591,0.9183098591549296,0.9878787878787879,0.9518248175182482,0.8333333333333334,0.40816326530612246,0.547945205479452,0.13
20,CNN,"32 filters, kernel size 7",0.9340369393139841,0.9446064139941691,0.9818181818181818,0.9628528974739969,0.8333333333333334,0.6122448979591837,0.7058823529411765,0.13
21,CNN,"32 filters, kernel size 5",0.941952506596306,0.9502923976608187,0.9848484848484849,0.9672619047619049,0.8648648648648649,0.6530612244897959,0.7441860465116279,0.13
22,CNN,"32 filters, kernel size 3",0.941952506596306,0.9529411764705882,0.9818181818181818,0.9671641791044776,0.8461538461538461,0.673469387755102,0.75,0.13
23,CNN,"64 filters, kernel size 7",0.9472295514511874,0.9454022988505747,0.996969696969697,0.9705014749262536,0.967741935483871,0.6122448979591837,0.75,0.13
24,CNN,"64 filters, kernel size 5",0.9340369393139841,0.9525222551928784,0.9727272727272728,0.9625187406296852,0.7857142857142857,0.673469387755102,0.7252747252747253,0.13
25,CNN,"64 filters, kernel size 3",0.9366754617414248,0.9421965317919075,0.9878787878787879,0.9644970414201184,0.8787878787878788,0.5918367346938775,0.7073170731707316,0.13
26,CNN,"128 filters, kernel size 7",0.9498680738786279,0.9455587392550143,1.0,0.972017673048601,1.0,0.6122448979591837,0.759493670886076,0.13
27,CNN,"128 filters, kernel size 5",0.9525065963060686,0.9508670520231214,0.996969696969697,0.9733727810650887,0.9696969696969697,0.6530612244897959,0.7804878048780488,0.13
28,CNN,"128 filters, kernel size 3",0.9498680738786279,0.9481268011527377,0.996969696969697,0.9719350073855243,0.96875,0.6326530612244898,0.7654320987654322,0.13
29,CNN,"256 filters, kernel size 7",0.941952506596306,0.9375,1.0,0.967741935483871,1.0,0.5510204081632653,0.7105263157894737,0.13
30,CNN,"256 filters, kernel size 5",0.9525065963060686,0.9534883720930233,0.9939393939393939,0.973293768545994,0.9428571428571428,0.673469387755102,0.7857142857142857,0.13
31,CNN,"256 filters, kernel size 3",0.9472295514511874,0.9428571428571428,1.0,0.9705882352941176,1.0,0.5918367346938775,0.7435897435897436,0.13
