,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.5515320334261838,0.9428571428571428,0.5221518987341772,0.6720977596741344,0.1793478260869565,0.7674418604651163,0.2907488986784141,0.12
1,LSTM,128 layers,0.8105849582172702,0.984375,0.7974683544303798,0.8811188811188811,0.3786407766990291,0.9069767441860465,0.5342465753424658,0.12
2,LSTM,64 layers,0.532033426183844,0.9625,0.4873417721518987,0.6470588235294117,0.18592964824120603,0.8604651162790697,0.30578512396694213,0.12
3,LSTM,32 layers,0.41225626740947074,0.9487179487179487,0.3512658227848101,0.5127020785219399,0.15289256198347106,0.8604651162790697,0.2596491228070175,0.12
4,CNN with Attention,"32 filters, kernel size 7",0.584958217270195,0.9326424870466321,0.569620253164557,0.7072691552062869,0.18072289156626506,0.6976744186046512,0.28708133971291866,0.12
5,CNN with Attention,"32 filters, kernel size 5",0.5654596100278552,0.9545454545454546,0.5316455696202531,0.6829268292682926,0.1912568306010929,0.813953488372093,0.30973451327433627,0.12
6,CNN with Attention,"32 filters, kernel size 3",0.6545961002785515,0.9444444444444444,0.6455696202531646,0.7669172932330827,0.21678321678321677,0.7209302325581395,0.3333333333333333,0.12
7,CNN with Attention,"64 filters, kernel size 7",0.584958217270195,0.9513513513513514,0.5569620253164557,0.7025948103792415,0.19540229885057472,0.7906976744186046,0.3133640552995392,0.12
8,CNN with Attention,"64 filters, kernel size 5",0.6100278551532033,0.9230769230769231,0.6075949367088608,0.7328244274809161,0.17880794701986755,0.627906976744186,0.2783505154639175,0.12
9,CNN with Attention,"64 filters, kernel size 3",0.5988857938718662,0.93,0.5886075949367089,0.7209302325581395,0.18238993710691823,0.6744186046511628,0.2871287128712871,0.12
10,CNN with Attention,"128 filters, kernel size 7",0.5933147632311978,0.9427083333333334,0.5727848101265823,0.7125984251968505,0.19161676646706588,0.7441860465116279,0.3047619047619048,0.12
11,CNN with Attention,"128 filters, kernel size 5",0.5766016713091922,0.9606741573033708,0.5411392405063291,0.6923076923076923,0.19889502762430938,0.8372093023255814,0.3214285714285714,0.12
12,CNN with Attention,"128 filters, kernel size 3",0.637883008356546,0.9305555555555556,0.6360759493670886,0.7556390977443608,0.1958041958041958,0.6511627906976745,0.3010752688172043,0.12
13,CNN with Attention,"256 filters, kernel size 7",0.5626740947075209,0.9491525423728814,0.5316455696202531,0.6815415821501014,0.18681318681318682,0.7906976744186046,0.3022222222222222,0.12
14,CNN with Attention,"256 filters, kernel size 5",0.5821727019498607,0.9510869565217391,0.5537974683544303,0.7,0.19428571428571428,0.7906976744186046,0.3119266055045871,0.12
15,CNN with Attention,"256 filters, kernel size 3",0.6183844011142061,0.9365853658536586,0.6075949367088608,0.7370441458733206,0.19480519480519481,0.6976744186046512,0.3045685279187817,0.12
16,RNN,256 units,0.596100278551532,0.9523809523809523,0.569620253164557,0.7128712871287128,0.2,0.7906976744186046,0.3192488262910798,0.12
17,RNN,128 units,0.6323119777158774,0.9423076923076923,0.620253164556962,0.748091603053435,0.2052980132450331,0.7209302325581395,0.3195876288659794,0.12
18,RNN,64 units,0.5710306406685237,0.945054945054945,0.5443037974683544,0.6907630522088354,0.1864406779661017,0.7674418604651163,0.30000000000000004,0.12
19,RNN,32 units,0.5403899721448467,0.9631901840490797,0.49683544303797467,0.6555323590814196,0.18877551020408162,0.8604651162790697,0.30962343096234307,0.12
20,CNN,"32 filters, kernel size 7",0.5654596100278552,0.925531914893617,0.5506329113924051,0.6904761904761905,0.1695906432748538,0.6744186046511628,0.27102803738317754,0.12
21,CNN,"32 filters, kernel size 5",0.6072423398328691,0.9441624365482234,0.5886075949367089,0.7251461988304095,0.19753086419753085,0.7441860465116279,0.31219512195121946,0.12
22,CNN,"32 filters, kernel size 3",0.6323119777158774,0.9259259259259259,0.6329113924050633,0.7518796992481204,0.1888111888111888,0.627906976744186,0.2903225806451613,0.12
23,CNN,"64 filters, kernel size 7",0.596100278551532,0.9476439790575916,0.5727848101265823,0.7140039447731755,0.19642857142857142,0.7674418604651163,0.3127962085308057,0.12
24,CNN,"64 filters, kernel size 5",0.5877437325905293,0.9468085106382979,0.5632911392405063,0.7063492063492063,0.19298245614035087,0.7674418604651163,0.30841121495327106,0.12
25,CNN,"64 filters, kernel size 3",0.6657381615598886,0.9260869565217391,0.6740506329113924,0.7802197802197803,0.20155038759689922,0.6046511627906976,0.3023255813953488,0.12
26,CNN,"128 filters, kernel size 7",0.6155988857938719,0.945,0.5981012658227848,0.7325581395348837,0.20125786163522014,0.7441860465116279,0.31683168316831684,0.12
27,CNN,"128 filters, kernel size 5",0.6239554317548747,0.9330143540669856,0.6170886075949367,0.7428571428571428,0.19333333333333333,0.6744186046511628,0.3005181347150259,0.12
28,CNN,"128 filters, kernel size 3",0.6518105849582173,0.9282511210762332,0.6550632911392406,0.7680890538033395,0.19852941176470587,0.627906976744186,0.3016759776536313,0.12
29,CNN,"256 filters, kernel size 7",0.6155988857938719,0.9362745098039216,0.6044303797468354,0.7346153846153846,0.1935483870967742,0.6976744186046512,0.30303030303030304,0.12
30,CNN,"256 filters, kernel size 5",0.6044568245125348,0.9484536082474226,0.5822784810126582,0.7215686274509804,0.2,0.7674418604651163,0.31730769230769235,0.12
31,CNN,"256 filters, kernel size 3",0.6545961002785515,0.9285714285714286,0.6582278481012658,0.7703703703703704,0.2,0.627906976744186,0.30337078651685395,0.12
