,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.18662952646239556,0.896551724137931,0.08253968253968254,0.1511627906976744,0.12424242424242424,0.9318181818181818,0.21925133689839574,0.12
1,LSTM,128 layers,0.17548746518105848,0.7714285714285715,0.08571428571428572,0.15428571428571428,0.1111111111111111,0.8181818181818182,0.1956521739130435,0.12
2,LSTM,64 layers,0.15598885793871867,0.8,0.050793650793650794,0.09552238805970148,0.11799410029498525,0.9090909090909091,0.20887728459530025,0.12
3,LSTM,32 layers,0.21448467966573817,0.9230769230769231,0.11428571428571428,0.20338983050847456,0.128125,0.9318181818181818,0.22527472527472528,0.12
4,CNN with Attention,"32 filters, kernel size 7",0.21448467966573817,0.9230769230769231,0.11428571428571428,0.20338983050847456,0.128125,0.9318181818181818,0.22527472527472528,0.12
5,CNN with Attention,"32 filters, kernel size 5",0.2116991643454039,0.9444444444444444,0.10793650793650794,0.19373219373219372,0.13003095975232198,0.9545454545454546,0.22888283378746596,0.12
6,CNN with Attention,"32 filters, kernel size 3",0.1894150417827298,0.9,0.08571428571428572,0.1565217391304348,0.12462006079027356,0.9318181818181818,0.21983914209115282,0.12
7,CNN with Attention,"64 filters, kernel size 7",0.2116991643454039,0.9444444444444444,0.10793650793650794,0.19373219373219372,0.13003095975232198,0.9545454545454546,0.22888283378746596,0.12
8,CNN with Attention,"64 filters, kernel size 5",0.2116991643454039,0.9444444444444444,0.10793650793650794,0.19373219373219372,0.13003095975232198,0.9545454545454546,0.22888283378746596,0.12
9,CNN with Attention,"64 filters, kernel size 3",0.1977715877437326,0.9354838709677419,0.09206349206349207,0.16763005780346824,0.12804878048780488,0.9545454545454546,0.22580645161290325,0.12
10,CNN with Attention,"128 filters, kernel size 7",0.20891364902506965,0.9428571428571428,0.10476190476190476,0.18857142857142858,0.12962962962962962,0.9545454545454546,0.22826086956521738,0.12
11,CNN with Attention,"128 filters, kernel size 5",0.21448467966573817,0.9459459459459459,0.1111111111111111,0.19886363636363635,0.13043478260869565,0.9545454545454546,0.22950819672131148,0.12
12,CNN with Attention,"128 filters, kernel size 3",0.19220055710306408,0.9310344827586207,0.08571428571428572,0.1569767441860465,0.12727272727272726,0.9545454545454546,0.22459893048128343,0.12
13,CNN with Attention,"256 filters, kernel size 7",0.20612813370473537,0.9411764705882353,0.10158730158730159,0.18338108882521487,0.12923076923076923,0.9545454545454546,0.22764227642276424,0.12
14,CNN with Attention,"256 filters, kernel size 5",0.20055710306406685,0.9375,0.09523809523809523,0.17291066282420745,0.12844036697247707,0.9545454545454546,0.22641509433962265,0.12
15,CNN with Attention,"256 filters, kernel size 3",0.1977715877437326,0.9354838709677419,0.09206349206349207,0.16763005780346824,0.12804878048780488,0.9545454545454546,0.22580645161290325,0.12
16,RNN,256 units,0.21727019498607242,0.7428571428571429,0.16507936507936508,0.2701298701298701,0.08996539792387544,0.5909090909090909,0.15615615615615616,0.12
17,RNN,128 units,0.20055710306406685,0.8181818181818182,0.11428571428571428,0.20055710306406685,0.11428571428571428,0.8181818181818182,0.20055710306406685,0.12
18,RNN,64 units,0.12534818941504178,1.0,0.0031746031746031746,0.006329113924050633,0.12290502793296089,1.0,0.21890547263681592,0.12
19,RNN,32 units,0.233983286908078,0.9347826086956522,0.1365079365079365,0.2382271468144044,0.13099041533546327,0.9318181818181818,0.22969187675070032,0.12
20,CNN,"32 filters, kernel size 7",0.16991643454038996,0.84,0.06666666666666667,0.12352941176470587,0.11976047904191617,0.9090909090909091,0.21164021164021163,0.12
21,CNN,"32 filters, kernel size 5",0.2116991643454039,0.9210526315789473,0.1111111111111111,0.19830028328611896,0.1277258566978193,0.9318181818181818,0.2246575342465753,0.12
22,CNN,"32 filters, kernel size 3",0.1894150417827298,0.9285714285714286,0.08253968253968254,0.15160349854227406,0.1268882175226586,0.9545454545454546,0.22399999999999998,0.12
23,CNN,"64 filters, kernel size 7",0.181058495821727,0.7692307692307693,0.09523809523809523,0.1694915254237288,0.109375,0.7954545454545454,0.19230769230769232,0.12
24,CNN,"64 filters, kernel size 5",0.17270194986072424,0.75,0.08571428571428572,0.15384615384615383,0.10835913312693499,0.7954545454545454,0.19073569482288827,0.12
25,CNN,"64 filters, kernel size 3",0.1671309192200557,0.75,0.0761904761904762,0.138328530259366,0.11009174311926606,0.8181818181818182,0.19407008086253372,0.12
26,CNN,"128 filters, kernel size 7",0.1894150417827298,0.8529411764705882,0.09206349206349207,0.166189111747851,0.12,0.8863636363636364,0.2113821138211382,0.12
27,CNN,"128 filters, kernel size 5",0.1894150417827298,0.8157894736842105,0.09841269841269841,0.1756373937677054,0.11526479750778816,0.8409090909090909,0.20273972602739726,0.12
28,CNN,"128 filters, kernel size 3",0.18662952646239556,0.8484848484848485,0.08888888888888889,0.16091954022988508,0.1196319018404908,0.8863636363636364,0.2108108108108108,0.12
29,CNN,"256 filters, kernel size 7",0.20612813370473537,0.8947368421052632,0.10793650793650794,0.1926345609065156,0.12461059190031153,0.9090909090909091,0.21917808219178084,0.12
30,CNN,"256 filters, kernel size 5",0.1894150417827298,0.8157894736842105,0.09841269841269841,0.1756373937677054,0.11526479750778816,0.8409090909090909,0.20273972602739726,0.12
31,CNN,"256 filters, kernel size 3",0.20055710306406685,0.85,0.10793650793650794,0.19154929577464788,0.11912225705329153,0.8636363636363636,0.209366391184573,0.12
