,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8631578947368421,0.9235668789808917,0.9119496855345912,0.9177215189873418,0.5757575757575758,0.6129032258064516,0.59375
1,LSTM,200 layers,0.8894736842105263,0.9207317073170732,0.949685534591195,0.9349845201238389,0.6923076923076923,0.5806451612903226,0.631578947368421
2,LSTM,100 layers,0.8894736842105263,0.9259259259259259,0.9433962264150944,0.9345794392523364,0.6785714285714286,0.6129032258064516,0.6440677966101694
3,LSTM,50 layers,0.868421052631579,0.9036144578313253,0.9433962264150944,0.9230769230769232,0.625,0.4838709677419355,0.5454545454545454
4,CNN with Attention,"32 filters, kernel size 5",0.8157894736842105,0.8563218390804598,0.9371069182389937,0.8948948948948949,0.375,0.1935483870967742,0.25531914893617014
5,CNN with Attention,"64 filters, kernel size 5",0.8368421052631579,0.8902439024390244,0.9182389937106918,0.9040247678018576,0.5,0.41935483870967744,0.45614035087719296
6,CNN with Attention,"128 filters, kernel size 5",0.8315789473684211,0.9096774193548387,0.8867924528301887,0.8980891719745223,0.4857142857142857,0.5483870967741935,0.5151515151515151
7,CNN with Attention,"256 filters, kernel size 5",0.8473684210526315,0.8869047619047619,0.9371069182389937,0.9113149847094801,0.5454545454545454,0.3870967741935484,0.45283018867924524
8,CNN with Attention,"64 filters, kernel size 3",0.8368421052631579,0.8764705882352941,0.9371069182389937,0.9057750759878419,0.5,0.3225806451612903,0.39215686274509803
9,CNN with Attention,"128 filters, kernel size 3",0.8315789473684211,0.8848484848484849,0.9182389937106918,0.9012345679012345,0.48,0.3870967741935484,0.42857142857142855
10,CNN with Attention,"256 filters, kernel size 3",0.868421052631579,0.8764044943820225,0.9811320754716981,0.9258160237388723,0.75,0.2903225806451613,0.4186046511627908
11,Random Forest,50 Estimators,0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
12,Random Forest,25 Estimators,0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
13,Random Forest,20 Estimators,0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
14,Random Forest,10 Estimators,0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
15,Random Forest,5 Estimators,0.8315789473684211,0.8469945355191257,0.9748427672955975,0.9064327485380117,0.42857142857142855,0.0967741935483871,0.15789473684210525
16,RNN,200 units,0.8631578947368421,0.884393063583815,0.9622641509433962,0.9216867469879518,0.6470588235294118,0.3548387096774194,0.4583333333333333
17,RNN,150 units,0.868421052631579,0.8850574712643678,0.9685534591194969,0.9249249249249248,0.6875,0.3548387096774194,0.4680851063829787
18,RNN,100 units,0.8842105263157894,0.9151515151515152,0.949685534591195,0.9320987654320988,0.68,0.5483870967741935,0.6071428571428571
19,RNN,50 units,0.868421052631579,0.9036144578313253,0.9433962264150944,0.9230769230769232,0.625,0.4838709677419355,0.5454545454545454
20,CNN,"64 filters, kernel size 3",0.8736842105263158,0.9041916167664671,0.949685534591195,0.9263803680981595,0.6521739130434783,0.4838709677419355,0.5555555555555556
21,CNN,"128 filters, kernel size 3",0.868421052631579,0.8988095238095238,0.949685534591195,0.9235474006116209,0.6363636363636364,0.45161290322580644,0.5283018867924528
22,CNN,"256 filters, kernel size 3",0.8789473684210526,0.8863636363636364,0.9811320754716981,0.9313432835820894,0.7857142857142857,0.3548387096774194,0.48888888888888893
23,CNN,"64 filters, kernel size 5",0.868421052631579,0.8941176470588236,0.9559748427672956,0.9240121580547113,0.65,0.41935483870967744,0.5098039215686274
24,CNN,"128 filters, kernel size 5",0.8473684210526315,0.877906976744186,0.949685534591195,0.9123867069486405,0.5555555555555556,0.3225806451612903,0.40816326530612246
25,CNN,"256 filters, kernel size 5",0.8578947368421053,0.9024390243902439,0.9308176100628931,0.9164086687306501,0.5769230769230769,0.4838709677419355,0.5263157894736842
