,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hong Kong,Hungary,India,Ireland,Israel,Italy,Japan,Latvia,Lithuania,Luxembourg,Malta,Mexico,Namibia,Netherlands,Norway,Poland,Portugal,Romania,Russia,Samoa,Saudi Arabia,Serbia And Montenegro,Singapore,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,Taiwan,Tunisia,Turkey,United Kingdom,United States,Uzbekistan,Venezuela,Vietnam,median_commodity_price,median_petroleum_price
Austria,1.0,0.4522717406519746,,0.6652357297640884,,,0.6152050602634395,,0.36640722007392884,,0.19081830097751712,0.19899287764240067,,,0.6322454436325838,0.39011256291912505,0.18806713802116365,,0.2068372363246756,-0.1712056582581273,,0.5139708457462994,0.503795502165241,0.5459309747223409,,,0.23730722873983998,,,,0.390894368049424,,0.5344281646260369,,,-0.02398675048289683,,,,,0.4527542211620607,0.29949570378135315,,0.4875131613402598,-0.17945073377099438,0.5778927387908226,-0.1864042659603021,,-0.35294915224947804,-0.23903161179858046,0.6629883117581287,,,,0.1902562472073934,0.29007429886825725
Belgium,0.4522717406519746,1.0,,0.5167943331654506,,,0.27067339343392466,,0.5761055179134092,,0.42054532469508804,0.34301215061696577,,,0.5886985668169926,0.8075051527742977,0.10267351727228291,,0.3493489697347402,-0.44311800918593947,,0.24998698560607152,0.7681087282946654,0.47491915885617836,,,0.18981415059132417,,,,0.8087785827756193,,0.5589525885198391,,,-0.09972608821697075,,,,,0.27037359548367834,0.7008213463277667,,0.695547312697626,-0.40506981252522095,0.4641669167426181,-0.39688618174398643,,-0.7729594850386055,-0.3345471137112026,0.5455051294524201,,,,0.23370444273800792,0.36074642218374575
Brazil,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0.6652357297640884,0.5167943331654506,,1.0,,,0.2606929973980025,,0.27651754470995127,,0.4109326113763788,-0.2816387388764124,,,0.3941747502579711,0.43216489129331903,-0.3608154248688695,,-0.2790187866867035,0.012811237822145433,,0.16089828409872703,0.6402529894357136,0.8053571842945205,,,-0.1490467221146924,,,,0.4359487939680882,,0.7303823400364198,,,-0.4117263704965801,,,,,0.05088422658407135,0.29450193816978615,,0.4652599262274915,-0.7433712410097311,0.7815905912581229,-0.7565146951107005,,-0.45540139089685233,-0.7889084165128417,0.9402985074626867,,,,0.6077940958947629,0.6247254786822446
Canada,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0.6152050602634395,0.27067339343392466,,0.2606929973980025,,,1.0,,0.5195051634833656,,0.05236961075022908,0.5055956978122957,,,0.7276879099861845,0.38512133566613754,0.4939473924956605,,0.5103431794113684,-0.33141901773996046,,0.7776452241125006,0.14357175543878795,0.10468578039207557,,,0.5451215976918329,,,,0.4083601286173633,,0.24958228993718648,,,0.31115208565999725,,,,,0.7298878995640344,0.2645175052975725,,0.5051298408333657,0.1316242789482916,0.3935438243619914,0.11103875286345362,,-0.38827528081373597,0.07060573009226985,0.26507439231225466,,,,-0.12630093808068138,0.003194953403342198
Colombia,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,0.36640722007392884,0.5761055179134092,,0.27651754470995127,,,0.5195051634833656,,1.0,,0.43582237576582633,0.5105445501667,,,0.5878485094286854,0.7042521266073247,0.28281466612979395,,0.5153385008824815,-0.42010887311453243,,0.5399706081377866,0.4398735766501818,0.13654267972099937,,,0.4327608660832386,,,,0.7013319707025436,,0.3501290270650397,,,0.18706567821267495,,,,,0.5313487666680978,0.5879603596133247,,0.6327051967120961,-0.12941493763357168,0.39739589488035676,-0.12231885612168918,,-0.6352620264941718,-0.10338040405492431,0.27651754470995127,,,,0.01775834319862366,0.0645245224661103
Cyprus,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,0.19081830097751712,0.42054532469508804,,0.4109326113763788,,,0.05236961075022908,,0.43582237576582633,,1.0,-0.16429933660666227,,,0.09485489047611836,0.29626473472889725,-0.32602848905013754,,-0.15569394018407337,0.015840952665521386,,0.1345273741253334,0.41965611267430275,0.29641730919660125,,,0.14904700648449073,,,,0.3232469077341726,,0.5475102049937373,,,-0.13535464018114557,,,,,0.05529138118394145,0.16486318856562682,,0.2036245258974659,-0.4688254596503483,0.5287184836172161,-0.47054560308847077,,-0.314672825360385,-0.4461020383650204,0.42077530865485496,,,,0.3663375065235981,0.41090530472566145
Denmark,0.19899287764240067,0.34301215061696577,,-0.2816387388764124,,,0.5055956978122957,,0.5105445501667,,-0.16429933660666227,1.0,,,0.5650461117764947,0.5088788212562271,0.8007053342260588,,0.9906974722292783,-0.7205873628704453,,0.4704314266356701,0.11939460211850461,-0.28038607704602214,,,0.5639148871948674,,,,0.5055956978122957,,-0.12258175953836441,,,0.5656142829726064,,,,,0.5338035561507058,0.5072292907532631,,0.5534965054116333,0.5446483186835117,-0.228934273247815,0.5290837149873248,,-0.5022497448764012,0.5551031749897679,-0.2816387388764124,,,,-0.4490187323927317,-0.3696723981320499
Estonia,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
