,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.1111111111111111,1.0,0.004608294930875576,0.009174311926605503,0.10743801652892562,1.0,0.19402985074626863
1,LSTM,200 layers,0.1111111111111111,1.0,0.004608294930875576,0.009174311926605503,0.10743801652892562,1.0,0.19402985074626863
2,LSTM,100 layers,0.1111111111111111,1.0,0.004608294930875576,0.009174311926605503,0.10743801652892562,1.0,0.19402985074626863
3,LSTM,50 layers,0.1111111111111111,1.0,0.004608294930875576,0.009174311926605503,0.10743801652892562,1.0,0.19402985074626863
4,CNN with Attention,"32 filters, kernel size 7",0.8683127572016461,0.9004329004329005,0.9585253456221198,0.9285714285714286,0.25,0.11538461538461539,0.15789473684210525
5,CNN with Attention,"32 filters, kernel size 5",0.8600823045267489,0.8995633187772926,0.9493087557603687,0.9237668161434978,0.21428571428571427,0.11538461538461539,0.15
6,CNN with Attention,"32 filters, kernel size 3",0.14814814814814814,0.7083333333333334,0.07834101382488479,0.14107883817427386,0.0867579908675799,0.7307692307692307,0.15510204081632653
7,CNN with Attention,"64 filters, kernel size 7",0.5473251028806584,0.8848920863309353,0.5668202764976958,0.6910112359550561,0.09615384615384616,0.38461538461538464,0.15384615384615385
8,CNN with Attention,"64 filters, kernel size 5",0.8641975308641975,0.9,0.9539170506912442,0.9261744966442953,0.23076923076923078,0.11538461538461539,0.15384615384615388
9,CNN with Attention,"64 filters, kernel size 3",0.8395061728395061,0.9009009009009009,0.9216589861751152,0.9111617312072893,0.19047619047619047,0.15384615384615385,0.1702127659574468
10,CNN with Attention,"128 filters, kernel size 7",0.13580246913580246,0.6842105263157895,0.059907834101382486,0.11016949152542374,0.08928571428571429,0.7692307692307693,0.16
11,CNN with Attention,"128 filters, kernel size 5",0.8847736625514403,0.902127659574468,0.9769585253456221,0.9380530973451326,0.375,0.11538461538461539,0.1764705882352941
12,CNN with Attention,"128 filters, kernel size 3",0.8683127572016461,0.9004329004329005,0.9585253456221198,0.9285714285714286,0.25,0.11538461538461539,0.15789473684210525
13,CNN with Attention,"256 filters, kernel size 7",0.8600823045267489,0.8995633187772926,0.9493087557603687,0.9237668161434978,0.21428571428571427,0.11538461538461539,0.15
14,CNN with Attention,"256 filters, kernel size 5",0.8930041152263375,0.9029535864978903,0.9861751152073732,0.9427312775330395,0.5,0.11538461538461539,0.1875
15,CNN with Attention,"256 filters, kernel size 3",0.8847736625514403,0.902127659574468,0.9769585253456221,0.9380530973451326,0.375,0.11538461538461539,0.1764705882352941
16,RNN,200 units,0.8930041152263375,0.8930041152263375,1.0,0.9434782608695652,0.0,0.0,0.0
17,RNN,150 units,0.8930041152263375,0.8930041152263375,1.0,0.9434782608695652,0.0,0.0,0.0
18,RNN,100 units,0.10699588477366255,0.5,0.009216589861751152,0.01809954751131222,0.100418410041841,0.9230769230769231,0.1811320754716981
19,RNN,50 units,0.7037037037037037,0.8961748633879781,0.7557603686635944,0.8200000000000001,0.11666666666666667,0.2692307692307692,0.16279069767441862
20,CNN,"32 filters, kernel size 7",0.8930041152263375,0.9029535864978903,0.9861751152073732,0.9427312775330395,0.5,0.11538461538461539,0.1875
21,CNN,"32 filters, kernel size 5",0.8189300411522634,0.9023255813953488,0.8940092165898618,0.8981481481481481,0.17857142857142858,0.19230769230769232,0.1851851851851852
22,CNN,"32 filters, kernel size 3",0.8559670781893004,0.8991228070175439,0.9447004608294931,0.9213483146067416,0.2,0.11538461538461539,0.14634146341463417
23,CNN,"64 filters, kernel size 7",0.8600823045267489,0.8995633187772926,0.9493087557603687,0.9237668161434978,0.21428571428571427,0.11538461538461539,0.15
24,CNN,"64 filters, kernel size 5",0.691358024691358,0.9034090909090909,0.7327188940092166,0.8091603053435116,0.13432835820895522,0.34615384615384615,0.1935483870967742
25,CNN,"64 filters, kernel size 3",0.15637860082304528,0.7307692307692307,0.08755760368663594,0.15637860082304528,0.08755760368663594,0.7307692307692307,0.15637860082304528
26,CNN,"128 filters, kernel size 7",0.654320987654321,0.9030303030303031,0.6866359447004609,0.7801047120418848,0.1282051282051282,0.38461538461538464,0.19230769230769232
27,CNN,"128 filters, kernel size 5",0.8888888888888888,0.902542372881356,0.9815668202764977,0.9403973509933774,0.42857142857142855,0.11538461538461539,0.18181818181818182
28,CNN,"128 filters, kernel size 3",0.8024691358024691,0.9004739336492891,0.8755760368663594,0.8878504672897195,0.15625,0.19230769230769232,0.1724137931034483
29,CNN,"256 filters, kernel size 7",0.8765432098765432,0.9012875536480687,0.967741935483871,0.9333333333333333,0.3,0.11538461538461539,0.16666666666666669
30,CNN,"256 filters, kernel size 5",0.8641975308641975,0.9,0.9539170506912442,0.9261744966442953,0.23076923076923078,0.11538461538461539,0.15384615384615388
31,CNN,"256 filters, kernel size 3",0.7736625514403292,0.900990099009901,0.8387096774193549,0.8687350835322196,0.14634146341463414,0.23076923076923078,0.17910447761194032
