,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.934156378600823,0.9506726457399103,0.9769585253456221,0.9636363636363637,0.75,0.5769230769230769,0.6521739130434783
1,LSTM,200 layers,0.9506172839506173,0.9475982532751092,1.0,0.9730941704035875,1.0,0.5384615384615384,0.7000000000000001
2,LSTM,100 layers,0.9547325102880658,0.9517543859649122,1.0,0.9752808988764045,1.0,0.5769230769230769,0.7317073170731707
3,LSTM,50 layers,0.9506172839506173,0.9475982532751092,1.0,0.9730941704035875,1.0,0.5384615384615384,0.7000000000000001
4,CNN with Attention,"32 filters, kernel size 7",0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
5,CNN with Attention,"32 filters, kernel size 5",0.9506172839506173,0.9515418502202643,0.9953917050691244,0.972972972972973,0.9375,0.5769230769230769,0.7142857142857143
6,CNN with Attention,"32 filters, kernel size 3",0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
7,CNN with Attention,"64 filters, kernel size 7",0.9547325102880658,0.9517543859649122,1.0,0.9752808988764045,1.0,0.5769230769230769,0.7317073170731707
8,CNN with Attention,"64 filters, kernel size 5",0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
9,CNN with Attention,"64 filters, kernel size 3",0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
10,CNN with Attention,"128 filters, kernel size 7",0.9547325102880658,0.9517543859649122,1.0,0.9752808988764045,1.0,0.5769230769230769,0.7317073170731707
11,CNN with Attention,"128 filters, kernel size 5",0.9547325102880658,0.9517543859649122,1.0,0.9752808988764045,1.0,0.5769230769230769,0.7317073170731707
12,CNN with Attention,"128 filters, kernel size 3",0.9547325102880658,0.9517543859649122,1.0,0.9752808988764045,1.0,0.5769230769230769,0.7317073170731707
13,CNN with Attention,"256 filters, kernel size 7",0.9465020576131687,0.9434782608695652,1.0,0.9709172259507829,1.0,0.5,0.6666666666666666
14,CNN with Attention,"256 filters, kernel size 5",0.9547325102880658,0.9517543859649122,1.0,0.9752808988764045,1.0,0.5769230769230769,0.7317073170731707
15,CNN with Attention,"256 filters, kernel size 3",0.9506172839506173,0.9515418502202643,0.9953917050691244,0.972972972972973,0.9375,0.5769230769230769,0.7142857142857143
16,RNN,200 units,0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
17,RNN,150 units,0.9629629629629629,0.9601769911504425,1.0,0.979683972911964,1.0,0.6538461538461539,0.7906976744186047
18,RNN,100 units,0.9506172839506173,0.9475982532751092,1.0,0.9730941704035875,1.0,0.5384615384615384,0.7000000000000001
19,RNN,50 units,0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
20,CNN,"32 filters, kernel size 7",0.9588477366255144,0.96,0.9953917050691244,0.9773755656108596,0.9444444444444444,0.6538461538461539,0.7727272727272727
21,CNN,"32 filters, kernel size 5",0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
22,CNN,"32 filters, kernel size 3",0.9547325102880658,0.9557522123893806,0.9953917050691244,0.9751693002257337,0.9411764705882353,0.6153846153846154,0.744186046511628
23,CNN,"64 filters, kernel size 7",0.9588477366255144,0.96,0.9953917050691244,0.9773755656108596,0.9444444444444444,0.6538461538461539,0.7727272727272727
24,CNN,"64 filters, kernel size 5",0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
25,CNN,"64 filters, kernel size 3",0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
26,CNN,"128 filters, kernel size 7",0.9629629629629629,0.9601769911504425,1.0,0.979683972911964,1.0,0.6538461538461539,0.7906976744186047
27,CNN,"128 filters, kernel size 5",0.9629629629629629,0.9601769911504425,1.0,0.979683972911964,1.0,0.6538461538461539,0.7906976744186047
28,CNN,"128 filters, kernel size 3",0.9670781893004116,0.9644444444444444,1.0,0.9819004524886877,1.0,0.6923076923076923,0.8181818181818181
29,CNN,"256 filters, kernel size 7",0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
30,CNN,"256 filters, kernel size 5",0.9588477366255144,0.9559471365638766,1.0,0.9774774774774774,1.0,0.6153846153846154,0.761904761904762
31,CNN,"256 filters, kernel size 3",0.9629629629629629,0.9601769911504425,1.0,0.979683972911964,1.0,0.6538461538461539,0.7906976744186047
