,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9289617486338798,0.9490445859872612,0.9675324675324676,0.9581993569131833,0.8076923076923077,0.7241379310344828,0.7636363636363636
1,LSTM,200 layers,0.8907103825136612,0.8895348837209303,0.9935064935064936,0.9386503067484663,0.9090909090909091,0.3448275862068966,0.5000000000000001
2,LSTM,100 layers,0.7704918032786885,0.8544303797468354,0.8766233766233766,0.8653846153846154,0.24,0.20689655172413793,0.22222222222222224
3,LSTM,50 layers,0.7540983606557377,0.8303030303030303,0.8896103896103896,0.8589341692789968,0.05555555555555555,0.034482758620689655,0.0425531914893617
4,CNN with Attention,"32 filters, kernel size 7",0.9180327868852459,0.9263803680981595,0.9805194805194806,0.9526813880126184,0.85,0.5862068965517241,0.6938775510204082
5,CNN with Attention,"32 filters, kernel size 5",0.9234972677595629,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.7586206896551724,0.7586206896551724,0.7586206896551724
6,CNN with Attention,"32 filters, kernel size 3",0.907103825136612,0.9308176100628931,0.961038961038961,0.9456869009584665,0.75,0.6206896551724138,0.679245283018868
7,CNN with Attention,"64 filters, kernel size 7",0.9234972677595629,0.9430379746835443,0.9675324675324676,0.9551282051282052,0.8,0.6896551724137931,0.7407407407407408
8,CNN with Attention,"64 filters, kernel size 5",0.912568306010929,0.948051948051948,0.948051948051948,0.948051948051948,0.7241379310344828,0.7241379310344828,0.7241379310344829
9,CNN with Attention,"64 filters, kernel size 3",0.8852459016393442,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.6818181818181818,0.5172413793103449,0.5882352941176471
10,CNN with Attention,"128 filters, kernel size 7",0.9234972677595629,0.9487179487179487,0.961038961038961,0.9548387096774195,0.7777777777777778,0.7241379310344828,0.75
11,CNN with Attention,"128 filters, kernel size 5",0.912568306010929,0.9367088607594937,0.961038961038961,0.9487179487179488,0.76,0.6551724137931034,0.7037037037037037
12,CNN with Attention,"128 filters, kernel size 3",0.912568306010929,0.93125,0.9675324675324676,0.9490445859872613,0.782608695652174,0.6206896551724138,0.6923076923076923
13,CNN with Attention,"256 filters, kernel size 7",0.9180327868852459,0.9426751592356688,0.961038961038961,0.9517684887459807,0.7692307692307693,0.6896551724137931,0.7272727272727274
14,CNN with Attention,"256 filters, kernel size 5",0.9344262295081968,0.961038961038961,0.961038961038961,0.961038961038961,0.7931034482758621,0.7931034482758621,0.7931034482758621
15,CNN with Attention,"256 filters, kernel size 3",0.9234972677595629,0.9430379746835443,0.9675324675324676,0.9551282051282052,0.8,0.6896551724137931,0.7407407407407408
16,RNN,200 units,0.8032786885245902,0.8597560975609756,0.9155844155844156,0.8867924528301887,0.3157894736842105,0.20689655172413793,0.25
17,RNN,150 units,0.7759562841530054,0.8383233532934131,0.9090909090909091,0.8722741433021806,0.125,0.06896551724137931,0.08888888888888889
18,RNN,100 units,0.7868852459016393,0.8402366863905325,0.922077922077922,0.8792569659442723,0.14285714285714285,0.06896551724137931,0.09302325581395349
19,RNN,50 units,0.8032786885245902,0.8352272727272727,0.9545454545454546,0.8909090909090909,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.8852459016393442,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.6818181818181818,0.5172413793103449,0.5882352941176471
21,CNN,"32 filters, kernel size 5",0.9016393442622951,0.925,0.961038961038961,0.9426751592356688,0.7391304347826086,0.5862068965517241,0.6538461538461539
22,CNN,"32 filters, kernel size 3",0.912568306010929,0.9423076923076923,0.9545454545454546,0.9483870967741935,0.7407407407407407,0.6896551724137931,0.7142857142857143
23,CNN,"64 filters, kernel size 7",0.912568306010929,0.9367088607594937,0.961038961038961,0.9487179487179488,0.76,0.6551724137931034,0.7037037037037037
24,CNN,"64 filters, kernel size 5",0.907103825136612,0.9419354838709677,0.948051948051948,0.9449838187702265,0.7142857142857143,0.6896551724137931,0.7017543859649122
25,CNN,"64 filters, kernel size 3",0.8633879781420765,0.8909090909090909,0.9545454545454546,0.9216300940438871,0.6111111111111112,0.3793103448275862,0.46808510638297873
26,CNN,"128 filters, kernel size 7",0.912568306010929,0.9423076923076923,0.9545454545454546,0.9483870967741935,0.7407407407407407,0.6896551724137931,0.7142857142857143
27,CNN,"128 filters, kernel size 5",0.9016393442622951,0.9358974358974359,0.948051948051948,0.9419354838709677,0.7037037037037037,0.6551724137931034,0.6785714285714286
28,CNN,"128 filters, kernel size 3",0.907103825136612,0.9363057324840764,0.9545454545454546,0.9453376205787781,0.7307692307692307,0.6551724137931034,0.6909090909090909
29,CNN,"256 filters, kernel size 7",0.9289617486338798,0.9433962264150944,0.974025974025974,0.9584664536741214,0.8333333333333334,0.6896551724137931,0.7547169811320755
30,CNN,"256 filters, kernel size 5",0.912568306010929,0.948051948051948,0.948051948051948,0.948051948051948,0.7241379310344828,0.7241379310344828,0.7241379310344829
31,CNN,"256 filters, kernel size 3",0.9180327868852459,0.9426751592356688,0.961038961038961,0.9517684887459807,0.7692307692307693,0.6896551724137931,0.7272727272727274
