,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9570815450643777,0.9547511312217195,1.0,0.9768518518518519,1.0,0.5454545454545454,0.7058823529411764
1,LSTM,200 layers,0.9570815450643777,0.9547511312217195,1.0,0.9768518518518519,1.0,0.5454545454545454,0.7058823529411764
2,LSTM,100 layers,0.9527896995708155,0.9504504504504504,1.0,0.9745958429561201,1.0,0.5,0.6666666666666666
3,LSTM,50 layers,0.9613733905579399,0.9590909090909091,1.0,0.9791183294663574,1.0,0.5909090909090909,0.7428571428571429
4,CNN with Attention,"32 filters, kernel size 7",0.9356223175965666,0.9336283185840708,1.0,0.965675057208238,1.0,0.3181818181818182,0.4827586206896552
5,CNN with Attention,"32 filters, kernel size 5",0.927038626609442,0.9254385964912281,1.0,0.9612756264236901,1.0,0.22727272727272727,0.37037037037037035
6,CNN with Attention,"32 filters, kernel size 3",0.9313304721030042,0.9295154185022027,1.0,0.9634703196347033,1.0,0.2727272727272727,0.42857142857142855
7,CNN with Attention,"64 filters, kernel size 7",0.9313304721030042,0.9295154185022027,1.0,0.9634703196347033,1.0,0.2727272727272727,0.42857142857142855
8,CNN with Attention,"64 filters, kernel size 5",0.9399141630901288,0.9377777777777778,1.0,0.9678899082568807,1.0,0.36363636363636365,0.5333333333333333
9,CNN with Attention,"64 filters, kernel size 3",0.9313304721030042,0.9295154185022027,1.0,0.9634703196347033,1.0,0.2727272727272727,0.42857142857142855
10,CNN with Attention,"128 filters, kernel size 7",0.927038626609442,0.9254385964912281,1.0,0.9612756264236901,1.0,0.22727272727272727,0.37037037037037035
11,CNN with Attention,"128 filters, kernel size 5",0.9356223175965666,0.9336283185840708,1.0,0.965675057208238,1.0,0.3181818181818182,0.4827586206896552
12,CNN with Attention,"128 filters, kernel size 3",0.9313304721030042,0.9295154185022027,1.0,0.9634703196347033,1.0,0.2727272727272727,0.42857142857142855
13,CNN with Attention,"256 filters, kernel size 7",0.927038626609442,0.9254385964912281,1.0,0.9612756264236901,1.0,0.22727272727272727,0.37037037037037035
14,CNN with Attention,"256 filters, kernel size 5",0.927038626609442,0.9254385964912281,1.0,0.9612756264236901,1.0,0.22727272727272727,0.37037037037037035
15,CNN with Attention,"256 filters, kernel size 3",0.9313304721030042,0.9295154185022027,1.0,0.9634703196347033,1.0,0.2727272727272727,0.42857142857142855
16,RNN,200 units,0.927038626609442,0.9254385964912281,1.0,0.9612756264236901,1.0,0.22727272727272727,0.37037037037037035
17,RNN,150 units,0.927038626609442,0.9254385964912281,1.0,0.9612756264236901,1.0,0.22727272727272727,0.37037037037037035
18,RNN,100 units,0.9484978540772532,0.9461883408071748,1.0,0.9723502304147466,1.0,0.45454545454545453,0.625
19,RNN,50 units,0.9570815450643777,0.9547511312217195,1.0,0.9768518518518519,1.0,0.5454545454545454,0.7058823529411764
20,CNN,"32 filters, kernel size 7",0.9313304721030042,0.9295154185022027,1.0,0.9634703196347033,1.0,0.2727272727272727,0.42857142857142855
21,CNN,"32 filters, kernel size 5",0.9313304721030042,0.9295154185022027,1.0,0.9634703196347033,1.0,0.2727272727272727,0.42857142857142855
22,CNN,"32 filters, kernel size 3",0.927038626609442,0.9254385964912281,1.0,0.9612756264236901,1.0,0.22727272727272727,0.37037037037037035
23,CNN,"64 filters, kernel size 7",0.927038626609442,0.9254385964912281,1.0,0.9612756264236901,1.0,0.22727272727272727,0.37037037037037035
24,CNN,"64 filters, kernel size 5",0.9399141630901288,0.9377777777777778,1.0,0.9678899082568807,1.0,0.36363636363636365,0.5333333333333333
25,CNN,"64 filters, kernel size 3",0.9399141630901288,0.9377777777777778,1.0,0.9678899082568807,1.0,0.36363636363636365,0.5333333333333333
26,CNN,"128 filters, kernel size 7",0.927038626609442,0.9254385964912281,1.0,0.9612756264236901,1.0,0.22727272727272727,0.37037037037037035
27,CNN,"128 filters, kernel size 5",0.927038626609442,0.9254385964912281,1.0,0.9612756264236901,1.0,0.22727272727272727,0.37037037037037035
28,CNN,"128 filters, kernel size 3",0.9399141630901288,0.9377777777777778,1.0,0.9678899082568807,1.0,0.36363636363636365,0.5333333333333333
29,CNN,"256 filters, kernel size 7",0.9399141630901288,0.9377777777777778,1.0,0.9678899082568807,1.0,0.36363636363636365,0.5333333333333333
30,CNN,"256 filters, kernel size 5",0.9356223175965666,0.9336283185840708,1.0,0.965675057208238,1.0,0.3181818181818182,0.4827586206896552
31,CNN,"256 filters, kernel size 3",0.944206008583691,0.9419642857142857,1.0,0.9701149425287356,1.0,0.4090909090909091,0.5806451612903226
