,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9398907103825137,0.949685534591195,0.9805194805194806,0.964856230031949,0.875,0.7241379310344828,0.7924528301886793
1,LSTM,200 layers,0.9180327868852459,0.9112426035502958,1.0,0.9535603715170279,1.0,0.4827586206896552,0.6511627906976745
2,LSTM,100 layers,0.9453551912568307,0.9390243902439024,1.0,0.9685534591194969,1.0,0.6551724137931034,0.7916666666666666
3,LSTM,50 layers,0.9508196721311475,0.9559748427672956,0.987012987012987,0.9712460063897763,0.9166666666666666,0.7586206896551724,0.830188679245283
4,CNN with Attention,"32 filters, kernel size 7",0.8579234972677595,0.8555555555555555,1.0,0.9221556886227544,1.0,0.10344827586206896,0.1875
5,CNN with Attention,"32 filters, kernel size 5",0.8633879781420765,0.8603351955307262,1.0,0.9249249249249248,1.0,0.13793103448275862,0.2424242424242424
6,CNN with Attention,"32 filters, kernel size 3",0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
7,CNN with Attention,"64 filters, kernel size 7",0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
8,CNN with Attention,"64 filters, kernel size 5",0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
9,CNN with Attention,"64 filters, kernel size 3",0.8633879781420765,0.8603351955307262,1.0,0.9249249249249248,1.0,0.13793103448275862,0.2424242424242424
10,CNN with Attention,"128 filters, kernel size 7",0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
11,CNN with Attention,"128 filters, kernel size 5",0.8633879781420765,0.8603351955307262,1.0,0.9249249249249248,1.0,0.13793103448275862,0.2424242424242424
12,CNN with Attention,"128 filters, kernel size 3",0.8633879781420765,0.8603351955307262,1.0,0.9249249249249248,1.0,0.13793103448275862,0.2424242424242424
13,CNN with Attention,"256 filters, kernel size 7",0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
14,CNN with Attention,"256 filters, kernel size 5",0.8633879781420765,0.8603351955307262,1.0,0.9249249249249248,1.0,0.13793103448275862,0.2424242424242424
15,CNN with Attention,"256 filters, kernel size 3",0.8633879781420765,0.8603351955307262,1.0,0.9249249249249248,1.0,0.13793103448275862,0.2424242424242424
16,RNN,200 units,0.8743169398907104,0.8700564971751412,1.0,0.9305135951661632,1.0,0.20689655172413793,0.34285714285714286
17,RNN,150 units,0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
18,RNN,100 units,0.8907103825136612,0.8850574712643678,1.0,0.9390243902439025,1.0,0.3103448275862069,0.4736842105263158
19,RNN,50 units,0.8415300546448088,0.8415300546448088,1.0,0.913946587537092,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.8469945355191257,0.8461538461538461,1.0,0.9166666666666666,1.0,0.034482758620689655,0.06666666666666667
21,CNN,"32 filters, kernel size 5",0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
22,CNN,"32 filters, kernel size 3",0.8633879781420765,0.8685714285714285,0.987012987012987,0.9240121580547112,0.75,0.20689655172413793,0.32432432432432434
23,CNN,"64 filters, kernel size 7",0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
24,CNN,"64 filters, kernel size 5",0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
25,CNN,"64 filters, kernel size 3",0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
26,CNN,"128 filters, kernel size 7",0.8688524590163934,0.8651685393258427,1.0,0.927710843373494,1.0,0.1724137931034483,0.29411764705882354
27,CNN,"128 filters, kernel size 5",0.8579234972677595,0.8555555555555555,1.0,0.9221556886227544,1.0,0.10344827586206896,0.1875
28,CNN,"128 filters, kernel size 3",0.8633879781420765,0.864406779661017,0.9935064935064936,0.9244712990936557,0.8333333333333334,0.1724137931034483,0.28571428571428575
29,CNN,"256 filters, kernel size 7",0.8633879781420765,0.8603351955307262,1.0,0.9249249249249248,1.0,0.13793103448275862,0.2424242424242424
30,CNN,"256 filters, kernel size 5",0.8633879781420765,0.8603351955307262,1.0,0.9249249249249248,1.0,0.13793103448275862,0.2424242424242424
31,CNN,"256 filters, kernel size 3",0.8633879781420765,0.864406779661017,0.9935064935064936,0.9244712990936557,0.8333333333333334,0.1724137931034483,0.28571428571428575
