,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8522167487684729,0.8522167487684729,1.0,0.9202127659574468,0.0,0.0,0.0
1,LSTM,200 layers,0.8325123152709359,0.8638743455497382,0.953757225433526,0.9065934065934066,0.3333333333333333,0.13333333333333333,0.19047619047619044
2,LSTM,100 layers,0.8522167487684729,0.8522167487684729,1.0,0.9202127659574468,0.0,0.0,0.0
3,LSTM,50 layers,0.8522167487684729,0.8522167487684729,1.0,0.9202127659574468,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.7980295566502463,0.84375,0.9364161849710982,0.8876712328767122,0.0,0.0,0.0
5,CNN with Attention,"32 filters, kernel size 5",0.7980295566502463,0.84375,0.9364161849710982,0.8876712328767122,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.7980295566502463,0.84375,0.9364161849710982,0.8876712328767122,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.812807881773399,0.8609625668449198,0.930635838150289,0.8944444444444444,0.25,0.13333333333333333,0.1739130434782609
8,CNN with Attention,"64 filters, kernel size 5",0.7980295566502463,0.84375,0.9364161849710982,0.8876712328767122,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.7980295566502463,0.84375,0.9364161849710982,0.8876712328767122,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.8374384236453202,0.8723404255319149,0.9479768786127167,0.9085872576177285,0.4,0.2,0.26666666666666666
11,CNN with Attention,"128 filters, kernel size 5",0.812807881773399,0.8571428571428571,0.9364161849710982,0.8950276243093923,0.21428571428571427,0.1,0.13636363636363638
12,CNN with Attention,"128 filters, kernel size 3",0.8177339901477833,0.8469387755102041,0.9595375722543352,0.8997289972899729,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.8177339901477833,0.8617021276595744,0.9364161849710982,0.8975069252077562,0.26666666666666666,0.13333333333333333,0.17777777777777776
14,CNN with Attention,"256 filters, kernel size 5",0.812807881773399,0.8497409326424871,0.9479768786127167,0.8961748633879781,0.1,0.03333333333333333,0.05
15,CNN with Attention,"256 filters, kernel size 3",0.8177339901477833,0.8469387755102041,0.9595375722543352,0.8997289972899729,0.0,0.0,0.0
16,RNN,200 units,0.8275862068965517,0.8484848484848485,0.9710982658959537,0.9056603773584905,0.0,0.0,0.0
17,RNN,150 units,0.8325123152709359,0.8492462311557789,0.976878612716763,0.9086021505376344,0.0,0.0,0.0
18,RNN,100 units,0.8522167487684729,0.8522167487684729,1.0,0.9202127659574468,0.0,0.0,0.0
19,RNN,50 units,0.8374384236453202,0.85,0.9826589595375722,0.9115281501340482,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.8078817733990148,0.8602150537634409,0.9248554913294798,0.8913649025069638,0.23529411764705882,0.13333333333333333,0.1702127659574468
21,CNN,"32 filters, kernel size 5",0.7980295566502463,0.8586956521739131,0.9132947976878613,0.8851540616246499,0.21052631578947367,0.13333333333333333,0.163265306122449
22,CNN,"32 filters, kernel size 3",0.7931034482758621,0.8465608465608465,0.9248554913294798,0.8839779005524862,0.07142857142857142,0.03333333333333333,0.045454545454545456
23,CNN,"64 filters, kernel size 7",0.8078817733990148,0.8641304347826086,0.9190751445086706,0.8907563025210085,0.2631578947368421,0.16666666666666666,0.2040816326530612
24,CNN,"64 filters, kernel size 5",0.7980295566502463,0.851063829787234,0.9248554913294798,0.886426592797784,0.13333333333333333,0.06666666666666667,0.08888888888888888
25,CNN,"64 filters, kernel size 3",0.7783251231527094,0.8478260869565217,0.9017341040462428,0.8739495798319328,0.10526315789473684,0.06666666666666667,0.0816326530612245
26,CNN,"128 filters, kernel size 7",0.8669950738916257,0.8842105263157894,0.9710982658959537,0.9256198347107437,0.6153846153846154,0.26666666666666666,0.37209302325581395
27,CNN,"128 filters, kernel size 5",0.8029556650246306,0.8594594594594595,0.9190751445086706,0.888268156424581,0.2222222222222222,0.13333333333333333,0.16666666666666669
28,CNN,"128 filters, kernel size 3",0.8078817733990148,0.8563829787234043,0.930635838150289,0.8919667590027701,0.2,0.1,0.13333333333333333
29,CNN,"256 filters, kernel size 7",0.7980295566502463,0.8548387096774194,0.9190751445086706,0.8857938718662953,0.17647058823529413,0.1,0.12765957446808512
30,CNN,"256 filters, kernel size 5",0.8571428571428571,0.8673469387755102,0.9826589595375722,0.9214092140921408,0.5714285714285714,0.13333333333333333,0.21621621621621623
31,CNN,"256 filters, kernel size 3",0.8325123152709359,0.8638743455497382,0.953757225433526,0.9065934065934066,0.3333333333333333,0.13333333333333333,0.19047619047619044
