,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8864628820960698,0.9022222222222223,0.9806763285024155,0.9398148148148148,0.0,0.0,0.0
1,LSTM,200 layers,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
2,LSTM,100 layers,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
3,LSTM,50 layers,0.8864628820960698,0.9022222222222223,0.9806763285024155,0.9398148148148148,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.9213973799126638,0.9655172413793104,0.9468599033816425,0.9560975609756097,0.5769230769230769,0.6818181818181818,0.6249999999999999
5,CNN with Attention,"32 filters, kernel size 5",0.9301310043668122,0.95260663507109,0.9710144927536232,0.9617224880382774,0.6666666666666666,0.5454545454545454,0.6
6,CNN with Attention,"32 filters, kernel size 3",0.8908296943231441,0.9375,0.9420289855072463,0.9397590361445783,0.42857142857142855,0.4090909090909091,0.4186046511627907
7,CNN with Attention,"64 filters, kernel size 7",0.9039301310043668,0.9425837320574163,0.9516908212560387,0.9471153846153847,0.5,0.45454545454545453,0.47619047619047616
8,CNN with Attention,"64 filters, kernel size 5",0.925764192139738,0.9439252336448598,0.9758454106280193,0.9596199524940617,0.6666666666666666,0.45454545454545453,0.5405405405405405
9,CNN with Attention,"64 filters, kernel size 3",0.8995633187772926,0.9259259259259259,0.966183574879227,0.9456264775413711,0.46153846153846156,0.2727272727272727,0.3428571428571428
10,CNN with Attention,"128 filters, kernel size 7",0.9039301310043668,0.9425837320574163,0.9516908212560387,0.9471153846153847,0.5,0.45454545454545453,0.47619047619047616
11,CNN with Attention,"128 filters, kernel size 5",0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.8995633187772926,0.9035087719298246,0.9951690821256038,0.9471264367816092,0.0,0.0,0.0
16,RNN,200 units,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
17,RNN,150 units,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
18,RNN,100 units,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
19,RNN,50 units,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.8995633187772926,0.9339622641509434,0.9565217391304348,0.9451073985680192,0.47058823529411764,0.36363636363636365,0.41025641025641024
21,CNN,"32 filters, kernel size 5",0.9170305676855895,0.9311926605504587,0.9806763285024155,0.9552941176470587,0.6363636363636364,0.3181818181818182,0.4242424242424242
22,CNN,"32 filters, kernel size 3",0.8995633187772926,0.9259259259259259,0.966183574879227,0.9456264775413711,0.46153846153846156,0.2727272727272727,0.3428571428571428
23,CNN,"64 filters, kernel size 7",0.9126637554585153,0.9473684210526315,0.9565217391304348,0.9519230769230769,0.55,0.5,0.5238095238095238
24,CNN,"64 filters, kernel size 5",0.9170305676855895,0.9519230769230769,0.9565217391304348,0.9542168674698795,0.5714285714285714,0.5454545454545454,0.5581395348837208
25,CNN,"64 filters, kernel size 3",0.9082969432314411,0.9345794392523364,0.966183574879227,0.9501187648456056,0.5333333333333333,0.36363636363636365,0.43243243243243246
26,CNN,"128 filters, kernel size 7",0.925764192139738,0.9523809523809523,0.966183574879227,0.9592326139088728,0.631578947368421,0.5454545454545454,0.5853658536585366
27,CNN,"128 filters, kernel size 5",0.9388646288209607,0.957345971563981,0.9758454106280193,0.9665071770334929,0.7222222222222222,0.5909090909090909,0.65
28,CNN,"128 filters, kernel size 3",0.8864628820960698,0.9289099526066351,0.9468599033816425,0.937799043062201,0.3888888888888889,0.3181818181818182,0.35000000000000003
29,CNN,"256 filters, kernel size 7",0.9170305676855895,0.9519230769230769,0.9565217391304348,0.9542168674698795,0.5714285714285714,0.5454545454545454,0.5581395348837208
30,CNN,"256 filters, kernel size 5",0.9344978165938864,0.9571428571428572,0.9710144927536232,0.9640287769784173,0.6842105263157895,0.5909090909090909,0.6341463414634148
31,CNN,"256 filters, kernel size 3",0.8951965065502183,0.9295774647887324,0.9565217391304348,0.9428571428571428,0.4375,0.3181818181818182,0.3684210526315789
