,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9748953974895398,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.7857142857142857,0.7857142857142857,0.7857142857142857
1,LSTM,200 layers,0.9623430962343096,0.9778761061946902,0.9822222222222222,0.9800443458980044,0.6923076923076923,0.6428571428571429,0.6666666666666666
2,LSTM,100 layers,0.9748953974895398,0.9823788546255506,0.9911111111111112,0.9867256637168141,0.8333333333333334,0.7142857142857143,0.7692307692307692
3,LSTM,50 layers,0.9790794979079498,0.9824561403508771,0.9955555555555555,0.988962472406181,0.9090909090909091,0.7142857142857143,0.8
4,CNN with Attention,"32 filters, kernel size 7",0.9748953974895398,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.7857142857142857,0.7857142857142857,0.7857142857142857
5,CNN with Attention,"32 filters, kernel size 5",0.9790794979079498,0.9824561403508771,0.9955555555555555,0.988962472406181,0.9090909090909091,0.7142857142857143,0.8
6,CNN with Attention,"32 filters, kernel size 3",0.9790794979079498,0.9867256637168141,0.9911111111111112,0.9889135254988914,0.8461538461538461,0.7857142857142857,0.8148148148148148
7,CNN with Attention,"64 filters, kernel size 7",0.9707112970711297,0.9823008849557522,0.9866666666666667,0.9844789356984479,0.7692307692307693,0.7142857142857143,0.7407407407407408
8,CNN with Attention,"64 filters, kernel size 5",0.9790794979079498,0.9867256637168141,0.9911111111111112,0.9889135254988914,0.8461538461538461,0.7857142857142857,0.8148148148148148
9,CNN with Attention,"64 filters, kernel size 3",0.9790794979079498,0.9867256637168141,0.9911111111111112,0.9889135254988914,0.8461538461538461,0.7857142857142857,0.8148148148148148
10,CNN with Attention,"128 filters, kernel size 7",0.9790794979079498,0.9867256637168141,0.9911111111111112,0.9889135254988914,0.8461538461538461,0.7857142857142857,0.8148148148148148
11,CNN with Attention,"128 filters, kernel size 5",0.9748953974895398,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.7857142857142857,0.7857142857142857,0.7857142857142857
12,CNN with Attention,"128 filters, kernel size 3",0.9748953974895398,0.9823788546255506,0.9911111111111112,0.9867256637168141,0.8333333333333334,0.7142857142857143,0.7692307692307692
13,CNN with Attention,"256 filters, kernel size 7",0.9707112970711297,0.9823008849557522,0.9866666666666667,0.9844789356984479,0.7692307692307693,0.7142857142857143,0.7407407407407408
14,CNN with Attention,"256 filters, kernel size 5",0.9748953974895398,0.9781659388646288,0.9955555555555555,0.986784140969163,0.9,0.6428571428571429,0.75
15,CNN with Attention,"256 filters, kernel size 3",0.9623430962343096,0.9695652173913043,0.9911111111111112,0.9802197802197803,0.7777777777777778,0.5,0.6086956521739131
16,RNN,200 units,0.9330543933054394,0.9644444444444444,0.9644444444444444,0.9644444444444444,0.42857142857142855,0.42857142857142855,0.42857142857142855
17,RNN,150 units,0.9372384937238494,0.9646017699115044,0.9688888888888889,0.966740576496674,0.46153846153846156,0.42857142857142855,0.4444444444444445
18,RNN,100 units,0.9037656903765691,0.9508928571428571,0.9466666666666667,0.9487750556792873,0.2,0.21428571428571427,0.20689655172413796
19,RNN,50 units,0.9497907949790795,0.9570815450643777,0.9911111111111112,0.9737991266375546,0.6666666666666666,0.2857142857142857,0.4
20,CNN,"32 filters, kernel size 7",0.9414225941422594,0.9773755656108597,0.96,0.9686098654708519,0.5,0.6428571428571429,0.5625000000000001
21,CNN,"32 filters, kernel size 5",0.9707112970711297,0.9823008849557522,0.9866666666666667,0.9844789356984479,0.7692307692307693,0.7142857142857143,0.7407407407407408
22,CNN,"32 filters, kernel size 3",0.9832635983263598,0.986784140969163,0.9955555555555555,0.9911504424778761,0.9166666666666666,0.7857142857142857,0.8461538461538461
23,CNN,"64 filters, kernel size 7",0.9748953974895398,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.7857142857142857,0.7857142857142857,0.7857142857142857
24,CNN,"64 filters, kernel size 5",0.9832635983263598,0.986784140969163,0.9955555555555555,0.9911504424778761,0.9166666666666666,0.7857142857142857,0.8461538461538461
25,CNN,"64 filters, kernel size 3",0.9790794979079498,0.9910714285714286,0.9866666666666667,0.9888641425389756,0.8,0.8571428571428571,0.8275862068965518
26,CNN,"128 filters, kernel size 7",0.9748953974895398,0.9781659388646288,0.9955555555555555,0.986784140969163,0.9,0.6428571428571429,0.75
27,CNN,"128 filters, kernel size 5",0.9790794979079498,0.9867256637168141,0.9911111111111112,0.9889135254988914,0.8461538461538461,0.7857142857142857,0.8148148148148148
28,CNN,"128 filters, kernel size 3",0.9748953974895398,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.7857142857142857,0.7857142857142857,0.7857142857142857
29,CNN,"256 filters, kernel size 7",0.9790794979079498,0.9867256637168141,0.9911111111111112,0.9889135254988914,0.8461538461538461,0.7857142857142857,0.8148148148148148
30,CNN,"256 filters, kernel size 5",0.9748953974895398,0.9866666666666667,0.9866666666666667,0.9866666666666668,0.7857142857142857,0.7857142857142857,0.7857142857142857
31,CNN,"256 filters, kernel size 3",0.9790794979079498,0.9782608695652174,1.0,0.989010989010989,1.0,0.6428571428571429,0.782608695652174
