,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8493150684931506,0.9354838709677419,0.8923076923076924,0.9133858267716536,0.36363636363636365,0.5,0.4210526315789474
1,LSTM,200 layers,0.8493150684931506,0.95,0.8769230769230769,0.912,0.38461538461538464,0.625,0.4761904761904762
2,LSTM,100 layers,0.8538812785388128,0.9553072625698324,0.8769230769230769,0.9144385026737969,0.4,0.6666666666666666,0.5
3,LSTM,50 layers,0.8538812785388128,0.9453551912568307,0.8871794871794871,0.9153439153439155,0.3888888888888889,0.5833333333333334,0.4666666666666666
4,CNN with Attention,"32 filters, kernel size 7",0.9406392694063926,0.9690721649484536,0.9641025641025641,0.9665809768637532,0.72,0.75,0.7346938775510204
5,CNN with Attention,"32 filters, kernel size 5",0.8995433789954338,0.9726775956284153,0.9128205128205128,0.9417989417989417,0.5277777777777778,0.7916666666666666,0.6333333333333333
6,CNN with Attention,"32 filters, kernel size 3",0.8812785388127854,0.9720670391061452,0.8923076923076924,0.9304812834224598,0.475,0.7916666666666666,0.5937499999999999
7,CNN with Attention,"64 filters, kernel size 7",0.8949771689497716,0.9725274725274725,0.9076923076923077,0.9389920424403183,0.5135135135135135,0.7916666666666666,0.6229508196721311
8,CNN with Attention,"64 filters, kernel size 5",0.9223744292237442,0.9836956521739131,0.9282051282051282,0.9551451187335093,0.6,0.875,0.711864406779661
9,CNN with Attention,"64 filters, kernel size 3",0.817351598173516,0.9696969696969697,0.8205128205128205,0.8888888888888888,0.35185185185185186,0.7916666666666666,0.48717948717948717
10,CNN with Attention,"128 filters, kernel size 7",0.9223744292237442,0.9836956521739131,0.9282051282051282,0.9551451187335093,0.6,0.875,0.711864406779661
11,CNN with Attention,"128 filters, kernel size 5",0.8401826484018264,0.9761904761904762,0.841025641025641,0.9035812672176309,0.39215686274509803,0.8333333333333334,0.5333333333333333
12,CNN with Attention,"128 filters, kernel size 3",0.9178082191780822,0.9732620320855615,0.9333333333333333,0.9528795811518325,0.59375,0.7916666666666666,0.6785714285714286
13,CNN with Attention,"256 filters, kernel size 7",0.9452054794520548,0.9552238805970149,0.9846153846153847,0.9696969696969696,0.8333333333333334,0.625,0.7142857142857143
14,CNN with Attention,"256 filters, kernel size 5",0.8721461187214612,0.9717514124293786,0.882051282051282,0.924731182795699,0.4523809523809524,0.7916666666666666,0.5757575757575758
15,CNN with Attention,"256 filters, kernel size 3",0.8493150684931506,0.9709302325581395,0.8564102564102564,0.9100817438692097,0.40425531914893614,0.7916666666666666,0.5352112676056338
16,RNN,200 units,0.8082191780821918,0.9421965317919075,0.8358974358974359,0.8858695652173914,0.30434782608695654,0.5833333333333334,0.4
17,RNN,150 units,0.8447488584474886,0.9128205128205128,0.9128205128205128,0.9128205128205128,0.2916666666666667,0.2916666666666667,0.2916666666666667
18,RNN,100 units,0.863013698630137,0.9319371727748691,0.9128205128205128,0.9222797927461139,0.39285714285714285,0.4583333333333333,0.4230769230769231
19,RNN,50 units,0.726027397260274,0.9354838709677419,0.7435897435897436,0.8285714285714285,0.21875,0.5833333333333334,0.31818181818181823
20,CNN,"32 filters, kernel size 7",0.9452054794520548,0.9597989949748744,0.9794871794871794,0.9695431472081218,0.8,0.6666666666666666,0.7272727272727272
21,CNN,"32 filters, kernel size 5",0.8995433789954338,0.9779005524861878,0.9076923076923077,0.9414893617021277,0.5263157894736842,0.8333333333333334,0.6451612903225806
22,CNN,"32 filters, kernel size 3",0.8949771689497716,0.9725274725274725,0.9076923076923077,0.9389920424403183,0.5135135135135135,0.7916666666666666,0.6229508196721311
23,CNN,"64 filters, kernel size 7",0.91324200913242,0.9680851063829787,0.9333333333333333,0.9503916449086162,0.5806451612903226,0.75,0.6545454545454547
24,CNN,"64 filters, kernel size 5",0.8584474885844748,0.9823529411764705,0.8564102564102564,0.915068493150685,0.42857142857142855,0.875,0.5753424657534246
25,CNN,"64 filters, kernel size 3",0.8858447488584474,0.9722222222222222,0.8974358974358975,0.9333333333333333,0.48717948717948717,0.7916666666666666,0.6031746031746031
26,CNN,"128 filters, kernel size 7",0.9178082191780822,0.988950276243094,0.9179487179487179,0.952127659574468,0.5789473684210527,0.9166666666666666,0.7096774193548387
27,CNN,"128 filters, kernel size 5",0.8767123287671232,0.9719101123595506,0.8871794871794871,0.9276139410187667,0.4634146341463415,0.7916666666666666,0.5846153846153846
28,CNN,"128 filters, kernel size 3",0.9360730593607306,0.9738219895287958,0.9538461538461539,0.9637305699481865,0.6785714285714286,0.7916666666666666,0.7307692307692307
29,CNN,"256 filters, kernel size 7",0.9315068493150684,0.9736842105263158,0.9487179487179487,0.9610389610389611,0.6551724137931034,0.7916666666666666,0.7169811320754716
30,CNN,"256 filters, kernel size 5",0.9315068493150684,0.9591836734693877,0.9641025641025641,0.9616368286445012,0.6956521739130435,0.6666666666666666,0.6808510638297872
31,CNN,"256 filters, kernel size 3",0.8493150684931506,0.9709302325581395,0.8564102564102564,0.9100817438692097,0.40425531914893614,0.7916666666666666,0.5352112676056338
