,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8904109589041096,0.8904109589041096,1.0,0.9420289855072463,0.0,0.0,0.0
1,LSTM,200 layers,0.8904109589041096,0.8904109589041096,1.0,0.9420289855072463,0.0,0.0,0.0
2,LSTM,100 layers,0.8904109589041096,0.8904109589041096,1.0,0.9420289855072463,0.0,0.0,0.0
3,LSTM,50 layers,0.8904109589041096,0.8904109589041096,1.0,0.9420289855072463,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.8995433789954338,0.9023255813953488,0.9948717948717949,0.9463414634146341,0.75,0.125,0.21428571428571427
5,CNN with Attention,"32 filters, kernel size 5",0.7671232876712328,0.9044943820224719,0.8256410256410256,0.8632707774798928,0.17073170731707318,0.2916666666666667,0.21538461538461542
6,CNN with Attention,"32 filters, kernel size 3",0.867579908675799,0.8878504672897196,0.9743589743589743,0.9290953545232272,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.7808219178082192,0.9060773480662984,0.841025641025641,0.8723404255319149,0.18421052631578946,0.2916666666666667,0.22580645161290325
8,CNN with Attention,"64 filters, kernel size 5",0.8493150684931506,0.905,0.9282051282051282,0.9164556962025316,0.2631578947368421,0.20833333333333334,0.23255813953488372
9,CNN with Attention,"64 filters, kernel size 3",0.680365296803653,0.9139072847682119,0.7076923076923077,0.7976878612716763,0.16176470588235295,0.4583333333333333,0.2391304347826087
10,CNN with Attention,"128 filters, kernel size 7",0.8767123287671232,0.92,0.9435897435897436,0.9316455696202531,0.42105263157894735,0.3333333333333333,0.372093023255814
11,CNN with Attention,"128 filters, kernel size 5",0.8721461187214612,0.9113300492610837,0.9487179487179487,0.9296482412060301,0.375,0.25,0.3
12,CNN with Attention,"128 filters, kernel size 3",0.730593607305936,0.8777777777777778,0.8102564102564103,0.8426666666666666,0.05128205128205128,0.08333333333333333,0.06349206349206349
13,CNN with Attention,"256 filters, kernel size 7",0.867579908675799,0.8915094339622641,0.9692307692307692,0.9287469287469287,0.14285714285714285,0.041666666666666664,0.06451612903225806
14,CNN with Attention,"256 filters, kernel size 5",0.867579908675799,0.8878504672897196,0.9743589743589743,0.9290953545232272,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.8538812785388128,0.8862559241706162,0.958974358974359,0.9211822660098522,0.0,0.0,0.0
16,RNN,200 units,0.8904109589041096,0.8904109589041096,1.0,0.9420289855072463,0.0,0.0,0.0
17,RNN,150 units,0.7214611872146118,0.8764044943820225,0.8,0.8364611260053619,0.04878048780487805,0.08333333333333333,0.061538461538461535
18,RNN,100 units,0.8767123287671232,0.8888888888888888,0.9846153846153847,0.9343065693430657,0.0,0.0,0.0
19,RNN,50 units,0.2785388127853881,0.8627450980392157,0.22564102564102564,0.3577235772357723,0.10119047619047619,0.7083333333333334,0.17708333333333334
20,CNN,"32 filters, kernel size 7",0.8812785388127854,0.9043062200956937,0.9692307692307692,0.9356435643564355,0.4,0.16666666666666666,0.23529411764705882
21,CNN,"32 filters, kernel size 5",0.7625570776255708,0.8783068783068783,0.8512820512820513,0.8645833333333333,0.03333333333333333,0.041666666666666664,0.037037037037037035
22,CNN,"32 filters, kernel size 3",0.8538812785388128,0.8862559241706162,0.958974358974359,0.9211822660098522,0.0,0.0,0.0
23,CNN,"64 filters, kernel size 7",0.8447488584474886,0.9128205128205128,0.9128205128205128,0.9128205128205128,0.2916666666666667,0.2916666666666667,0.2916666666666667
24,CNN,"64 filters, kernel size 5",0.8721461187214612,0.9282051282051282,0.9282051282051282,0.9282051282051282,0.4166666666666667,0.4166666666666667,0.4166666666666667
25,CNN,"64 filters, kernel size 3",0.776255707762557,0.9195402298850575,0.8205128205128205,0.8672086720867208,0.2222222222222222,0.4166666666666667,0.2898550724637681
26,CNN,"128 filters, kernel size 7",0.8264840182648402,0.9153439153439153,0.8871794871794871,0.9010416666666667,0.26666666666666666,0.3333333333333333,0.2962962962962963
27,CNN,"128 filters, kernel size 5",0.8127853881278538,0.9139784946236559,0.8717948717948718,0.8923884514435695,0.24242424242424243,0.3333333333333333,0.2807017543859649
28,CNN,"128 filters, kernel size 3",0.8310502283105022,0.8910891089108911,0.9230769230769231,0.906801007556675,0.11764705882352941,0.08333333333333333,0.09756097560975609
29,CNN,"256 filters, kernel size 7",0.8356164383561644,0.9119170984455959,0.9025641025641026,0.9072164948453609,0.2692307692307692,0.2916666666666667,0.27999999999999997
30,CNN,"256 filters, kernel size 5",0.8447488584474886,0.9045226130653267,0.9230769230769231,0.9137055837563451,0.25,0.20833333333333334,0.22727272727272727
31,CNN,"256 filters, kernel size 3",0.7625570776255708,0.903954802259887,0.8205128205128205,0.860215053763441,0.16666666666666666,0.2916666666666667,0.2121212121212121
