,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8755980861244019,0.8883495145631068,0.9838709677419355,0.9336734693877552,0.0,0.0,0.0
1,LSTM,200 layers,0.8899521531100478,0.8899521531100478,1.0,0.9417721518987342,0.0,0.0,0.0
2,LSTM,100 layers,0.8229665071770335,0.8860103626943006,0.9193548387096774,0.9023746701846964,0.0625,0.043478260869565216,0.05128205128205128
3,LSTM,50 layers,0.8899521531100478,0.8899521531100478,1.0,0.9417721518987342,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.7799043062200957,0.9216867469879518,0.8225806451612904,0.8693181818181819,0.23255813953488372,0.43478260869565216,0.30303030303030304
5,CNN with Attention,"32 filters, kernel size 5",0.8660287081339713,0.8872549019607843,0.9731182795698925,0.9282051282051281,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.8516746411483254,0.8855721393034826,0.956989247311828,0.9198966408268733,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.8564593301435407,0.9105263157894737,0.9301075268817204,0.9202127659574468,0.3157894736842105,0.2608695652173913,0.28571428571428575
8,CNN with Attention,"64 filters, kernel size 5",0.8899521531100478,0.8899521531100478,1.0,0.9417721518987342,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.7799043062200957,0.8932584269662921,0.8548387096774194,0.8736263736263736,0.12903225806451613,0.17391304347826086,0.14814814814814814
10,CNN with Attention,"128 filters, kernel size 7",0.7368421052631579,0.9171974522292994,0.7741935483870968,0.8396501457725948,0.19230769230769232,0.43478260869565216,0.26666666666666666
11,CNN with Attention,"128 filters, kernel size 5",0.8803827751196173,0.9214659685863874,0.946236559139785,0.9336870026525199,0.4444444444444444,0.34782608695652173,0.3902439024390244
12,CNN with Attention,"128 filters, kernel size 3",0.8803827751196173,0.8888888888888888,0.989247311827957,0.9363867684478372,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.861244019138756,0.8866995073891626,0.967741935483871,0.9254498714652957,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.8708133971291866,0.9119170984455959,0.946236559139785,0.9287598944591029,0.375,0.2608695652173913,0.30769230769230765
15,CNN with Attention,"256 filters, kernel size 3",0.8373205741626795,0.9086021505376344,0.9086021505376344,0.9086021505376344,0.2608695652173913,0.2608695652173913,0.2608695652173913
16,RNN,200 units,0.8899521531100478,0.8899521531100478,1.0,0.9417721518987342,0.0,0.0,0.0
17,RNN,150 units,0.8803827751196173,0.8888888888888888,0.989247311827957,0.9363867684478372,0.0,0.0,0.0
18,RNN,100 units,0.8899521531100478,0.8899521531100478,1.0,0.9417721518987342,0.0,0.0,0.0
19,RNN,50 units,0.8708133971291866,0.8878048780487805,0.978494623655914,0.9309462915601024,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.8899521531100478,0.8899521531100478,1.0,0.9417721518987342,0.0,0.0,0.0
21,CNN,"32 filters, kernel size 5",0.861244019138756,0.8866995073891626,0.967741935483871,0.9254498714652957,0.0,0.0,0.0
22,CNN,"32 filters, kernel size 3",0.8516746411483254,0.8855721393034826,0.956989247311828,0.9198966408268733,0.0,0.0,0.0
23,CNN,"64 filters, kernel size 7",0.7511961722488039,0.9085365853658537,0.8010752688172043,0.8514285714285714,0.17777777777777778,0.34782608695652173,0.23529411764705882
24,CNN,"64 filters, kernel size 5",0.8899521531100478,0.8899521531100478,1.0,0.9417721518987342,0.0,0.0,0.0
25,CNN,"64 filters, kernel size 3",0.7990430622009569,0.8789473684210526,0.8978494623655914,0.8882978723404255,0.0,0.0,0.0
26,CNN,"128 filters, kernel size 7",0.8899521531100478,0.8899521531100478,1.0,0.9417721518987342,0.0,0.0,0.0
27,CNN,"128 filters, kernel size 5",0.8851674641148325,0.9132653061224489,0.9623655913978495,0.9371727748691099,0.46153846153846156,0.2608695652173913,0.33333333333333337
28,CNN,"128 filters, kernel size 3",0.8516746411483254,0.9234972677595629,0.9086021505376344,0.915989159891599,0.34615384615384615,0.391304347826087,0.36734693877551017
29,CNN,"256 filters, kernel size 7",0.8181818181818182,0.9204545454545454,0.8709677419354839,0.8950276243093922,0.2727272727272727,0.391304347826087,0.32142857142857145
30,CNN,"256 filters, kernel size 5",0.7894736842105263,0.9127906976744186,0.8440860215053764,0.8770949720670391,0.21621621621621623,0.34782608695652173,0.26666666666666666
31,CNN,"256 filters, kernel size 3",0.9090909090909091,0.9073170731707317,1.0,0.9514066496163683,1.0,0.17391304347826086,0.29629629629629634
