,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
1,LSTM,200 layers,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
2,LSTM,100 layers,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
3,LSTM,50 layers,0.8864628820960698,0.9022222222222223,0.9806763285024155,0.9398148148148148,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.9170305676855895,0.9433962264150944,0.966183574879227,0.9546539379474939,0.5882352941176471,0.45454545454545453,0.5128205128205129
5,CNN with Attention,"32 filters, kernel size 5",0.9388646288209607,0.9617224880382775,0.9710144927536232,0.9663461538461539,0.7,0.6363636363636364,0.6666666666666666
6,CNN with Attention,"32 filters, kernel size 3",0.8951965065502183,0.937799043062201,0.9468599033816425,0.9423076923076923,0.45,0.4090909090909091,0.4285714285714286
7,CNN with Attention,"64 filters, kernel size 7",0.8995633187772926,0.9423076923076923,0.9468599033816425,0.944578313253012,0.47619047619047616,0.45454545454545453,0.46511627906976744
8,CNN with Attention,"64 filters, kernel size 5",0.9126637554585153,0.943127962085308,0.961352657004831,0.9521531100478469,0.5555555555555556,0.45454545454545453,0.5
9,CNN with Attention,"64 filters, kernel size 3",0.9039301310043668,0.9111111111111111,0.9903381642512077,0.9490740740740741,0.5,0.09090909090909091,0.15384615384615385
10,CNN with Attention,"128 filters, kernel size 7",0.9126637554585153,0.943127962085308,0.961352657004831,0.9521531100478469,0.5555555555555556,0.45454545454545453,0.5
11,CNN with Attention,"128 filters, kernel size 5",0.9213973799126638,0.9395348837209302,0.9758454106280193,0.957345971563981,0.6428571428571429,0.4090909090909091,0.5000000000000001
12,CNN with Attention,"128 filters, kernel size 3",0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.9082969432314411,0.9345794392523364,0.966183574879227,0.9501187648456056,0.5333333333333333,0.36363636363636365,0.43243243243243246
14,CNN with Attention,"256 filters, kernel size 5",0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
16,RNN,200 units,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
17,RNN,150 units,0.8864628820960698,0.9022222222222223,0.9806763285024155,0.9398148148148148,0.0,0.0,0.0
18,RNN,100 units,0.9039301310043668,0.9039301310043668,1.0,0.9495412844036697,0.0,0.0,0.0
19,RNN,50 units,0.8951965065502183,0.9030837004405287,0.9903381642512077,0.944700460829493,0.0,0.0,0.0
20,CNN,"32 filters, kernel size 7",0.8908296943231441,0.9375,0.9420289855072463,0.9397590361445783,0.42857142857142855,0.4090909090909091,0.4186046511627907
21,CNN,"32 filters, kernel size 5",0.9126637554585153,0.9308755760368663,0.9758454106280193,0.9528301886792453,0.5833333333333334,0.3181818181818182,0.4117647058823529
22,CNN,"32 filters, kernel size 3",0.8995633187772926,0.9107142857142857,0.9855072463768116,0.9466357308584686,0.4,0.09090909090909091,0.14814814814814814
23,CNN,"64 filters, kernel size 7",0.9082969432314411,0.9471153846153846,0.9516908212560387,0.9493975903614458,0.5238095238095238,0.5,0.5116279069767442
24,CNN,"64 filters, kernel size 5",0.9126637554585153,0.9269406392694064,0.9806763285024155,0.9530516431924884,0.6,0.2727272727272727,0.37499999999999994
25,CNN,"64 filters, kernel size 3",0.8951965065502183,0.9255813953488372,0.961352657004831,0.9431279620853081,0.42857142857142855,0.2727272727272727,0.33333333333333326
26,CNN,"128 filters, kernel size 7",0.9039301310043668,0.9468599033816425,0.9468599033816425,0.9468599033816425,0.5,0.5,0.5
27,CNN,"128 filters, kernel size 5",0.925764192139738,0.9523809523809523,0.966183574879227,0.9592326139088728,0.631578947368421,0.5454545454545454,0.5853658536585366
28,CNN,"128 filters, kernel size 3",0.8908296943231441,0.9292452830188679,0.9516908212560387,0.9403341288782816,0.4117647058823529,0.3181818181818182,0.358974358974359
29,CNN,"256 filters, kernel size 7",0.9126637554585153,0.9651741293532339,0.9371980676328503,0.9509803921568628,0.5357142857142857,0.6818181818181818,0.6
30,CNN,"256 filters, kernel size 5",0.9432314410480349,0.9619047619047619,0.9758454106280193,0.9688249400479616,0.7368421052631579,0.6363636363636364,0.6829268292682926
31,CNN,"256 filters, kernel size 3",0.8995633187772926,0.9380952380952381,0.9516908212560387,0.9448441247002398,0.47368421052631576,0.4090909090909091,0.43902439024390244
