,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.5935483870967742,0.8529411764705882,0.6444444444444445,0.7341772151898734,0.09433962264150944,0.25,0.13698630136986303
1,LSTM,200 layers,0.8387096774193549,0.8716216216216216,0.9555555555555556,0.911660777385159,0.14285714285714285,0.05,0.07407407407407408
2,LSTM,100 layers,0.8709677419354839,0.8709677419354839,1.0,0.9310344827586207,0.0,0.0,0.0
3,LSTM,50 layers,0.12903225806451613,0.0,0.0,0.0,0.12903225806451613,1.0,0.2285714285714286
4,CNN with Attention,"32 filters, kernel size 7",0.8387096774193549,0.8767123287671232,0.9481481481481482,0.9110320284697508,0.2222222222222222,0.1,0.13793103448275865
5,CNN with Attention,"32 filters, kernel size 5",0.832258064516129,0.8865248226950354,0.9259259259259259,0.9057971014492754,0.2857142857142857,0.2,0.23529411764705882
6,CNN with Attention,"32 filters, kernel size 3",0.8387096774193549,0.8819444444444444,0.9407407407407408,0.9103942652329748,0.2727272727272727,0.15,0.19354838709677416
7,CNN with Attention,"64 filters, kernel size 7",0.8387096774193549,0.8767123287671232,0.9481481481481482,0.9110320284697508,0.2222222222222222,0.1,0.13793103448275865
8,CNN with Attention,"64 filters, kernel size 5",0.8387096774193549,0.8819444444444444,0.9407407407407408,0.9103942652329748,0.2727272727272727,0.15,0.19354838709677416
9,CNN with Attention,"64 filters, kernel size 3",0.8451612903225807,0.8827586206896552,0.9481481481481482,0.9142857142857144,0.3,0.15,0.2
10,CNN with Attention,"128 filters, kernel size 7",0.8258064516129032,0.875,0.9333333333333333,0.9032258064516129,0.18181818181818182,0.1,0.12903225806451613
11,CNN with Attention,"128 filters, kernel size 5",0.8258064516129032,0.875,0.9333333333333333,0.9032258064516129,0.18181818181818182,0.1,0.12903225806451613
12,CNN with Attention,"128 filters, kernel size 3",0.8387096774193549,0.8767123287671232,0.9481481481481482,0.9110320284697508,0.2222222222222222,0.1,0.13793103448275865
13,CNN with Attention,"256 filters, kernel size 7",0.8193548387096774,0.8905109489051095,0.9037037037037037,0.8970588235294118,0.2777777777777778,0.25,0.2631578947368421
14,CNN with Attention,"256 filters, kernel size 5",0.8258064516129032,0.875,0.9333333333333333,0.9032258064516129,0.18181818181818182,0.1,0.12903225806451613
15,CNN with Attention,"256 filters, kernel size 3",0.7741935483870968,0.890625,0.8444444444444444,0.8669201520912547,0.2222222222222222,0.3,0.25531914893617025
16,RNN,200 units,0.8709677419354839,0.8709677419354839,1.0,0.9310344827586207,0.0,0.0,0.0
17,RNN,150 units,0.3870967741935484,0.8571428571428571,0.35555555555555557,0.5026178010471204,0.12121212121212122,0.6,0.20168067226890757
18,RNN,100 units,0.5225806451612903,0.8588235294117647,0.5407407407407407,0.6636363636363636,0.11428571428571428,0.4,0.17777777777777776
19,RNN,50 units,0.32903225806451614,0.8780487804878049,0.26666666666666666,0.40909090909090906,0.13157894736842105,0.75,0.22388059701492538
20,CNN,"32 filters, kernel size 7",0.8387096774193549,0.8767123287671232,0.9481481481481482,0.9110320284697508,0.2222222222222222,0.1,0.13793103448275865
21,CNN,"32 filters, kernel size 5",0.8516129032258064,0.8835616438356164,0.9555555555555556,0.9181494661921709,0.3333333333333333,0.15,0.20689655172413793
22,CNN,"32 filters, kernel size 3",0.8709677419354839,0.896551724137931,0.9629629629629629,0.9285714285714286,0.5,0.25,0.3333333333333333
23,CNN,"64 filters, kernel size 7",0.8387096774193549,0.8819444444444444,0.9407407407407408,0.9103942652329748,0.2727272727272727,0.15,0.19354838709677416
24,CNN,"64 filters, kernel size 5",0.832258064516129,0.8920863309352518,0.9185185185185185,0.9051094890510949,0.3125,0.25,0.2777777777777778
25,CNN,"64 filters, kernel size 3",0.8387096774193549,0.8819444444444444,0.9407407407407408,0.9103942652329748,0.2727272727272727,0.15,0.19354838709677416
26,CNN,"128 filters, kernel size 7",0.8387096774193549,0.8819444444444444,0.9407407407407408,0.9103942652329748,0.2727272727272727,0.15,0.19354838709677416
27,CNN,"128 filters, kernel size 5",0.8387096774193549,0.8819444444444444,0.9407407407407408,0.9103942652329748,0.2727272727272727,0.15,0.19354838709677416
28,CNN,"128 filters, kernel size 3",0.8193548387096774,0.8794326241134752,0.9185185185185185,0.8985507246376813,0.21428571428571427,0.15,0.1764705882352941
29,CNN,"256 filters, kernel size 7",0.832258064516129,0.8811188811188811,0.9333333333333333,0.906474820143885,0.25,0.15,0.18749999999999997
30,CNN,"256 filters, kernel size 5",0.832258064516129,0.8811188811188811,0.9333333333333333,0.906474820143885,0.25,0.15,0.18749999999999997
31,CNN,"256 filters, kernel size 3",0.7870967741935484,0.8923076923076924,0.8592592592592593,0.8754716981132076,0.24,0.3,0.2666666666666666
