,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.7925925925925926,0.8387096774193549,0.9285714285714286,0.8813559322033899,0.2727272727272727,0.13043478260869565,0.1764705882352941
1,LSTM,200 layers,0.8444444444444444,0.8699186991869918,0.9553571428571429,0.9106382978723403,0.5833333333333334,0.30434782608695654,0.4
2,LSTM,100 layers,0.8222222222222222,0.9583333333333334,0.8214285714285714,0.8846153846153847,0.48717948717948717,0.8260869565217391,0.6129032258064516
3,LSTM,50 layers,0.7185185185185186,0.8083333333333333,0.8660714285714286,0.8362068965517241,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.8666666666666667,0.8983050847457628,0.9464285714285714,0.9217391304347826,0.6470588235294118,0.4782608695652174,0.55
5,CNN with Attention,"32 filters, kernel size 5",0.8518518518518519,0.9035087719298246,0.9196428571428571,0.911504424778761,0.5714285714285714,0.5217391304347826,0.5454545454545454
6,CNN with Attention,"32 filters, kernel size 3",0.7777777777777778,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.3793103448275862,0.4782608695652174,0.4230769230769231
7,CNN with Attention,"64 filters, kernel size 7",0.8592592592592593,0.9043478260869565,0.9285714285714286,0.9162995594713658,0.6,0.5217391304347826,0.5581395348837209
8,CNN with Attention,"64 filters, kernel size 5",0.8222222222222222,0.9150943396226415,0.8660714285714286,0.8899082568807338,0.4827586206896552,0.6086956521739131,0.5384615384615384
9,CNN with Attention,"64 filters, kernel size 3",0.8,0.912621359223301,0.8392857142857143,0.8744186046511627,0.4375,0.6086956521739131,0.5090909090909091
10,CNN with Attention,"128 filters, kernel size 7",0.7777777777777778,0.8867924528301887,0.8392857142857143,0.8623853211009174,0.3793103448275862,0.4782608695652174,0.4230769230769231
11,CNN with Attention,"128 filters, kernel size 5",0.7703703703703704,0.8932038834951457,0.8214285714285714,0.8558139534883721,0.375,0.5217391304347826,0.43636363636363634
12,CNN with Attention,"128 filters, kernel size 3",0.6814814814814815,0.9259259259259259,0.6696428571428571,0.77720207253886,0.3148148148148148,0.7391304347826086,0.4415584415584415
13,CNN with Attention,"256 filters, kernel size 7",0.7925925925925926,0.875,0.875,0.875,0.391304347826087,0.391304347826087,0.391304347826087
14,CNN with Attention,"256 filters, kernel size 5",0.7703703703703704,0.900990099009901,0.8125,0.8544600938967137,0.38235294117647056,0.5652173913043478,0.45614035087719296
15,CNN with Attention,"256 filters, kernel size 3",0.7333333333333333,0.88,0.7857142857142857,0.830188679245283,0.3142857142857143,0.4782608695652174,0.3793103448275862
16,RNN,200 units,0.725925925925926,1.0,0.6696428571428571,0.802139037433155,0.38333333333333336,1.0,0.5542168674698795
17,RNN,150 units,0.6222222222222222,0.9841269841269841,0.5535714285714286,0.7085714285714286,0.3055555555555556,0.9565217391304348,0.4631578947368421
18,RNN,100 units,0.7777777777777778,0.8203125,0.9375,0.875,0.0,0.0,0.0
19,RNN,50 units,0.562962962962963,0.8840579710144928,0.5446428571428571,0.6740331491712707,0.22727272727272727,0.6521739130434783,0.33707865168539325
20,CNN,"32 filters, kernel size 7",0.8814814814814815,0.9,0.9642857142857143,0.9310344827586207,0.7333333333333333,0.4782608695652174,0.5789473684210527
21,CNN,"32 filters, kernel size 5",0.837037037037037,0.9326923076923077,0.8660714285714286,0.8981481481481481,0.5161290322580645,0.6956521739130435,0.5925925925925926
22,CNN,"32 filters, kernel size 3",0.7851851851851852,0.8878504672897196,0.8482142857142857,0.8675799086757991,0.39285714285714285,0.4782608695652174,0.4313725490196078
23,CNN,"64 filters, kernel size 7",0.8,0.8828828828828829,0.875,0.8789237668161436,0.4166666666666667,0.43478260869565216,0.425531914893617
24,CNN,"64 filters, kernel size 5",0.7333333333333333,0.9318181818181818,0.7321428571428571,0.82,0.3617021276595745,0.7391304347826086,0.4857142857142858
25,CNN,"64 filters, kernel size 3",0.7407407407407407,0.8969072164948454,0.7767857142857143,0.8325358851674641,0.34210526315789475,0.5652173913043478,0.4262295081967213
26,CNN,"128 filters, kernel size 7",0.8148148148148148,0.8990825688073395,0.875,0.8868778280542987,0.46153846153846156,0.5217391304347826,0.4897959183673469
27,CNN,"128 filters, kernel size 5",0.8074074074074075,0.93,0.8303571428571429,0.8773584905660378,0.45714285714285713,0.6956521739130435,0.5517241379310345
28,CNN,"128 filters, kernel size 3",0.6148148148148148,0.9054054054054054,0.5982142857142857,0.7204301075268817,0.26229508196721313,0.6956521739130435,0.38095238095238093
29,CNN,"256 filters, kernel size 7",0.8444444444444444,0.8956521739130435,0.9196428571428571,0.9074889867841409,0.55,0.4782608695652174,0.5116279069767442
30,CNN,"256 filters, kernel size 5",0.7111111111111111,0.9397590361445783,0.6964285714285714,0.8,0.34615384615384615,0.782608695652174,0.48
31,CNN,"256 filters, kernel size 3",0.8518518518518519,0.9181818181818182,0.9017857142857143,0.9099099099099099,0.56,0.6086956521739131,0.5833333333333334
