,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9130434782608695,0.9130434782608695,1.0,0.9545454545454545,0.0,0.0,0.0
1,LSTM,200 layers,0.8521739130434782,0.9074074074074074,0.9333333333333333,0.9201877934272301,0.0,0.0,0.0
2,LSTM,100 layers,0.808695652173913,0.9029126213592233,0.8857142857142857,0.8942307692307693,0.0,0.0,0.0
3,LSTM,50 layers,0.6782608695652174,0.8863636363636364,0.7428571428571429,0.8082901554404146,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.7913043478260869,0.9263157894736842,0.8380952380952381,0.88,0.15,0.3,0.2
5,CNN with Attention,"32 filters, kernel size 5",0.782608695652174,0.9347826086956522,0.819047619047619,0.8730964467005077,0.17391304347826086,0.4,0.24242424242424243
6,CNN with Attention,"32 filters, kernel size 3",0.7739130434782608,0.9247311827956989,0.819047619047619,0.8686868686868686,0.13636363636363635,0.3,0.18749999999999997
7,CNN with Attention,"64 filters, kernel size 7",0.7739130434782608,0.9247311827956989,0.819047619047619,0.8686868686868686,0.13636363636363635,0.3,0.18749999999999997
8,CNN with Attention,"64 filters, kernel size 5",0.7652173913043478,0.9148936170212766,0.819047619047619,0.864321608040201,0.09523809523809523,0.2,0.12903225806451613
9,CNN with Attention,"64 filters, kernel size 3",0.7652173913043478,0.9239130434782609,0.8095238095238095,0.8629441624365481,0.13043478260869565,0.3,0.18181818181818182
10,CNN with Attention,"128 filters, kernel size 7",0.7739130434782608,0.9157894736842105,0.8285714285714286,0.8700000000000001,0.1,0.2,0.13333333333333333
11,CNN with Attention,"128 filters, kernel size 5",0.8,0.9270833333333334,0.8476190476190476,0.8855721393034826,0.15789473684210525,0.3,0.20689655172413793
12,CNN with Attention,"128 filters, kernel size 3",0.7652173913043478,0.9239130434782609,0.8095238095238095,0.8629441624365481,0.13043478260869565,0.3,0.18181818181818182
13,CNN with Attention,"256 filters, kernel size 7",0.7739130434782608,0.9157894736842105,0.8285714285714286,0.8700000000000001,0.1,0.2,0.13333333333333333
14,CNN with Attention,"256 filters, kernel size 5",0.7913043478260869,0.9090909090909091,0.8571428571428571,0.8823529411764706,0.0625,0.1,0.07692307692307693
15,CNN with Attention,"256 filters, kernel size 3",0.782608695652174,0.925531914893617,0.8285714285714286,0.8743718592964825,0.14285714285714285,0.3,0.19354838709677416
16,RNN,200 units,0.8608695652173913,0.908256880733945,0.9428571428571428,0.9252336448598131,0.0,0.0,0.0
17,RNN,150 units,0.8173913043478261,0.9285714285714286,0.8666666666666667,0.896551724137931,0.17647058823529413,0.3,0.22222222222222224
18,RNN,100 units,0.8260869565217391,0.9207920792079208,0.8857142857142857,0.9029126213592233,0.14285714285714285,0.2,0.16666666666666666
19,RNN,50 units,0.7913043478260869,0.9263157894736842,0.8380952380952381,0.88,0.15,0.3,0.2
20,CNN,"32 filters, kernel size 7",0.7739130434782608,0.9157894736842105,0.8285714285714286,0.8700000000000001,0.1,0.2,0.13333333333333333
21,CNN,"32 filters, kernel size 5",0.7565217391304347,0.9230769230769231,0.8,0.8571428571428571,0.125,0.3,0.17647058823529413
22,CNN,"32 filters, kernel size 3",0.8,0.9270833333333334,0.8476190476190476,0.8855721393034826,0.15789473684210525,0.3,0.20689655172413793
23,CNN,"64 filters, kernel size 7",0.7391304347826086,0.9120879120879121,0.7904761904761904,0.8469387755102041,0.08333333333333333,0.2,0.11764705882352941
24,CNN,"64 filters, kernel size 5",0.782608695652174,0.925531914893617,0.8285714285714286,0.8743718592964825,0.14285714285714285,0.3,0.19354838709677416
25,CNN,"64 filters, kernel size 3",0.782608695652174,0.925531914893617,0.8285714285714286,0.8743718592964825,0.14285714285714285,0.3,0.19354838709677416
26,CNN,"128 filters, kernel size 7",0.7913043478260869,0.9175257731958762,0.8476190476190476,0.8811881188118811,0.1111111111111111,0.2,0.14285714285714285
27,CNN,"128 filters, kernel size 5",0.7739130434782608,0.9247311827956989,0.819047619047619,0.8686868686868686,0.13636363636363635,0.3,0.18749999999999997
28,CNN,"128 filters, kernel size 3",0.7652173913043478,0.9239130434782609,0.8095238095238095,0.8629441624365481,0.13043478260869565,0.3,0.18181818181818182
29,CNN,"256 filters, kernel size 7",0.7217391304347827,0.9195402298850575,0.7619047619047619,0.8333333333333334,0.10714285714285714,0.3,0.15789473684210525
30,CNN,"256 filters, kernel size 5",0.7478260869565218,0.9222222222222223,0.7904761904761904,0.8512820512820511,0.12,0.3,0.17142857142857143
31,CNN,"256 filters, kernel size 3",0.7478260869565218,0.9222222222222223,0.7904761904761904,0.8512820512820511,0.12,0.3,0.17142857142857143
