,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9448275862068966,0.951048951048951,0.9927007299270073,0.9714285714285715,0.5,0.125,0.2
1,LSTM,200 layers,0.9517241379310345,0.9513888888888888,1.0,0.9750889679715302,1.0,0.125,0.2222222222222222
2,LSTM,100 layers,0.9655172413793104,0.9647887323943662,1.0,0.982078853046595,1.0,0.375,0.5454545454545454
3,LSTM,50 layers,0.9517241379310345,0.9513888888888888,1.0,0.9750889679715302,1.0,0.125,0.2222222222222222
4,CNN with Attention,"32 filters, kernel size 7",0.9517241379310345,0.9577464788732394,0.9927007299270073,0.974910394265233,0.6666666666666666,0.25,0.36363636363636365
5,CNN with Attention,"32 filters, kernel size 5",0.9655172413793104,0.9782608695652174,0.9854014598540146,0.9818181818181817,0.7142857142857143,0.625,0.6666666666666666
6,CNN with Attention,"32 filters, kernel size 3",0.9517241379310345,0.9779411764705882,0.9708029197080292,0.9743589743589743,0.5555555555555556,0.625,0.5882352941176471
7,CNN with Attention,"64 filters, kernel size 7",0.9517241379310345,0.9513888888888888,1.0,0.9750889679715302,1.0,0.125,0.2222222222222222
8,CNN with Attention,"64 filters, kernel size 5",0.9724137931034482,0.9784172661870504,0.9927007299270073,0.9855072463768116,0.8333333333333334,0.625,0.7142857142857143
9,CNN with Attention,"64 filters, kernel size 3",0.9586206896551724,0.9781021897810219,0.9781021897810219,0.9781021897810219,0.625,0.625,0.625
10,CNN with Attention,"128 filters, kernel size 7",0.9655172413793104,0.9647887323943662,1.0,0.982078853046595,1.0,0.375,0.5454545454545454
11,CNN with Attention,"128 filters, kernel size 5",0.9655172413793104,0.9647887323943662,1.0,0.982078853046595,1.0,0.375,0.5454545454545454
12,CNN with Attention,"128 filters, kernel size 3",0.9655172413793104,0.9782608695652174,0.9854014598540146,0.9818181818181817,0.7142857142857143,0.625,0.6666666666666666
13,CNN with Attention,"256 filters, kernel size 7",0.9586206896551724,0.958041958041958,1.0,0.9785714285714286,1.0,0.25,0.4
14,CNN with Attention,"256 filters, kernel size 5",0.9655172413793104,0.9647887323943662,1.0,0.982078853046595,1.0,0.375,0.5454545454545454
15,CNN with Attention,"256 filters, kernel size 3",0.9655172413793104,0.9647887323943662,1.0,0.982078853046595,1.0,0.375,0.5454545454545454
16,RNN,200 units,0.9517241379310345,0.9577464788732394,0.9927007299270073,0.974910394265233,0.6666666666666666,0.25,0.36363636363636365
17,RNN,150 units,0.9379310344827586,0.9571428571428572,0.9781021897810219,0.9675090252707581,0.4,0.25,0.3076923076923077
18,RNN,100 units,0.9586206896551724,0.958041958041958,1.0,0.9785714285714286,1.0,0.25,0.4
19,RNN,50 units,0.9379310344827586,0.9571428571428572,0.9781021897810219,0.9675090252707581,0.4,0.25,0.3076923076923077
20,CNN,"32 filters, kernel size 7",0.9517241379310345,0.9513888888888888,1.0,0.9750889679715302,1.0,0.125,0.2222222222222222
21,CNN,"32 filters, kernel size 5",0.9517241379310345,0.9710144927536232,0.9781021897810219,0.9745454545454545,0.5714285714285714,0.5,0.5333333333333333
22,CNN,"32 filters, kernel size 3",0.9586206896551724,0.9781021897810219,0.9781021897810219,0.9781021897810219,0.625,0.625,0.625
23,CNN,"64 filters, kernel size 7",0.9586206896551724,0.9645390070921985,0.9927007299270073,0.9784172661870503,0.75,0.375,0.5
24,CNN,"64 filters, kernel size 5",0.9655172413793104,0.9714285714285714,0.9927007299270073,0.9819494584837546,0.8,0.5,0.6153846153846154
25,CNN,"64 filters, kernel size 3",0.9655172413793104,0.9782608695652174,0.9854014598540146,0.9818181818181817,0.7142857142857143,0.625,0.6666666666666666
26,CNN,"128 filters, kernel size 7",0.9586206896551724,0.958041958041958,1.0,0.9785714285714286,1.0,0.25,0.4
27,CNN,"128 filters, kernel size 5",0.9586206896551724,0.9645390070921985,0.9927007299270073,0.9784172661870503,0.75,0.375,0.5
28,CNN,"128 filters, kernel size 3",0.9448275862068966,0.9708029197080292,0.9708029197080292,0.9708029197080292,0.5,0.5,0.5
29,CNN,"256 filters, kernel size 7",0.9586206896551724,0.958041958041958,1.0,0.9785714285714286,1.0,0.25,0.4
30,CNN,"256 filters, kernel size 5",0.9586206896551724,0.958041958041958,1.0,0.9785714285714286,1.0,0.25,0.4
31,CNN,"256 filters, kernel size 3",0.9586206896551724,0.9645390070921985,0.9927007299270073,0.9784172661870503,0.75,0.375,0.5
