,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8842105263157894,0.8842105263157894,1.0,0.9385474860335195,0.0,0.0,0.0
1,LSTM,200 layers,0.8842105263157894,0.9101123595505618,0.9642857142857143,0.9364161849710984,0.5,0.2727272727272727,0.3529411764705882
2,LSTM,100 layers,0.8842105263157894,0.8842105263157894,1.0,0.9385474860335195,0.0,0.0,0.0
3,LSTM,50 layers,0.8947368421052632,0.8936170212765957,1.0,0.9438202247191011,1.0,0.09090909090909091,0.16666666666666669
4,CNN with Attention,"32 filters, kernel size 7",0.8526315789473684,0.8804347826086957,0.9642857142857143,0.9204545454545455,0.0,0.0,0.0
5,CNN with Attention,"32 filters, kernel size 5",0.8315789473684211,0.8777777777777778,0.9404761904761905,0.9080459770114943,0.0,0.0,0.0
6,CNN with Attention,"32 filters, kernel size 3",0.8736842105263158,0.8829787234042553,0.9880952380952381,0.9325842696629214,0.0,0.0,0.0
7,CNN with Attention,"64 filters, kernel size 7",0.8526315789473684,0.8804347826086957,0.9642857142857143,0.9204545454545455,0.0,0.0,0.0
8,CNN with Attention,"64 filters, kernel size 5",0.8736842105263158,0.8829787234042553,0.9880952380952381,0.9325842696629214,0.0,0.0,0.0
9,CNN with Attention,"64 filters, kernel size 3",0.8315789473684211,0.8777777777777778,0.9404761904761905,0.9080459770114943,0.0,0.0,0.0
10,CNN with Attention,"128 filters, kernel size 7",0.8210526315789474,0.8764044943820225,0.9285714285714286,0.9017341040462428,0.0,0.0,0.0
11,CNN with Attention,"128 filters, kernel size 5",0.8210526315789474,0.8764044943820225,0.9285714285714286,0.9017341040462428,0.0,0.0,0.0
12,CNN with Attention,"128 filters, kernel size 3",0.8421052631578947,0.8791208791208791,0.9523809523809523,0.9142857142857143,0.0,0.0,0.0
13,CNN with Attention,"256 filters, kernel size 7",0.8526315789473684,0.8804347826086957,0.9642857142857143,0.9204545454545455,0.0,0.0,0.0
14,CNN with Attention,"256 filters, kernel size 5",0.8526315789473684,0.8804347826086957,0.9642857142857143,0.9204545454545455,0.0,0.0,0.0
15,CNN with Attention,"256 filters, kernel size 3",0.8210526315789474,0.8764044943820225,0.9285714285714286,0.9017341040462428,0.0,0.0,0.0
16,RNN,200 units,0.8736842105263158,0.8829787234042553,0.9880952380952381,0.9325842696629214,0.0,0.0,0.0
17,RNN,150 units,0.8421052631578947,0.8791208791208791,0.9523809523809523,0.9142857142857143,0.0,0.0,0.0
18,RNN,100 units,0.8736842105263158,0.8913043478260869,0.9761904761904762,0.9318181818181818,0.3333333333333333,0.09090909090909091,0.14285714285714288
19,RNN,50 units,0.8526315789473684,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.3333333333333333,0.2727272727272727,0.3
20,CNN,"32 filters, kernel size 7",0.8210526315789474,0.8764044943820225,0.9285714285714286,0.9017341040462428,0.0,0.0,0.0
21,CNN,"32 filters, kernel size 5",0.8421052631578947,0.8791208791208791,0.9523809523809523,0.9142857142857143,0.0,0.0,0.0
22,CNN,"32 filters, kernel size 3",0.8,0.8735632183908046,0.9047619047619048,0.8888888888888888,0.0,0.0,0.0
23,CNN,"64 filters, kernel size 7",0.8105263157894737,0.875,0.9166666666666666,0.8953488372093024,0.0,0.0,0.0
24,CNN,"64 filters, kernel size 5",0.8842105263157894,0.8842105263157894,1.0,0.9385474860335195,0.0,0.0,0.0
25,CNN,"64 filters, kernel size 3",0.8421052631578947,0.8791208791208791,0.9523809523809523,0.9142857142857143,0.0,0.0,0.0
26,CNN,"128 filters, kernel size 7",0.8421052631578947,0.8791208791208791,0.9523809523809523,0.9142857142857143,0.0,0.0,0.0
27,CNN,"128 filters, kernel size 5",0.8315789473684211,0.8777777777777778,0.9404761904761905,0.9080459770114943,0.0,0.0,0.0
28,CNN,"128 filters, kernel size 3",0.8315789473684211,0.8777777777777778,0.9404761904761905,0.9080459770114943,0.0,0.0,0.0
29,CNN,"256 filters, kernel size 7",0.8315789473684211,0.8777777777777778,0.9404761904761905,0.9080459770114943,0.0,0.0,0.0
30,CNN,"256 filters, kernel size 5",0.8105263157894737,0.875,0.9166666666666666,0.8953488372093024,0.0,0.0,0.0
31,CNN,"256 filters, kernel size 3",0.8210526315789474,0.8764044943820225,0.9285714285714286,0.9017341040462428,0.0,0.0,0.0
