,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.9388646288209607,0.957345971563981,0.9758454106280193,0.9665071770334929,0.7222222222222222,0.5909090909090909,0.65
1,LSTM,200 layers,0.9126637554585153,0.9516908212560387,0.9516908212560387,0.9516908212560388,0.5454545454545454,0.5454545454545454,0.5454545454545454
2,LSTM,100 layers,0.9082969432314411,0.965,0.9323671497584541,0.9484029484029484,0.5172413793103449,0.6818181818181818,0.5882352941176471
3,LSTM,50 layers,0.9082969432314411,0.9558823529411765,0.9420289855072463,0.9489051094890512,0.52,0.5909090909090909,0.5531914893617023
4,CNN with Attention,"32 filters, kernel size 7",0.9344978165938864,0.9615384615384616,0.966183574879227,0.963855421686747,0.6666666666666666,0.6363636363636364,0.6511627906976744
5,CNN with Attention,"32 filters, kernel size 5",0.9519650655021834,0.9666666666666667,0.9806763285024155,0.973621103117506,0.7894736842105263,0.6818181818181818,0.7317073170731707
6,CNN with Attention,"32 filters, kernel size 3",0.9519650655021834,0.9666666666666667,0.9806763285024155,0.973621103117506,0.7894736842105263,0.6818181818181818,0.7317073170731707
7,CNN with Attention,"64 filters, kernel size 7",0.9563318777292577,0.9758454106280193,0.9758454106280193,0.9758454106280193,0.7727272727272727,0.7727272727272727,0.7727272727272727
8,CNN with Attention,"64 filters, kernel size 5",0.9519650655021834,0.9579439252336449,0.9903381642512077,0.9738717339667458,0.8666666666666667,0.5909090909090909,0.7027027027027029
9,CNN with Attention,"64 filters, kernel size 3",0.9301310043668122,0.9569377990430622,0.966183574879227,0.9615384615384616,0.65,0.5909090909090909,0.6190476190476191
10,CNN with Attention,"128 filters, kernel size 7",0.9388646288209607,0.957345971563981,0.9758454106280193,0.9665071770334929,0.7222222222222222,0.5909090909090909,0.65
11,CNN with Attention,"128 filters, kernel size 5",0.9563318777292577,0.958139534883721,0.9951690821256038,0.976303317535545,0.9285714285714286,0.5909090909090909,0.7222222222222223
12,CNN with Attention,"128 filters, kernel size 3",0.9344978165938864,0.9363636363636364,0.9951690821256038,0.964871194379391,0.8888888888888888,0.36363636363636365,0.5161290322580644
13,CNN with Attention,"256 filters, kernel size 7",0.9475982532751092,0.9577464788732394,0.9855072463768116,0.9714285714285714,0.8125,0.5909090909090909,0.6842105263157896
14,CNN with Attention,"256 filters, kernel size 5",0.9519650655021834,0.9537037037037037,0.9951690821256038,0.9739952718676123,0.9230769230769231,0.5454545454545454,0.6857142857142856
15,CNN with Attention,"256 filters, kernel size 3",0.9388646288209607,0.9366515837104072,1.0,0.9672897196261683,1.0,0.36363636363636365,0.5333333333333333
16,RNN,200 units,0.9170305676855895,0.9234234234234234,0.9903381642512077,0.9557109557109557,0.7142857142857143,0.22727272727272727,0.3448275862068965
17,RNN,150 units,0.9039301310043668,0.9147982062780269,0.9855072463768116,0.9488372093023256,0.5,0.13636363636363635,0.21428571428571427
18,RNN,100 units,0.9388646288209607,0.9366515837104072,1.0,0.9672897196261683,1.0,0.36363636363636365,0.5333333333333333
19,RNN,50 units,0.9519650655021834,0.9537037037037037,0.9951690821256038,0.9739952718676123,0.9230769230769231,0.5454545454545454,0.6857142857142856
20,CNN,"32 filters, kernel size 7",0.9519650655021834,0.9711538461538461,0.9758454106280193,0.9734939759036145,0.7619047619047619,0.7272727272727273,0.7441860465116279
21,CNN,"32 filters, kernel size 5",0.9388646288209607,0.966183574879227,0.966183574879227,0.966183574879227,0.6818181818181818,0.6818181818181818,0.6818181818181818
22,CNN,"32 filters, kernel size 3",0.9475982532751092,0.9577464788732394,0.9855072463768116,0.9714285714285714,0.8125,0.5909090909090909,0.6842105263157896
23,CNN,"64 filters, kernel size 7",0.9388646288209607,0.9707317073170731,0.961352657004831,0.9660194174757282,0.6666666666666666,0.7272727272727273,0.6956521739130435
24,CNN,"64 filters, kernel size 5",0.9475982532751092,0.9577464788732394,0.9855072463768116,0.9714285714285714,0.8125,0.5909090909090909,0.6842105263157896
25,CNN,"64 filters, kernel size 3",0.9213973799126638,0.9436619718309859,0.9710144927536232,0.9571428571428571,0.625,0.45454545454545453,0.5263157894736842
26,CNN,"128 filters, kernel size 7",0.9432314410480349,0.970873786407767,0.966183574879227,0.9685230024213075,0.6956521739130435,0.7272727272727273,0.711111111111111
27,CNN,"128 filters, kernel size 5",0.9519650655021834,0.9622641509433962,0.9855072463768116,0.973747016706444,0.8235294117647058,0.6363636363636364,0.717948717948718
28,CNN,"128 filters, kernel size 3",0.9301310043668122,0.9360730593607306,0.9903381642512077,0.9624413145539906,0.8,0.36363636363636365,0.5000000000000001
29,CNN,"256 filters, kernel size 7",0.9432314410480349,0.9619047619047619,0.9758454106280193,0.9688249400479616,0.7368421052631579,0.6363636363636364,0.6829268292682926
30,CNN,"256 filters, kernel size 5",0.9475982532751092,0.9493087557603687,0.9951690821256038,0.9716981132075471,0.9166666666666666,0.5,0.6470588235294118
31,CNN,"256 filters, kernel size 3",0.9388646288209607,0.9406392694063926,0.9951690821256038,0.9671361502347416,0.9,0.4090909090909091,0.5625000000000001
