,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.8914285714285715,0.9119496855345912,0.9666666666666667,0.9385113268608414,0.6875,0.44,0.5365853658536586
1,LSTM,200 layers,0.88,0.8862275449101796,0.9866666666666667,0.9337539432176656,0.75,0.24,0.36363636363636365
2,LSTM,100 layers,0.8685714285714285,0.9044585987261147,0.9466666666666667,0.9250814332247558,0.5555555555555556,0.4,0.46511627906976744
3,LSTM,50 layers,0.88,0.8816568047337278,0.9933333333333333,0.9341692789968652,0.8333333333333334,0.2,0.3225806451612903
4,CNN with Attention,"32 filters, kernel size 7",0.9314285714285714,0.9539473684210527,0.9666666666666667,0.9602649006622516,0.782608695652174,0.72,0.7499999999999999
5,CNN with Attention,"32 filters, kernel size 5",0.9257142857142857,0.9477124183006536,0.9666666666666667,0.9570957095709571,0.7727272727272727,0.68,0.7234042553191491
6,CNN with Attention,"32 filters, kernel size 3",0.9371428571428572,0.9602649006622517,0.9666666666666667,0.9634551495016612,0.7916666666666666,0.76,0.7755102040816326
7,CNN with Attention,"64 filters, kernel size 7",0.9428571428571428,0.9605263157894737,0.9733333333333334,0.9668874172185431,0.8260869565217391,0.76,0.7916666666666667
8,CNN with Attention,"64 filters, kernel size 5",0.9257142857142857,0.9477124183006536,0.9666666666666667,0.9570957095709571,0.7727272727272727,0.68,0.7234042553191491
9,CNN with Attention,"64 filters, kernel size 3",0.9371428571428572,0.9483870967741935,0.98,0.9639344262295082,0.85,0.68,0.7555555555555556
10,CNN with Attention,"128 filters, kernel size 7",0.9314285714285714,0.9539473684210527,0.9666666666666667,0.9602649006622516,0.782608695652174,0.72,0.7499999999999999
11,CNN with Attention,"128 filters, kernel size 5",0.9371428571428572,0.9483870967741935,0.98,0.9639344262295082,0.85,0.68,0.7555555555555556
12,CNN with Attention,"128 filters, kernel size 3",0.9257142857142857,0.9477124183006536,0.9666666666666667,0.9570957095709571,0.7727272727272727,0.68,0.7234042553191491
13,CNN with Attention,"256 filters, kernel size 7",0.9485714285714286,0.9668874172185431,0.9733333333333334,0.9700996677740864,0.8333333333333334,0.8,0.816326530612245
14,CNN with Attention,"256 filters, kernel size 5",0.9314285714285714,0.9539473684210527,0.9666666666666667,0.9602649006622516,0.782608695652174,0.72,0.7499999999999999
15,CNN with Attention,"256 filters, kernel size 3",0.9257142857142857,0.9477124183006536,0.9666666666666667,0.9570957095709571,0.7727272727272727,0.68,0.7234042553191491
16,RNN,200 units,0.88,0.8862275449101796,0.9866666666666667,0.9337539432176656,0.75,0.24,0.36363636363636365
17,RNN,150 units,0.9028571428571428,0.9130434782608695,0.98,0.945337620578778,0.7857142857142857,0.44,0.5641025641025641
18,RNN,100 units,0.8742857142857143,0.8809523809523809,0.9866666666666667,0.930817610062893,0.7142857142857143,0.2,0.3125
19,RNN,50 units,0.9028571428571428,0.9079754601226994,0.9866666666666667,0.9456869009584664,0.8333333333333334,0.4,0.5405405405405406
20,CNN,"32 filters, kernel size 7",0.9314285714285714,0.948051948051948,0.9733333333333334,0.9605263157894737,0.8095238095238095,0.68,0.7391304347826089
21,CNN,"32 filters, kernel size 5",0.9371428571428572,0.9483870967741935,0.98,0.9639344262295082,0.85,0.68,0.7555555555555556
22,CNN,"32 filters, kernel size 3",0.9257142857142857,0.9419354838709677,0.9733333333333334,0.9573770491803278,0.8,0.64,0.7111111111111111
23,CNN,"64 filters, kernel size 7",0.9314285714285714,0.948051948051948,0.9733333333333334,0.9605263157894737,0.8095238095238095,0.68,0.7391304347826089
24,CNN,"64 filters, kernel size 5",0.9257142857142857,0.9477124183006536,0.9666666666666667,0.9570957095709571,0.7727272727272727,0.68,0.7234042553191491
25,CNN,"64 filters, kernel size 3",0.9257142857142857,0.9477124183006536,0.9666666666666667,0.9570957095709571,0.7727272727272727,0.68,0.7234042553191491
26,CNN,"128 filters, kernel size 7",0.9314285714285714,0.948051948051948,0.9733333333333334,0.9605263157894737,0.8095238095238095,0.68,0.7391304347826089
27,CNN,"128 filters, kernel size 5",0.9257142857142857,0.9477124183006536,0.9666666666666667,0.9570957095709571,0.7727272727272727,0.68,0.7234042553191491
28,CNN,"128 filters, kernel size 3",0.9257142857142857,0.9363057324840764,0.98,0.9576547231270358,0.8333333333333334,0.6,0.6976744186046512
29,CNN,"256 filters, kernel size 7",0.9428571428571428,0.9605263157894737,0.9733333333333334,0.9668874172185431,0.8260869565217391,0.76,0.7916666666666667
30,CNN,"256 filters, kernel size 5",0.9257142857142857,0.9477124183006536,0.9666666666666667,0.9570957095709571,0.7727272727272727,0.68,0.7234042553191491
31,CNN,"256 filters, kernel size 3",0.9142857142857143,0.9470198675496688,0.9533333333333334,0.9501661129568105,0.7083333333333334,0.68,0.6938775510204083
