,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9184549356223176,0.953125,0.9617117117117117,0.9573991031390134,0.05555555555555555,0.045454545454545456,0.049999999999999996,0.05
1,LSTM,128 layers,0.4678111587982833,0.9375,0.47297297297297297,0.6287425149700598,0.03305785123966942,0.36363636363636365,0.06060606060606061,0.05
2,LSTM,64 layers,0.4742489270386266,0.9422222222222222,0.4774774774774775,0.6337817638266069,0.03734439834024896,0.4090909090909091,0.06844106463878327,0.05
3,LSTM,32 layers,0.48283261802575106,0.9393939393939394,0.48873873873873874,0.642962962962963,0.03404255319148936,0.36363636363636365,0.0622568093385214,0.05
4,CNN with Attention,"32 filters, kernel size 7",0.5214592274678111,0.9437751004016064,0.5292792792792793,0.6782106782106783,0.03686635944700461,0.36363636363636365,0.06694560669456066,0.05
5,CNN with Attention,"32 filters, kernel size 5",0.9141630901287554,0.9508928571428571,0.9594594594594594,0.9551569506726457,0.0,0.0,0.0,0.05
6,CNN with Attention,"32 filters, kernel size 3",0.9163090128755365,0.9530201342281879,0.9594594594594594,0.9562289562289561,0.05263157894736842,0.045454545454545456,0.04878048780487805,0.05
7,CNN with Attention,"64 filters, kernel size 7",0.5901287553648069,0.9501779359430605,0.6013513513513513,0.736551724137931,0.043243243243243246,0.36363636363636365,0.07729468599033816,0.05
8,CNN with Attention,"64 filters, kernel size 5",0.9227467811158798,0.9513274336283186,0.9684684684684685,0.9598214285714285,0.0,0.0,0.0,0.05
9,CNN with Attention,"64 filters, kernel size 3",0.9227467811158798,0.9553571428571429,0.963963963963964,0.9596412556053813,0.1111111111111111,0.09090909090909091,0.09999999999999999,0.05
10,CNN with Attention,"128 filters, kernel size 7",0.5343347639484979,0.9450980392156862,0.5427927927927928,0.6895565092989985,0.037914691943127965,0.36363636363636365,0.06866952789699571,0.05
11,CNN with Attention,"128 filters, kernel size 5",0.9055793991416309,0.9504504504504504,0.9504504504504504,0.9504504504504504,0.0,0.0,0.0,0.05
12,CNN with Attention,"128 filters, kernel size 3",0.9484978540772532,0.9525862068965517,0.9954954954954955,0.9735682819383259,0.0,0.0,0.0,0.05
13,CNN with Attention,"256 filters, kernel size 7",0.592274678111588,0.9535714285714286,0.6013513513513513,0.7375690607734806,0.04838709677419355,0.4090909090909091,0.08653846153846154,0.05
14,CNN with Attention,"256 filters, kernel size 5",0.9184549356223176,0.9511111111111111,0.963963963963964,0.9574944071588367,0.0,0.0,0.0,0.05
15,CNN with Attention,"256 filters, kernel size 3",0.9184549356223176,0.9511111111111111,0.963963963963964,0.9574944071588367,0.0,0.0,0.0,0.05
16,RNN,256 units,0.572961373390558,0.9454545454545454,0.5855855855855856,0.7232267037552156,0.03664921465968586,0.3181818181818182,0.06572769953051644,0.05
17,RNN,128 units,0.5343347639484979,0.9416342412451362,0.545045045045045,0.6904422253922967,0.03349282296650718,0.3181818181818182,0.06060606060606061,0.05
18,RNN,64 units,0.4957081545064378,0.9446808510638298,0.5,0.6539027982326951,0.03896103896103896,0.4090909090909091,0.07114624505928853,0.05
19,RNN,32 units,0.5407725321888412,0.9457364341085271,0.5495495495495496,0.6951566951566952,0.038461538461538464,0.36363636363636365,0.06956521739130436,0.05
20,CNN,"32 filters, kernel size 7",0.5686695278969958,0.9516728624535316,0.5765765765765766,0.7180925666199159,0.04568527918781726,0.4090909090909091,0.0821917808219178,0.05
21,CNN,"32 filters, kernel size 5",0.8819742489270386,0.951276102088167,0.9234234234234234,0.9371428571428572,0.02857142857142857,0.045454545454545456,0.03508771929824561,0.05
22,CNN,"32 filters, kernel size 3",0.9034334763948498,0.9523809523809523,0.9459459459459459,0.9491525423728814,0.04,0.045454545454545456,0.0425531914893617,0.05
23,CNN,"64 filters, kernel size 7",0.5,0.9414225941422594,0.5067567567567568,0.6588579795021963,0.03524229074889868,0.36363636363636365,0.06425702811244981,0.05
24,CNN,"64 filters, kernel size 5",0.703862660944206,0.9473684210526315,0.7297297297297297,0.8244274809160306,0.03225806451612903,0.18181818181818182,0.0547945205479452,0.05
25,CNN,"64 filters, kernel size 3",0.9527896995708155,0.9527896995708155,1.0,0.9758241758241758,0.0,0.0,0.0,0.05
26,CNN,"128 filters, kernel size 7",0.5879828326180258,0.95,0.5990990990990991,0.7348066298342542,0.043010752688172046,0.36363636363636365,0.07692307692307691,0.05
27,CNN,"128 filters, kernel size 5",0.8776824034334764,0.951048951048951,0.918918918918919,0.9347079037800687,0.02702702702702703,0.045454545454545456,0.03389830508474577,0.05
28,CNN,"128 filters, kernel size 3",0.9012875536480687,0.9502262443438914,0.9459459459459459,0.9480812641083521,0.0,0.0,0.0,0.05
29,CNN,"256 filters, kernel size 7",0.5150214592274678,0.943089430894309,0.5225225225225225,0.6724637681159421,0.03636363636363636,0.36363636363636365,0.06611570247933883,0.05
30,CNN,"256 filters, kernel size 5",0.924892703862661,0.9514348785871964,0.9707207207207207,0.9609810479375697,0.0,0.0,0.0,0.05
31,CNN,"256 filters, kernel size 3",0.9120171673819742,0.9507829977628636,0.9572072072072072,0.9539842873176206,0.0,0.0,0.0,0.05
