,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.5188284518828452,0.5161290322580645,0.6666666666666666,0.5818181818181819,0.5238095238095238,0.3697478991596639,0.43349753694581283
1,LSTM,200 layers,0.4811715481171548,0.4898989898989899,0.8083333333333333,0.6100628930817611,0.43902439024390244,0.15126050420168066,0.225
2,LSTM,100 layers,0.502092050209205,0.502092050209205,1.0,0.6685236768802229,0.0,0.0,0.0
3,LSTM,50 layers,0.502092050209205,0.502092050209205,1.0,0.6685236768802229,0.0,0.0,0.0
4,CNN with Attention,"32 filters, kernel size 7",0.5104602510460251,0.5076923076923077,0.825,0.6285714285714286,0.5227272727272727,0.19327731092436976,0.28220858895705525
5,CNN with Attention,"32 filters, kernel size 5",0.4895397489539749,0.49514563106796117,0.85,0.6257668711656442,0.45454545454545453,0.12605042016806722,0.19736842105263155
6,CNN with Attention,"32 filters, kernel size 3",0.49372384937238495,0.4975124378109453,0.8333333333333334,0.6230529595015576,0.47368421052631576,0.15126050420168066,0.22929936305732482
7,CNN with Attention,"64 filters, kernel size 7",0.4895397489539749,0.495,0.825,0.61875,0.46153846153846156,0.15126050420168066,0.22784810126582278
8,CNN with Attention,"64 filters, kernel size 5",0.4769874476987448,0.4876847290640394,0.825,0.6130030959752322,0.4166666666666667,0.12605042016806722,0.19354838709677416
9,CNN with Attention,"64 filters, kernel size 3",0.5104602510460251,0.5080213903743316,0.7916666666666666,0.6188925081433224,0.5192307692307693,0.226890756302521,0.31578947368421056
10,CNN with Attention,"128 filters, kernel size 7",0.46443514644351463,0.48095238095238096,0.8416666666666667,0.6121212121212122,0.3448275862068966,0.08403361344537816,0.13513513513513514
11,CNN with Attention,"128 filters, kernel size 5",0.49372384937238495,0.4975124378109453,0.8333333333333334,0.6230529595015576,0.47368421052631576,0.15126050420168066,0.22929936305732482
12,CNN with Attention,"128 filters, kernel size 3",0.497907949790795,0.5,0.95,0.6551724137931034,0.45454545454545453,0.04201680672268908,0.07692307692307693
13,CNN with Attention,"256 filters, kernel size 7",0.46443514644351463,0.4801980198019802,0.8083333333333333,0.6024844720496894,0.3783783783783784,0.11764705882352941,0.1794871794871795
14,CNN with Attention,"256 filters, kernel size 5",0.5564853556485355,0.5583333333333333,0.5583333333333333,0.5583333333333333,0.5546218487394958,0.5546218487394958,0.5546218487394958
15,CNN with Attention,"256 filters, kernel size 3",0.46443514644351463,0.48,0.8,0.6,0.38461538461538464,0.12605042016806722,0.189873417721519
16,RNN,200 units,0.5397489539748954,0.5308641975308642,0.7166666666666667,0.6099290780141844,0.5584415584415584,0.36134453781512604,0.4387755102040817
17,RNN,150 units,0.4895397489539749,0.49514563106796117,0.85,0.6257668711656442,0.45454545454545453,0.12605042016806722,0.19736842105263155
18,RNN,100 units,0.502092050209205,0.5027932960893855,0.75,0.6020066889632107,0.5,0.25210084033613445,0.33519553072625696
19,RNN,50 units,0.48535564853556484,0.4928909952606635,0.8666666666666667,0.6283987915407855,0.42857142857142855,0.10084033613445378,0.16326530612244897
20,CNN,"32 filters, kernel size 7",0.5062761506276151,0.5049019607843137,0.8583333333333333,0.6358024691358024,0.5142857142857142,0.15126050420168066,0.23376623376623373
21,CNN,"32 filters, kernel size 5",0.5062761506276151,0.5050505050505051,0.8333333333333334,0.6289308176100629,0.5121951219512195,0.17647058823529413,0.2625
22,CNN,"32 filters, kernel size 3",0.5313807531380753,0.5909090909090909,0.21666666666666667,0.3170731707317074,0.517948717948718,0.8487394957983193,0.6433121019108281
23,CNN,"64 filters, kernel size 7",0.5146443514644351,0.5117647058823529,0.725,0.5999999999999999,0.5217391304347826,0.3025210084033613,0.3829787234042553
24,CNN,"64 filters, kernel size 5",0.48535564853556484,0.49162011173184356,0.7333333333333333,0.588628762541806,0.4666666666666667,0.23529411764705882,0.3128491620111732
25,CNN,"64 filters, kernel size 3",0.4895397489539749,0.49537037037037035,0.8916666666666667,0.6369047619047619,0.43478260869565216,0.08403361344537816,0.14084507042253525
26,CNN,"128 filters, kernel size 7",0.5355648535564853,0.5338345864661654,0.5916666666666667,0.5612648221343873,0.5377358490566038,0.4789915966386555,0.5066666666666667
27,CNN,"128 filters, kernel size 5",0.48535564853556484,0.49344978165938863,0.9416666666666667,0.6475644699140402,0.3,0.025210084033613446,0.046511627906976744
28,CNN,"128 filters, kernel size 3",0.5271966527196653,0.5231788079470199,0.6583333333333333,0.5830258302583026,0.5340909090909091,0.3949579831932773,0.4541062801932367
29,CNN,"256 filters, kernel size 7",0.4769874476987448,0.48878923766816146,0.9083333333333333,0.6355685131195336,0.3125,0.04201680672268908,0.07407407407407408
30,CNN,"256 filters, kernel size 5",0.502092050209205,0.502092050209205,1.0,0.6685236768802229,0.0,0.0,0.0
31,CNN,"256 filters, kernel size 3",0.5062761506276151,0.5066666666666667,0.6333333333333333,0.5629629629629629,0.5056179775280899,0.37815126050420167,0.4326923076923077
