,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.5271966527196653,0.5152838427947598,0.9833333333333333,0.67621776504298,0.8,0.06722689075630252,0.12403100775193798
1,LSTM,200 layers,0.497907949790795,0.5,0.9833333333333333,0.6629213483146067,0.3333333333333333,0.008403361344537815,0.016393442622950817
2,LSTM,100 layers,0.49372384937238495,0.49760765550239233,0.8666666666666667,0.6322188449848024,0.4666666666666667,0.11764705882352941,0.1879194630872483
3,LSTM,50 layers,0.497907949790795,0.5,0.9083333333333333,0.6449704142011835,0.47619047619047616,0.08403361344537816,0.14285714285714285
4,CNN with Attention,"32 filters, kernel size 7",0.5606694560669456,0.6086956521739131,0.35,0.4444444444444444,0.5411764705882353,0.773109243697479,0.6366782006920415
5,CNN with Attention,"32 filters, kernel size 5",0.602510460251046,0.6923076923076923,0.375,0.48648648648648646,0.5689655172413793,0.8319327731092437,0.6757679180887373
6,CNN with Attention,"32 filters, kernel size 3",0.5899581589958159,0.6375,0.425,0.51,0.5660377358490566,0.7563025210084033,0.6474820143884892
7,CNN with Attention,"64 filters, kernel size 7",0.5983263598326359,0.6714285714285714,0.39166666666666666,0.49473684210526314,0.5680473372781065,0.8067226890756303,0.6666666666666666
8,CNN with Attention,"64 filters, kernel size 5",0.5481171548117155,0.7142857142857143,0.16666666666666666,0.2702702702702703,0.5260663507109005,0.9327731092436975,0.6727272727272727
9,CNN with Attention,"64 filters, kernel size 3",0.5230125523012552,0.575,0.19166666666666668,0.28750000000000003,0.5125628140703518,0.8571428571428571,0.6415094339622642
10,CNN with Attention,"128 filters, kernel size 7",0.5355648535564853,0.6956521739130435,0.13333333333333333,0.2237762237762238,0.5185185185185185,0.9411764705882353,0.6686567164179105
11,CNN with Attention,"128 filters, kernel size 5",0.5062761506276151,0.5555555555555556,0.08333333333333333,0.14492753623188404,0.502262443438914,0.9327731092436975,0.6529411764705882
12,CNN with Attention,"128 filters, kernel size 3",0.5062761506276151,0.5625,0.075,0.1323529411764706,0.5022421524663677,0.9411764705882353,0.6549707602339182
13,CNN with Attention,"256 filters, kernel size 7",0.5355648535564853,0.6956521739130435,0.13333333333333333,0.2237762237762238,0.5185185185185185,0.9411764705882353,0.6686567164179105
14,CNN with Attention,"256 filters, kernel size 5",0.5188284518828452,0.5757575757575758,0.15833333333333333,0.24836601307189543,0.5097087378640777,0.8823529411764706,0.6461538461538461
15,CNN with Attention,"256 filters, kernel size 3",0.5062761506276151,0.53125,0.14166666666666666,0.2236842105263158,0.5024154589371981,0.8739495798319328,0.6380368098159509
16,RNN,200 units,0.4895397489539749,0.45454545454545453,0.08333333333333333,0.1408450704225352,0.4930875576036866,0.8991596638655462,0.6369047619047619
17,RNN,150 units,0.502092050209205,0.5263157894736842,0.08333333333333333,0.14388489208633093,0.5,0.9243697478991597,0.6489675516224189
18,RNN,100 units,0.5062761506276151,0.5192307692307693,0.225,0.3139534883720931,0.5026737967914439,0.7899159663865546,0.6143790849673202
19,RNN,50 units,0.5564853556485355,0.5897435897435898,0.38333333333333336,0.46464646464646464,0.5403726708074534,0.7310924369747899,0.6214285714285714
20,CNN,"32 filters, kernel size 7",0.5815899581589958,0.6086956521739131,0.4666666666666667,0.5283018867924527,0.564625850340136,0.6974789915966386,0.6240601503759399
21,CNN,"32 filters, kernel size 5",0.5355648535564853,0.6097560975609756,0.20833333333333334,0.31055900621118016,0.5202020202020202,0.865546218487395,0.6498422712933754
22,CNN,"32 filters, kernel size 3",0.5271966527196653,0.5897435897435898,0.19166666666666668,0.289308176100629,0.515,0.865546218487395,0.64576802507837
23,CNN,"64 filters, kernel size 7",0.6903765690376569,0.6597222222222222,0.7916666666666666,0.7196969696969697,0.7368421052631579,0.5882352941176471,0.6542056074766356
24,CNN,"64 filters, kernel size 5",0.6192468619246861,0.5847953216374269,0.8333333333333334,0.6872852233676976,0.7058823529411765,0.40336134453781514,0.5133689839572192
25,CNN,"64 filters, kernel size 3",0.5857740585774058,0.6235294117647059,0.44166666666666665,0.5170731707317073,0.564935064935065,0.7310924369747899,0.6373626373626373
26,CNN,"128 filters, kernel size 7",0.5648535564853556,0.6904761904761905,0.24166666666666667,0.35802469135802467,0.5380710659898477,0.8907563025210085,0.6708860759493671
27,CNN,"128 filters, kernel size 5",0.5857740585774058,0.6329113924050633,0.4166666666666667,0.5025125628140704,0.5625,0.7563025210084033,0.6451612903225806
28,CNN,"128 filters, kernel size 3",0.5355648535564853,0.5428571428571428,0.475,0.5066666666666667,0.5298507462686567,0.5966386554621849,0.5612648221343873
29,CNN,"256 filters, kernel size 7",0.5648535564853556,0.6379310344827587,0.30833333333333335,0.4157303370786517,0.5414364640883977,0.8235294117647058,0.6533333333333332
30,CNN,"256 filters, kernel size 5",0.6276150627615062,0.6962025316455697,0.4583333333333333,0.5527638190954773,0.59375,0.7983193277310925,0.6810035842293907
31,CNN,"256 filters, kernel size 3",0.5146443514644351,0.5555555555555556,0.16666666666666666,0.2564102564102564,0.5073891625615764,0.865546218487395,0.639751552795031
