,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.296137339055794,0.9461538461538461,0.27702702702702703,0.42857142857142855,0.044642857142857144,0.6818181818181818,0.08379888268156425,0.05
1,LSTM,128 layers,0.49356223175965663,0.9482758620689655,0.4954954954954955,0.650887573964497,0.042735042735042736,0.45454545454545453,0.078125,0.05
2,LSTM,64 layers,0.5708154506437768,0.9452554744525548,0.5833333333333334,0.7214484679665739,0.036458333333333336,0.3181818181818182,0.06542056074766356,0.05
3,LSTM,32 layers,0.40987124463519314,0.9424083769633508,0.40540540540540543,0.5669291338582677,0.04,0.5,0.07407407407407407,0.05
4,CNN with Attention,"32 filters, kernel size 7",0.8969957081545065,0.952054794520548,0.9391891891891891,0.9455782312925171,0.03571428571428571,0.045454545454545456,0.04,0.05
5,CNN with Attention,"32 filters, kernel size 5",0.927038626609442,0.9535398230088495,0.9707207207207207,0.9620535714285715,0.07142857142857142,0.045454545454545456,0.05555555555555555,0.05
6,CNN with Attention,"32 filters, kernel size 3",0.9399141630901288,0.9521739130434783,0.9864864864864865,0.9690265486725664,0.0,0.0,0.0,0.05
7,CNN with Attention,"64 filters, kernel size 7",0.924892703862661,0.9514348785871964,0.9707207207207207,0.9609810479375697,0.0,0.0,0.0,0.05
8,CNN with Attention,"64 filters, kernel size 5",0.9506437768240343,0.9526881720430107,0.9977477477477478,0.9746974697469747,0.0,0.0,0.0,0.05
9,CNN with Attention,"64 filters, kernel size 3",0.9527896995708155,0.9527896995708155,1.0,0.9758241758241758,0.0,0.0,0.0,0.05
10,CNN with Attention,"128 filters, kernel size 7",0.9463519313304721,0.9524838012958964,0.9932432432432432,0.9724366041896362,0.0,0.0,0.0,0.05
11,CNN with Attention,"128 filters, kernel size 5",0.8648068669527897,0.950354609929078,0.9054054054054054,0.9273356401384083,0.023255813953488372,0.045454545454545456,0.03076923076923077,0.05
12,CNN with Attention,"128 filters, kernel size 3",0.9527896995708155,0.9527896995708155,1.0,0.9758241758241758,0.0,0.0,0.0,0.05
13,CNN with Attention,"256 filters, kernel size 7",0.9527896995708155,0.9527896995708155,1.0,0.9758241758241758,0.0,0.0,0.0,0.05
14,CNN with Attention,"256 filters, kernel size 5",0.8605150214592274,0.9522673031026253,0.8986486486486487,0.9246813441483198,0.0425531914893617,0.09090909090909091,0.05797101449275362,0.05
15,CNN with Attention,"256 filters, kernel size 3",0.944206008583691,0.9523809523809523,0.990990990990991,0.9713024282560706,0.0,0.0,0.0,0.05
16,RNN,256 units,0.7489270386266095,0.947945205479452,0.7792792792792793,0.8553770086526575,0.0297029702970297,0.13636363636363635,0.048780487804878044,0.05
17,RNN,128 units,0.9527896995708155,0.9527896995708155,1.0,0.9758241758241758,0.0,0.0,0.0,0.05
18,RNN,64 units,0.9527896995708155,0.9527896995708155,1.0,0.9758241758241758,0.0,0.0,0.0,0.05
19,RNN,32 units,0.9527896995708155,0.9527896995708155,1.0,0.9758241758241758,0.0,0.0,0.0,0.05
20,CNN,"32 filters, kernel size 7",0.9206008583690987,0.9512195121951219,0.9662162162162162,0.958659217877095,0.0,0.0,0.0,0.05
21,CNN,"32 filters, kernel size 5",0.9420600858369099,0.9522776572668112,0.9887387387387387,0.9701657458563535,0.0,0.0,0.0,0.05
22,CNN,"32 filters, kernel size 3",0.9506437768240343,0.9526881720430107,0.9977477477477478,0.9746974697469747,0.0,0.0,0.0,0.05
23,CNN,"64 filters, kernel size 7",0.9377682403433476,0.9520697167755992,0.9842342342342343,0.9678848283499446,0.0,0.0,0.0,0.05
24,CNN,"64 filters, kernel size 5",0.9484978540772532,0.9525862068965517,0.9954954954954955,0.9735682819383259,0.0,0.0,0.0,0.05
25,CNN,"64 filters, kernel size 3",0.9377682403433476,0.9520697167755992,0.9842342342342343,0.9678848283499446,0.0,0.0,0.0,0.05
26,CNN,"128 filters, kernel size 7",0.9506437768240343,0.9526881720430107,0.9977477477477478,0.9746974697469747,0.0,0.0,0.0,0.05
27,CNN,"128 filters, kernel size 5",0.8948497854077253,0.9561200923787528,0.9324324324324325,0.9441277080957811,0.09090909090909091,0.13636363636363635,0.10909090909090909,0.05
28,CNN,"128 filters, kernel size 3",0.8884120171673819,0.9537037037037037,0.9279279279279279,0.9406392694063928,0.058823529411764705,0.09090909090909091,0.07142857142857142,0.05
29,CNN,"256 filters, kernel size 7",0.9484978540772532,0.9545454545454546,0.9932432432432432,0.9735099337748344,0.25,0.045454545454545456,0.07692307692307693,0.05
30,CNN,"256 filters, kernel size 5",0.9463519313304721,0.9524838012958964,0.9932432432432432,0.9724366041896362,0.0,0.0,0.0,0.05
31,CNN,"256 filters, kernel size 3",0.9527896995708155,0.9527896995708155,1.0,0.9758241758241758,0.0,0.0,0.0,0.05
