,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.6743697478991597,0.9542682926829268,0.6909492273730684,0.8015364916773368,0.05405405405405406,0.34782608695652173,0.0935672514619883,0.05
1,LSTM,128 layers,0.5189075630252101,0.9444444444444444,0.5253863134657837,0.675177304964539,0.04017857142857143,0.391304347826087,0.07287449392712551,0.05
2,LSTM,64 layers,0.4180672268907563,0.94,0.41501103752759383,0.5758039816232772,0.03985507246376811,0.4782608695652174,0.07357859531772576,0.05
3,LSTM,32 layers,0.7983193277310925,0.9541984732824428,0.8278145695364238,0.8865248226950355,0.060240963855421686,0.21739130434782608,0.09433962264150943,0.05
4,CNN with Attention,"32 filters, kernel size 7",0.38235294117647056,0.9441340782122905,0.3730684326710817,0.5348101265822786,0.04377104377104377,0.5652173913043478,0.08125,0.05
5,CNN with Attention,"32 filters, kernel size 5",0.4327731092436975,0.9420289855072463,0.4304635761589404,0.5909090909090909,0.040892193308550186,0.4782608695652174,0.07534246575342465,0.05
6,CNN with Attention,"32 filters, kernel size 3",0.9096638655462185,0.9515418502202643,0.9536423841059603,0.9525909592061742,0.045454545454545456,0.043478260869565216,0.04444444444444444,0.05
7,CNN with Attention,"64 filters, kernel size 7",0.8298319327731093,0.9514563106796117,0.8653421633554084,0.9063583815028902,0.046875,0.13043478260869565,0.06896551724137931,0.05
8,CNN with Attention,"64 filters, kernel size 5",0.8046218487394958,0.95,0.8388520971302428,0.8909730363423212,0.039473684210526314,0.13043478260869565,0.060606060606060615,0.05
9,CNN with Attention,"64 filters, kernel size 3",0.7899159663865546,0.9514066496163683,0.8211920529801324,0.8815165876777251,0.047058823529411764,0.17391304347826086,0.07407407407407407,0.05
10,CNN with Attention,"128 filters, kernel size 7",0.9264705882352942,0.9523809523809523,0.9713024282560706,0.9617486338797814,0.07142857142857142,0.043478260869565216,0.05405405405405405,0.05
11,CNN with Attention,"128 filters, kernel size 5",0.930672268907563,0.9525862068965517,0.9757174392935982,0.9640130861504908,0.08333333333333333,0.043478260869565216,0.057142857142857134,0.05
12,CNN with Attention,"128 filters, kernel size 3",0.7478991596638656,0.9487870619946092,0.7770419426048565,0.8543689320388349,0.0380952380952381,0.17391304347826086,0.06250000000000001,0.05
13,CNN with Attention,"256 filters, kernel size 7",0.930672268907563,0.9525862068965517,0.9757174392935982,0.9640130861504908,0.08333333333333333,0.043478260869565216,0.057142857142857134,0.05
14,CNN with Attention,"256 filters, kernel size 5",0.930672268907563,0.9525862068965517,0.9757174392935982,0.9640130861504908,0.08333333333333333,0.043478260869565216,0.057142857142857134,0.05
15,CNN with Attention,"256 filters, kernel size 3",0.8718487394957983,0.9495412844036697,0.9139072847682119,0.9313835770528684,0.025,0.043478260869565216,0.03174603174603175,0.05
16,RNN,256 units,0.9516806722689075,0.9516806722689075,1.0,0.9752421959095802,0.0,0.0,0.0,0.05
17,RNN,128 units,0.9516806722689075,0.9516806722689075,1.0,0.9752421959095802,0.0,0.0,0.0,0.05
18,RNN,64 units,0.9495798319327731,0.9515789473684211,0.9977924944812362,0.9741379310344828,0.0,0.0,0.0,0.05
19,RNN,32 units,0.9159663865546218,0.9538461538461539,0.9580573951434879,0.9559471365638766,0.09523809523809523,0.08695652173913043,0.0909090909090909,0.05
20,CNN,"32 filters, kernel size 7",0.865546218487395,0.9491916859122402,0.9072847682119205,0.927765237020316,0.023255813953488372,0.043478260869565216,0.030303030303030304,0.05
21,CNN,"32 filters, kernel size 5",0.8256302521008403,0.9490291262135923,0.8631346578366446,0.9040462427745666,0.03125,0.08695652173913043,0.04597701149425287,0.05
22,CNN,"32 filters, kernel size 3",0.5840336134453782,0.950530035335689,0.5938189845474614,0.7309782608695653,0.046632124352331605,0.391304347826087,0.08333333333333333,0.05
23,CNN,"64 filters, kernel size 7",0.9327731092436975,0.9507494646680942,0.9801324503311258,0.9652173913043478,0.0,0.0,0.0,0.05
24,CNN,"64 filters, kernel size 5",0.9012605042016807,0.9511111111111111,0.9448123620309051,0.947951273532669,0.038461538461538464,0.043478260869565216,0.04081632653061224,0.05
25,CNN,"64 filters, kernel size 3",0.9117647058823529,0.9516483516483516,0.9558498896247241,0.9537444933920705,0.047619047619047616,0.043478260869565216,0.04545454545454545,0.05
26,CNN,"128 filters, kernel size 7",0.8382352941176471,0.9497607655502392,0.8763796909492274,0.9115958668197474,0.034482758620689655,0.08695652173913043,0.04938271604938271,0.05
27,CNN,"128 filters, kernel size 5",0.930672268907563,0.9506437768240343,0.977924944812362,0.9640914036996736,0.0,0.0,0.0,0.05
28,CNN,"128 filters, kernel size 3",0.9243697478991597,0.9522776572668112,0.9690949227373068,0.9606126914660832,0.06666666666666667,0.043478260869565216,0.052631578947368425,0.05
29,CNN,"256 filters, kernel size 7",0.8949579831932774,0.9507829977628636,0.9381898454746137,0.9444444444444444,0.034482758620689655,0.043478260869565216,0.038461538461538464,0.05
30,CNN,"256 filters, kernel size 5",0.7352941176470589,0.9504132231404959,0.7615894039735099,0.8455882352941178,0.04424778761061947,0.21739130434782608,0.07352941176470588,0.05
31,CNN,"256 filters, kernel size 3",0.7542016806722689,0.9565217391304348,0.7770419426048565,0.8574908647990256,0.06481481481481481,0.30434782608695654,0.10687022900763359,0.05
