,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.5564853556485355,0.5406976744186046,0.775,0.636986301369863,0.5970149253731343,0.33613445378151263,0.43010752688172044
1,LSTM,200 layers,0.42677824267782427,0.4,0.2833333333333333,0.33170731707317075,0.44155844155844154,0.5714285714285714,0.4981684981684981
2,LSTM,100 layers,0.5983263598326359,0.5689655172413793,0.825,0.6734693877551021,0.676923076923077,0.3697478991596639,0.47826086956521735
3,LSTM,50 layers,0.5146443514644351,0.5153846153846153,0.5583333333333333,0.536,0.5137614678899083,0.47058823529411764,0.49122807017543857
4,CNN with Attention,"32 filters, kernel size 7",0.8619246861924686,0.8536585365853658,0.875,0.8641975308641976,0.8706896551724138,0.8487394957983193,0.8595744680851064
5,CNN with Attention,"32 filters, kernel size 5",0.8577405857740585,0.8208955223880597,0.9166666666666666,0.8661417322834646,0.9047619047619048,0.7983193277310925,0.8482142857142857
6,CNN with Attention,"32 filters, kernel size 3",0.8158995815899581,0.7794117647058824,0.8833333333333333,0.8281250000000001,0.8640776699029126,0.7478991596638656,0.8018018018018017
7,CNN with Attention,"64 filters, kernel size 7",0.8493723849372385,0.8333333333333334,0.875,0.8536585365853658,0.8672566371681416,0.8235294117647058,0.8448275862068965
8,CNN with Attention,"64 filters, kernel size 5",0.8451882845188284,0.816793893129771,0.8916666666666667,0.852589641434263,0.8796296296296297,0.7983193277310925,0.8370044052863438
9,CNN with Attention,"64 filters, kernel size 3",0.8200836820083682,0.7655172413793103,0.925,0.8377358490566038,0.9042553191489362,0.7142857142857143,0.7981220657276995
10,CNN with Attention,"128 filters, kernel size 7",0.8410041841004184,0.7928571428571428,0.925,0.8538461538461538,0.9090909090909091,0.7563025210084033,0.8256880733944952
11,CNN with Attention,"128 filters, kernel size 5",0.8117154811715481,0.7777777777777778,0.875,0.823529411764706,0.8557692307692307,0.7478991596638656,0.7982062780269057
12,CNN with Attention,"128 filters, kernel size 3",0.7531380753138075,0.6967741935483871,0.9,0.7854545454545455,0.8571428571428571,0.6050420168067226,0.7093596059113301
13,CNN with Attention,"256 filters, kernel size 7",0.8368200836820083,0.8091603053435115,0.8833333333333333,0.8446215139442231,0.8703703703703703,0.7899159663865546,0.8281938325991188
14,CNN with Attention,"256 filters, kernel size 5",0.7698744769874477,0.7304964539007093,0.8583333333333333,0.7892720306513411,0.826530612244898,0.680672268907563,0.7465437788018433
15,CNN with Attention,"256 filters, kernel size 3",0.6359832635983264,0.5976331360946746,0.8416666666666667,0.698961937716263,0.7285714285714285,0.42857142857142855,0.5396825396825397
16,RNN,200 units,0.5230125523012552,0.5132743362831859,0.9666666666666667,0.6705202312138728,0.6923076923076923,0.07563025210084033,0.13636363636363635
17,RNN,150 units,0.5062761506276151,0.5066666666666667,0.6333333333333333,0.5629629629629629,0.5056179775280899,0.37815126050420167,0.4326923076923077
18,RNN,100 units,0.5188284518828452,0.5165562913907285,0.65,0.5756457564575646,0.5227272727272727,0.3865546218487395,0.4444444444444445
19,RNN,50 units,0.5606694560669456,0.5503355704697986,0.6833333333333333,0.6096654275092935,0.5777777777777777,0.4369747899159664,0.49760765550239233
20,CNN,"32 filters, kernel size 7",0.8242677824267782,0.8145161290322581,0.8416666666666667,0.8278688524590163,0.8347826086956521,0.8067226890756303,0.8205128205128206
21,CNN,"32 filters, kernel size 5",0.7907949790794979,0.7430555555555556,0.8916666666666667,0.8106060606060606,0.8631578947368421,0.6890756302521008,0.7663551401869159
22,CNN,"32 filters, kernel size 3",0.7280334728033473,0.6729559748427673,0.8916666666666667,0.7670250896057348,0.8375,0.5630252100840336,0.6733668341708542
23,CNN,"64 filters, kernel size 7",0.8535564853556485,0.8455284552845529,0.8666666666666667,0.8559670781893004,0.8620689655172413,0.8403361344537815,0.851063829787234
24,CNN,"64 filters, kernel size 5",0.8744769874476988,0.8515625,0.9083333333333333,0.8790322580645161,0.9009009009009009,0.8403361344537815,0.8695652173913043
25,CNN,"64 filters, kernel size 3",0.8410041841004184,0.8153846153846154,0.8833333333333333,0.848,0.8715596330275229,0.7983193277310925,0.8333333333333334
26,CNN,"128 filters, kernel size 7",0.8702928870292888,0.8503937007874016,0.9,0.874493927125506,0.8928571428571429,0.8403361344537815,0.8658008658008658
27,CNN,"128 filters, kernel size 5",0.8410041841004184,0.8014705882352942,0.9083333333333333,0.8515625,0.8932038834951457,0.773109243697479,0.8288288288288289
28,CNN,"128 filters, kernel size 3",0.803347280334728,0.7449664429530202,0.925,0.8252788104089219,0.9,0.680672268907563,0.7751196172248803
29,CNN,"256 filters, kernel size 7",0.8535564853556485,0.8244274809160306,0.9,0.8605577689243029,0.8888888888888888,0.8067226890756303,0.8458149779735683
30,CNN,"256 filters, kernel size 5",0.8535564853556485,0.8244274809160306,0.9,0.8605577689243029,0.8888888888888888,0.8067226890756303,0.8458149779735683
31,CNN,"256 filters, kernel size 3",0.5815899581589958,0.5588235294117647,0.7916666666666666,0.6551724137931034,0.6376811594202898,0.3697478991596639,0.46808510638297873
