,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1)
0,LSTM,250 layers,0.5355648535564853,0.5279503105590062,0.7083333333333334,0.6049822064056939,0.5512820512820513,0.36134453781512604,0.4365482233502538
1,LSTM,200 layers,0.5481171548117155,0.536144578313253,0.7416666666666667,0.6223776223776224,0.5753424657534246,0.35294117647058826,0.43750000000000006
2,LSTM,100 layers,0.5648535564853556,0.5597014925373134,0.625,0.5905511811023623,0.5714285714285714,0.5042016806722689,0.5357142857142857
3,LSTM,50 layers,0.5397489539748954,0.5301204819277109,0.7333333333333333,0.6153846153846154,0.5616438356164384,0.3445378151260504,0.42708333333333337
4,CNN with Attention,"32 filters, kernel size 7",0.5271966527196653,0.5289256198347108,0.5333333333333333,0.5311203319502076,0.5254237288135594,0.5210084033613446,0.5232067510548524
5,CNN with Attention,"32 filters, kernel size 5",0.5062761506276151,0.5063291139240507,0.6666666666666666,0.5755395683453238,0.5061728395061729,0.3445378151260504,0.41
6,CNN with Attention,"32 filters, kernel size 3",0.4811715481171548,0.48412698412698413,0.5083333333333333,0.4959349593495935,0.4778761061946903,0.453781512605042,0.4655172413793104
7,CNN with Attention,"64 filters, kernel size 7",0.497907949790795,0.5,0.4583333333333333,0.4782608695652174,0.49612403100775193,0.5378151260504201,0.5161290322580645
8,CNN with Attention,"64 filters, kernel size 5",0.5355648535564853,0.5294117647058824,0.675,0.5934065934065933,0.5465116279069767,0.3949579831932773,0.45853658536585357
9,CNN with Attention,"64 filters, kernel size 3",0.5397489539748954,0.5403225806451613,0.5583333333333333,0.5491803278688525,0.5391304347826087,0.5210084033613446,0.52991452991453
10,CNN with Attention,"128 filters, kernel size 7",0.47280334728033474,0.475,0.475,0.47500000000000003,0.47058823529411764,0.47058823529411764,0.47058823529411764
11,CNN with Attention,"128 filters, kernel size 5",0.5104602510460251,0.5109489051094891,0.5833333333333334,0.5447470817120622,0.5098039215686274,0.4369747899159664,0.47058823529411764
12,CNN with Attention,"128 filters, kernel size 3",0.5271966527196653,0.528,0.55,0.5387755102040817,0.5263157894736842,0.5042016806722689,0.5150214592274679
13,CNN with Attention,"256 filters, kernel size 7",0.5062761506276151,0.5083333333333333,0.5083333333333333,0.5083333333333333,0.5042016806722689,0.5042016806722689,0.5042016806722689
14,CNN with Attention,"256 filters, kernel size 5",0.5104602510460251,0.5109489051094891,0.5833333333333334,0.5447470817120622,0.5098039215686274,0.4369747899159664,0.47058823529411764
15,CNN with Attention,"256 filters, kernel size 3",0.5146443514644351,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.5126050420168067,0.5126050420168067,0.5126050420168067
16,RNN,200 units,0.5146443514644351,0.5175438596491229,0.49166666666666664,0.5042735042735043,0.512,0.5378151260504201,0.5245901639344263
17,RNN,150 units,0.5271966527196653,0.5271317829457365,0.5666666666666667,0.5461847389558233,0.5272727272727272,0.48739495798319327,0.5065502183406113
18,RNN,100 units,0.5271966527196653,0.5284552845528455,0.5416666666666666,0.5349794238683128,0.5258620689655172,0.5126050420168067,0.5191489361702126
19,RNN,50 units,0.5104602510460251,0.5145631067961165,0.44166666666666665,0.47533632286995514,0.5073529411764706,0.5798319327731093,0.5411764705882353
20,CNN,"32 filters, kernel size 7",0.497907949790795,0.5,0.675,0.574468085106383,0.4935064935064935,0.31932773109243695,0.38775510204081637
21,CNN,"32 filters, kernel size 5",0.49372384937238495,0.4966442953020134,0.6166666666666667,0.550185873605948,0.4888888888888889,0.3697478991596639,0.42105263157894735
22,CNN,"32 filters, kernel size 3",0.5104602510460251,0.5111111111111111,0.575,0.5411764705882353,0.5096153846153846,0.44537815126050423,0.4753363228699552
23,CNN,"64 filters, kernel size 7",0.4769874476987448,0.48201438848920863,0.5583333333333333,0.5173745173745175,0.47,0.3949579831932773,0.4292237442922375
24,CNN,"64 filters, kernel size 5",0.5313807531380753,0.5370370370370371,0.48333333333333334,0.5087719298245614,0.5267175572519084,0.5798319327731093,0.552
25,CNN,"64 filters, kernel size 3",0.5355648535564853,0.5333333333333333,0.6,0.5647058823529412,0.5384615384615384,0.47058823529411764,0.5022421524663677
26,CNN,"128 filters, kernel size 7",0.5062761506276151,0.5067567567567568,0.625,0.5597014925373135,0.5054945054945055,0.3865546218487395,0.4380952380952381
27,CNN,"128 filters, kernel size 5",0.5690376569037657,0.5726495726495726,0.5583333333333333,0.5654008438818565,0.5655737704918032,0.5798319327731093,0.5726141078838175
28,CNN,"128 filters, kernel size 3",0.5439330543933054,0.5555555555555556,0.4583333333333333,0.5022831050228311,0.5357142857142857,0.6302521008403361,0.5791505791505792
29,CNN,"256 filters, kernel size 7",0.502092050209205,0.504,0.525,0.5142857142857143,0.5,0.4789915966386555,0.4892703862660944
30,CNN,"256 filters, kernel size 5",0.5104602510460251,0.5103448275862069,0.6166666666666667,0.5584905660377358,0.5106382978723404,0.40336134453781514,0.4507042253521127
31,CNN,"256 filters, kernel size 3",0.5146443514644351,0.515625,0.55,0.5322580645161291,0.5135135135135135,0.4789915966386555,0.4956521739130435
