,Name,Params,Accuracy,Precision (0),Recall (0),F1 (0),Precision (1),Recall (1),F1 (1),Prior
0,LSTM,256 layers,0.9742489270386266,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.05
1,LSTM,128 layers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
2,LSTM,64 layers,0.9957081545064378,0.9977477477477478,0.9977477477477478,0.9977477477477478,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.05
3,LSTM,32 layers,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05
4,CNN with Attention,"32 filters, kernel size 7",0.9549356223175965,0.9884526558891455,0.963963963963964,0.976054732041049,0.5151515151515151,0.7727272727272727,0.6181818181818182,0.05
5,CNN with Attention,"32 filters, kernel size 5",0.9635193133047211,0.988558352402746,0.972972972972973,0.9807037457434733,0.5862068965517241,0.7727272727272727,0.6666666666666667,0.05
6,CNN with Attention,"32 filters, kernel size 3",0.9721030042918455,0.9886621315192744,0.9819819819819819,0.9853107344632768,0.68,0.7727272727272727,0.7234042553191491,0.05
7,CNN with Attention,"64 filters, kernel size 7",0.9635193133047211,0.988558352402746,0.972972972972973,0.9807037457434733,0.5862068965517241,0.7727272727272727,0.6666666666666667,0.05
8,CNN with Attention,"64 filters, kernel size 5",0.9592274678111588,0.9840546697038725,0.972972972972973,0.9784824462061155,0.5555555555555556,0.6818181818181818,0.6122448979591836,0.05
9,CNN with Attention,"64 filters, kernel size 3",0.9656652360515021,0.9863636363636363,0.9774774774774775,0.9819004524886877,0.6153846153846154,0.7272727272727273,0.6666666666666667,0.05
10,CNN with Attention,"128 filters, kernel size 7",0.9592274678111588,0.9885057471264368,0.9684684684684685,0.9783845278725825,0.5483870967741935,0.7727272727272727,0.6415094339622641,0.05
11,CNN with Attention,"128 filters, kernel size 5",0.9656652360515021,0.9908256880733946,0.972972972972973,0.9818181818181818,0.6,0.8181818181818182,0.6923076923076923,0.05
12,CNN with Attention,"128 filters, kernel size 3",0.9656652360515021,0.9908256880733946,0.972972972972973,0.9818181818181818,0.6,0.8181818181818182,0.6923076923076923,0.05
13,CNN with Attention,"256 filters, kernel size 7",0.9635193133047211,0.988558352402746,0.972972972972973,0.9807037457434733,0.5862068965517241,0.7727272727272727,0.6666666666666667,0.05
14,CNN with Attention,"256 filters, kernel size 5",0.9592274678111588,0.9885057471264368,0.9684684684684685,0.9783845278725825,0.5483870967741935,0.7727272727272727,0.6415094339622641,0.05
15,CNN with Attention,"256 filters, kernel size 3",0.9699570815450643,0.9886363636363636,0.9797297297297297,0.9841628959276018,0.6538461538461539,0.7727272727272727,0.7083333333333333,0.05
16,RNN,256 units,0.944206008583691,0.995260663507109,0.9459459459459459,0.9699769053117783,0.45454545454545453,0.9090909090909091,0.6060606060606061,0.05
17,RNN,128 units,0.9871244635193133,0.9910313901345291,0.9954954954954955,0.9932584269662922,0.9,0.8181818181818182,0.8571428571428572,0.05
18,RNN,64 units,0.9957081545064378,0.9955156950672646,1.0,0.9977528089887641,1.0,0.9090909090909091,0.9523809523809523,0.05
19,RNN,32 units,0.9849785407725322,0.9932279909706546,0.990990990990991,0.992108229988726,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.05
20,CNN,"32 filters, kernel size 7",0.9570815450643777,0.9818181818181818,0.972972972972973,0.9773755656108598,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.05
21,CNN,"32 filters, kernel size 5",0.9592274678111588,0.9907621247113164,0.9662162162162162,0.9783352337514253,0.5454545454545454,0.8181818181818182,0.6545454545454545,0.05
22,CNN,"32 filters, kernel size 3",0.9635193133047211,0.988558352402746,0.972972972972973,0.9807037457434733,0.5862068965517241,0.7727272727272727,0.6666666666666667,0.05
23,CNN,"64 filters, kernel size 7",0.9592274678111588,0.9907621247113164,0.9662162162162162,0.9783352337514253,0.5454545454545454,0.8181818181818182,0.6545454545454545,0.05
24,CNN,"64 filters, kernel size 5",0.9656652360515021,0.9908256880733946,0.972972972972973,0.9818181818181818,0.6,0.8181818181818182,0.6923076923076923,0.05
25,CNN,"64 filters, kernel size 3",0.9742489270386266,0.9931506849315068,0.9797297297297297,0.9863945578231292,0.6785714285714286,0.8636363636363636,0.76,0.05
26,CNN,"128 filters, kernel size 7",0.9742489270386266,0.990909090909091,0.9819819819819819,0.9864253393665158,0.6923076923076923,0.8181818181818182,0.7500000000000001,0.05
27,CNN,"128 filters, kernel size 5",0.9570815450643777,0.9907407407407407,0.963963963963964,0.9771689497716894,0.5294117647058824,0.8181818181818182,0.6428571428571428,0.05
28,CNN,"128 filters, kernel size 3",0.9699570815450643,0.9931192660550459,0.9752252252252253,0.984090909090909,0.6333333333333333,0.8636363636363636,0.7307692307692307,0.05
29,CNN,"256 filters, kernel size 7",0.9635193133047211,0.988558352402746,0.972972972972973,0.9807037457434733,0.5862068965517241,0.7727272727272727,0.6666666666666667,0.05
30,CNN,"256 filters, kernel size 5",0.9828326180257511,0.990990990990991,0.990990990990991,0.990990990990991,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.05
31,CNN,"256 filters, kernel size 3",0.9742489270386266,0.9864864864864865,0.9864864864864865,0.9864864864864865,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.05
